group,labeling_mode,label_schema,strategy,lower,upper,split_threshold
blue,by_side,binary_clean,quantile,0.2222222222222222,0.4444444444444444,0.3333333333333333
red,by_side,binary_clean,quantile,0.2222222222222222,0.375,0.2986111111111111
