embedding_label,embeddings_path,output_dir,n_champions,n_support_labeled_champions,embedding_dim,normalization,distance_metric,tsne_perplexities,umap_n_neighbors,projections_written,support_archetype_silhouette,support_archetype_silhouette_n,support_archetype_silhouette_groups,primary_class_silhouette,primary_class_silhouette_n,primary_class_silhouette_groups,top_k,all_champions_neighbor_scope,all_topk_n_rows,all_rank1_n_rows,all_topk_support_neighbor_rate,all_topk_same_support_archetype_rate,all_topk_same_primary_class_rate,all_rank1_support_neighbor_rate,all_rank1_same_support_archetype_rate,support_only_neighbor_scope,support_only_topk_n_rows,support_only_rank1_n_rows,support_only_topk_same_support_archetype_rate,support_only_topk_same_primary_class_rate,support_only_rank1_same_support_archetype_rate,roam_correlation_n_pairs,roam_correlation_n_champions,roam_pearson_r,roam_pearson_p,roam_spearman_r,roam_spearman_p,top5_support_neighbor_rate,top5_same_support_archetype_rate,top5_same_primary_class_rate,restricted_top5_same_support_archetype_rate,restricted_top5_same_primary_class_rate,restricted_rank1_same_support_archetype_rate
shared,C:\Users\adria\Desktop\TFG\final\models\mlp_embed\embeddings_raw.json,C:\Users\adria\Desktop\TFG\final\analysis\embedding_analysis\shared,172,40,16,l2,cosine,[],[],False,-0.14516495168209076,39,6,-0.07362397015094757,172,7,5,exploratory_all_champions,200,40,0.22,0.04,0.155,0.3,0.025,main_support_only,200,40,0.17,0.335,0.125,780,40,0.16838922566374476,2.2549332539198736e-06,0.17800623502769627,5.63036472457757e-07,0.22,0.04,0.155,0.17,0.335,0.125
per_role_ally_utility,C:\Users\adria\Desktop\TFG\final\models\mlp_per_role\embeddings_raw_ally_utility.json,C:\Users\adria\Desktop\TFG\final\analysis\embedding_analysis\per_role_ally_utility,172,40,16,l2,cosine,[],[],False,-0.13100330531597137,39,6,-0.07925791293382645,172,7,5,exploratory_all_champions,200,40,0.295,0.11,0.18,0.45,0.125,main_support_only,200,40,0.245,0.315,0.325,780,40,0.12387458430927886,0.0005254334898176382,0.1128598931849759,0.0015937836785038498,0.295,0.11,0.18,0.245,0.315,0.325
