group,labeling_mode,label_schema,strategy,lower,upper,split_threshold
blue,by_side,ternary,quantile,0.3,0.5454545454545454,0.42272727272727273
red,by_side,ternary,quantile,0.3,0.5454545454545454,0.42272727272727273
