side,n,mean,median,std,q25,q75
blue,65270,0.30238456375349276,0.2857142857142857,0.18765436637808977,0.14285714285714285,0.42857142857142855
red,65269,0.2703619599182577,0.2857142857142857,0.1788896468718133,0.14285714285714285,0.42857142857142855
