side,n,mean,median,std,q25,q75
blue,9459,-0.41387181928150224,-0.3333333333333333,0.21985714689125802,-0.6,-0.25
red,9554,-0.4481217352906008,-0.375,0.21369491244902697,-0.625,-0.29411764705882354
