match_id,team_id,support_zone_v5_abs,frames,share
EUW1_7705182186,200,RED_BOT_JUNGLE,3,0.5
EUW1_7705182186,200,BOT_LANE_CORE,2,0.3333333333333333
EUW1_7705182186,200,RED_TOP_JUNGLE,1,0.16666666666666666
EUW1_7705296763,200,BARON_GRUBS_HERALD_AREA,1,0.16666666666666666
EUW1_7705296763,200,BLUE_TOP_JUNGLE,1,0.16666666666666666
EUW1_7705296763,200,MID_LANE,1,0.16666666666666666
EUW1_7705296763,200,RED_BOT_JUNGLE,1,0.16666666666666666
EUW1_7705296763,200,RED_TOP_JUNGLE,1,0.16666666666666666
EUW1_7705296763,200,TOP_SIDE_NEAR,1,0.16666666666666666
EUW1_7705744974,100,BLUE_BOT_JUNGLE,3,0.6
EUW1_7705744974,100,RIVER_TOP,2,0.4
EUW1_7706461344,100,MID_LANE,3,0.5
EUW1_7706461344,100,BLUE_BOT_JUNGLE,2,0.3333333333333333
EUW1_7706461344,100,BOT_LANE_CORE,1,0.16666666666666666
EUW1_7708270762,200,MID_LANE,1,0.3333333333333333
EUW1_7708270762,200,RED_BOT_JUNGLE,1,0.3333333333333333
EUW1_7708270762,200,RED_TOP_JUNGLE,1,0.3333333333333333
EUW1_7708715292,200,MID_LANE,2,0.5
EUW1_7708715292,200,TOP_LANE_CORE,1,0.25
EUW1_7708715292,200,TOP_SIDE_NEAR,1,0.25
EUW1_7708834871,200,BOT_LANE_CORE,2,0.2857142857142857
EUW1_7708834871,200,BLUE_BOT_JUNGLE,1,0.14285714285714285
EUW1_7708834871,200,BOT_SIDE_NEAR,1,0.14285714285714285
EUW1_7708834871,200,RED_BOT_JUNGLE,1,0.14285714285714285
EUW1_7708834871,200,RED_TOP_JUNGLE,1,0.14285714285714285
EUW1_7708834871,200,TOP_SIDE_NEAR,1,0.14285714285714285
EUW1_7714775914,200,TOP_SIDE_NEAR,2,0.5
EUW1_7714775914,200,MID_LANE,1,0.25
EUW1_7714775914,200,RIVER_TOP,1,0.25
EUW1_7716308181,100,BLUE_BOT_JUNGLE,2,0.4
EUW1_7716308181,100,MID_LANE,2,0.4
EUW1_7716308181,100,BLUE_TOP_JUNGLE,1,0.2
EUW1_7719808217,100,TOP_SIDE_NEAR,5,0.8333333333333334
EUW1_7719808217,100,BLUE_TOP_JUNGLE,1,0.16666666666666666
EUW1_7765827606,200,MID_LANE,4,0.5714285714285714
EUW1_7765827606,200,RED_BOT_JUNGLE,1,0.14285714285714285
EUW1_7765827606,200,RIVER_TOP,1,0.14285714285714285
EUW1_7765827606,200,TOP_SIDE_NEAR,1,0.14285714285714285
EUW1_7783266689,200,RED_TOP_JUNGLE,2,0.3333333333333333
EUW1_7783266689,200,BLUE_BOT_JUNGLE,1,0.16666666666666666
EUW1_7783266689,200,BLUE_TOP_JUNGLE,1,0.16666666666666666
EUW1_7783266689,200,RED_BOT_JUNGLE,1,0.16666666666666666
EUW1_7783266689,200,RIVER_BOT,1,0.16666666666666666
EUW1_7803978812,100,MID_LANE,3,0.6
EUW1_7803978812,100,BLUE_BOT_JUNGLE,1,0.2
EUW1_7803978812,100,BOT_SIDE_NEAR,1,0.2
EUW1_7804333236,200,RED_BOT_JUNGLE,2,0.4
EUW1_7804333236,200,BLUE_BOT_JUNGLE,1,0.2
EUW1_7804333236,200,RED_TOP_JUNGLE,1,0.2
EUW1_7804333236,200,TOP_LANE_CORE,1,0.2
EUW1_7806861902,200,RED_BOT_JUNGLE,3,0.5
EUW1_7806861902,200,MID_LANE,1,0.16666666666666666
EUW1_7806861902,200,RED_TOP_JUNGLE,1,0.16666666666666666
EUW1_7806861902,200,TOP_LANE_CORE,1,0.16666666666666666
EUW1_7830110048,100,MID_LANE,2,0.3333333333333333
EUW1_7830110048,100,TOP_LANE_CORE,2,0.3333333333333333
EUW1_7830110048,100,RED_TOP_JUNGLE,1,0.16666666666666666
EUW1_7830110048,100,TOP_SIDE_NEAR,1,0.16666666666666666
EUW1_7830670024,100,BLUE_BOT_JUNGLE,3,0.42857142857142855
EUW1_7830670024,100,MID_LANE,1,0.14285714285714285
EUW1_7830670024,100,RED_TOP_JUNGLE,1,0.14285714285714285
EUW1_7830670024,100,TOP_LANE_CORE,1,0.14285714285714285
EUW1_7830670024,100,TOP_SIDE_NEAR,1,0.14285714285714285
EUW1_7831144335,200,TOP_SIDE_NEAR,2,0.3333333333333333
EUW1_7831144335,200,BOT_LANE_CORE,1,0.16666666666666666
EUW1_7831144335,200,RED_BOT_JUNGLE,1,0.16666666666666666
EUW1_7831144335,200,RIVER_TOP,1,0.16666666666666666
EUW1_7831144335,200,TOP_LANE_CORE,1,0.16666666666666666
EUW1_7831462570,200,BLUE_TOP_JUNGLE,1,0.25
EUW1_7831462570,200,MID_LANE,1,0.25
EUW1_7831462570,200,RED_TOP_JUNGLE,1,0.25
EUW1_7831462570,200,RIVER_TOP,1,0.25
EUW1_7831489390,200,RED_BOT_JUNGLE,3,0.6
EUW1_7831489390,200,RED_TOP_JUNGLE,2,0.4
