task,score_col,n,mean,std,min,q25,median,q75,max
jungle,jungle_presence_score,130509,0.37921059266483714,0.17022537580925085,0.0,0.2857142857142857,0.4,0.5,1.0
support,support_roam_score,130509,0.2863901376624637,0.18402543103451113,0.0,0.14285714285714285,0.2857142857142857,0.42857142857142855,1.0
team,team_side_focus_score,130509,-0.47362326165617297,0.17456482157300363,-1.0,-0.5714285714285714,-0.5,-0.38461538461538464,0.75
