table,left_rows,right_rows,left_unique_keys,right_unique_keys,overlap_keys,left_only_keys,right_only_keys
jungle,130542,130512,130542,130512,130512,30,0
support,130542,130539,130542,130539,130539,3,0
team,130542,130542,130542,130542,130542,0,0
