jungle_champion_id,jungle_champion_name,n,mean,median,std,min,max,q10,q25,q75,q90
234,Viego,10646,0.6407923163629532,0.625,0.13431478472747987,0.1111111111111111,1.0,0.5,0.5555555555555556,0.75,0.7777777777777778
121,Khazix,9544,0.6278915781875757,0.625,0.14207854555045665,0.0,1.0,0.4444444444444444,0.5555555555555556,0.75,0.7777777777777778
59,JarvanIV,9132,0.6093362169659804,0.625,0.13368105489375548,0.1111111111111111,1.0,0.4444444444444444,0.5,0.6666666666666666,0.7777777777777778
131,Diana,6865,0.6359957918588655,0.625,0.1389127762425881,0.1111111111111111,1.0,0.4444444444444444,0.5555555555555556,0.75,0.7777777777777778
91,Talon,6368,0.6033291457286433,0.625,0.14411225301594977,0.1111111111111111,1.0,0.4444444444444444,0.5,0.6666666666666666,0.7777777777777778
120,Hecarim,6326,0.617574735658833,0.625,0.13249948767863481,0.0,1.0,0.4444444444444444,0.5555555555555556,0.6666666666666666,0.7777777777777778
64,LeeSin,6257,0.637863370802479,0.625,0.1383024221979506,0.1111111111111111,1.0,0.4444444444444444,0.5555555555555556,0.75,0.7777777777777778
36,DrMundo,6196,0.609066781436052,0.625,0.1301869689836904,0.1111111111111111,1.0,0.4444444444444444,0.5,0.6666666666666666,0.7777777777777778
799,Ambessa,6051,0.6112511246993151,0.625,0.13592151309413375,0.1111111111111111,1.0,0.4444444444444444,0.5,0.6666666666666666,0.7777777777777778
5,XinZhao,5472,0.5784930352501624,0.5555555555555556,0.14133271189651692,0.1111111111111111,1.0,0.375,0.5,0.6666666666666666,0.7777777777777778
245,Ekko,5277,0.6044417071989556,0.625,0.14776730333470833,0.125,1.0,0.375,0.5,0.75,0.7777777777777778
107,Rengar,5166,0.6318772314707274,0.625,0.14226552846785645,0.0,1.0,0.4444444444444444,0.5555555555555556,0.75,0.7777777777777778
421,RekSai,5124,0.6046437245207736,0.625,0.1448769546295017,0.1111111111111111,1.0,0.4444444444444444,0.5,0.6666666666666666,0.7777777777777778
126,Jayce,5053,0.6530553906370252,0.6666666666666666,0.14015175688731327,0.125,1.0,0.5,0.5555555555555556,0.75,0.7777777777777778
904,Zaahen,4983,0.6075657234597632,0.625,0.14839628364265592,0.125,1.0,0.375,0.5,0.75,0.7777777777777778
35,Shaco,4927,0.5970728187087027,0.625,0.13320349496973824,0.1111111111111111,1.0,0.4444444444444444,0.5,0.6666666666666666,0.7777777777777778
950,Naafiri,4412,0.6112779540646721,0.625,0.14412325409952728,0.0,1.0,0.4444444444444444,0.5,0.75,0.7777777777777778
20,Nunu,4312,0.6472473459080602,0.6666666666666666,0.1315088859081563,0.125,1.0,0.5,0.5555555555555556,0.75,0.7777777777777778
246,Qiyana,4219,0.6417035369097469,0.6666666666666666,0.13991372368890218,0.1111111111111111,1.0,0.4444444444444444,0.5555555555555556,0.75,0.7777777777777778
254,Vi,3730,0.6201333035448316,0.625,0.13760036369714737,0.1111111111111111,1.0,0.4444444444444444,0.5,0.75,0.7777777777777778
154,Zac,3694,0.6152507068519522,0.625,0.1472937617521213,0.1111111111111111,1.0,0.4444444444444444,0.5,0.75,0.7777777777777778
517,Sylas,3415,0.5723360989100374,0.5555555555555556,0.14392652596307437,0.1111111111111111,1.0,0.375,0.5,0.6666666666666666,0.75
163,Taliyah,3224,0.645424076371657,0.6666666666666666,0.1373146556576755,0.125,1.0,0.5,0.5555555555555556,0.75,0.7777777777777778
60,Elise,3220,0.6369996549344374,0.625,0.13615593681020594,0.1111111111111111,1.0,0.4444444444444444,0.5555555555555556,0.75,0.7777777777777778
104,Graves,3174,0.660015402926556,0.6666666666666666,0.14249786489853689,0.1111111111111111,1.0,0.5,0.5555555555555556,0.75,0.875
266,Aatrox,3095,0.6456112008616047,0.6666666666666666,0.13604724236125273,0.125,1.0,0.4444444444444444,0.5555555555555556,0.75,0.7777777777777778
11,MasterYi,3051,0.6220865654248152,0.625,0.14133809286623775,0.0,1.0,0.4444444444444444,0.5,0.75,0.7777777777777778
56,Nocturne,2768,0.6193400770712909,0.625,0.1402650182122737,0.1111111111111111,1.0,0.4444444444444444,0.5,0.75,0.7777777777777778
76,Nidalee,2692,0.6553161631170547,0.6666666666666666,0.14034244958341838,0.0,1.0,0.5,0.5555555555555556,0.75,0.875
106,Volibear,2612,0.6224955334354262,0.625,0.13079982266096465,0.2222222222222222,1.0,0.4444444444444444,0.5555555555555556,0.75,0.7777777777777778
9,FiddleSticks,2550,0.598355119825708,0.625,0.14325369599117324,0.1111111111111111,1.0,0.4444444444444444,0.5,0.6666666666666666,0.7777777777777778
887,Gwen,2542,0.6067838097735816,0.625,0.15345906079134228,0.125,1.0,0.375,0.5,0.75,0.7777777777777778
141,Kayn,2541,0.6044864226682408,0.625,0.14154017541489664,0.125,1.0,0.4444444444444444,0.5,0.6666666666666666,0.7777777777777778
427,Ivern,2531,0.6478280433732825,0.6666666666666666,0.13662642999870628,0.125,1.0,0.4444444444444444,0.5555555555555556,0.75,0.7777777777777778
238,Zed,2496,0.5852920227920227,0.625,0.13196220068688508,0.1111111111111111,1.0,0.375,0.5,0.6666666666666666,0.75
62,MonkeyKing,2368,0.6311936936936937,0.625,0.14180822685968514,0.125,1.0,0.4444444444444444,0.5555555555555556,0.75,0.7777777777777778
28,Evelynn,2252,0.6284968916518651,0.625,0.13672365836034717,0.125,1.0,0.4444444444444444,0.5555555555555556,0.75,0.7777777777777778
203,Kindred,2206,0.6800015110305228,0.6666666666666666,0.15188517322575062,0.1111111111111111,1.0,0.5,0.5555555555555556,0.7777777777777778,0.8888888888888888
200,Belveth,2007,0.6293874218014727,0.625,0.1456585617908238,0.1111111111111111,1.0,0.4444444444444444,0.5555555555555556,0.75,0.7777777777777778
30,Karthus,1943,0.6265583004517642,0.625,0.13463325958810266,0.2222222222222222,1.0,0.4444444444444444,0.5555555555555556,0.75,0.7777777777777778
77,Udyr,1905,0.6084062408865558,0.625,0.13174955334342178,0.125,1.0,0.4444444444444444,0.5,0.6666666666666666,0.7777777777777778
143,Zyra,1786,0.6073783750155531,0.625,0.12916681167582927,0.125,1.0,0.4444444444444444,0.5,0.6666666666666666,0.7777777777777778
876,Lillia,1778,0.6387717160354955,0.6666666666666666,0.14569057583084435,0.1111111111111111,1.0,0.4444444444444444,0.5555555555555556,0.75,0.7777777777777778
233,Briar,1583,0.6219993682880607,0.625,0.14960507408688678,0.125,1.0,0.4444444444444444,0.5,0.75,0.7777777777777778
113,Sejuani,1145,0.6228044638524988,0.625,0.1368626402443547,0.2222222222222222,1.0,0.4444444444444444,0.5555555555555556,0.75,0.7777777777777778
54,Malphite,1134,0.6300582990397805,0.625,0.1418919877830134,0.2222222222222222,1.0,0.4444444444444444,0.5555555555555556,0.75,0.7777777777777778
80,Pantheon,1113,0.6187481281820905,0.625,0.14923814220843143,0.125,1.0,0.4444444444444444,0.5,0.75,0.7777777777777778
24,Jax,1043,0.5833732821987856,0.5555555555555556,0.14641009762473176,0.125,0.8888888888888888,0.375,0.5,0.6666666666666666,0.7777777777777778
122,Darius,987,0.6126590115951818,0.625,0.12992674598905818,0.2222222222222222,1.0,0.4444444444444444,0.5,0.6666666666666666,0.7777777777777778
33,Rammus,955,0.5727166957533449,0.5555555555555556,0.1417435989748511,0.1111111111111111,0.8888888888888888,0.375,0.5,0.6666666666666666,0.75
31,Chogath,922,0.6395818269462521,0.625,0.14193170136789746,0.1111111111111111,1.0,0.4444444444444444,0.5555555555555556,0.75,0.7777777777777778
72,Skarner,822,0.6315558258988916,0.625,0.13654027959208756,0.2222222222222222,1.0,0.4444444444444444,0.5555555555555556,0.75,0.7777777777777778
98,Shen,807,0.636272889990362,0.6666666666666666,0.1382250562093699,0.125,1.0,0.4444444444444444,0.5555555555555556,0.75,0.7777777777777778
75,Nasus,689,0.5053217223028544,0.5,0.1382686051045279,0.0,0.8888888888888888,0.3333333333333333,0.4444444444444444,0.625,0.6666666666666666
19,Warwick,665,0.6311194653299916,0.625,0.14866636840309772,0.2222222222222222,0.8888888888888888,0.4444444444444444,0.5555555555555556,0.75,0.7777777777777778
63,Brand,639,0.6682533472439576,0.6666666666666666,0.1561123425182756,0.2222222222222222,1.0,0.4444444444444444,0.5555555555555556,0.7777777777777778,0.875
68,Rumble,628,0.5906758669497523,0.625,0.14177239342094755,0.2222222222222222,0.8888888888888888,0.375,0.5,0.6666666666666666,0.7777777777777778
105,Fizz,608,0.6209795321637427,0.625,0.13080668183102262,0.25,1.0,0.4444444444444444,0.5555555555555556,0.75,0.7777777777777778
48,Trundle,588,0.6288737717309146,0.625,0.13333128580007508,0.25,1.0,0.4444444444444444,0.5555555555555556,0.75,0.7777777777777778
57,Maokai,519,0.625535217298223,0.625,0.13845011839344562,0.2222222222222222,1.0,0.4444444444444444,0.5,0.75,0.7777777777777778
102,Shyvana,518,0.611111111111111,0.625,0.13469379005205576,0.2222222222222222,1.0,0.4444444444444444,0.5,0.6666666666666666,0.7777777777777778
32,Amumu,500,0.5926388888888889,0.625,0.14544021937674456,0.1111111111111111,1.0,0.375,0.5,0.6666666666666666,0.7777777777777778
17,Teemo,445,0.5796192259675406,0.5555555555555556,0.14369375451319147,0.1111111111111111,0.8888888888888888,0.375,0.5,0.6666666666666666,0.7777777777777778
79,Gragas,415,0.5971887550200804,0.625,0.1433317144205093,0.2222222222222222,0.8888888888888888,0.4027777777777782,0.5,0.6666666666666666,0.7777777777777778
