percentile,score
0.01,0.25
0.05,0.375
0.1,0.4444444444444444
0.25,0.5
0.33,0.5555555555555556
0.5,0.625
0.66,0.6666666666666666
0.75,0.75
0.9,0.7777777777777778
0.95,0.875
0.99,0.8888888888888888
