side,n,mean,median,std,min,max,q25,q75
blue,99852,0.6246174894399267,0.625,0.1431105735224997,0.0,1.0,0.5,0.75
red,99746,0.6171482510019896,0.625,0.13926956728092282,0.0,1.0,0.5,0.75
