matchId,gameDuration,Input_Role,Input_Player_ID,Input_Ally_TOP_ID,Input_Enemy_TOP_ID,Input_Ally_JUNGLE_ID,Input_Enemy_JUNGLE_ID,Input_Ally_MIDDLE_ID,Input_Enemy_MIDDLE_ID,Input_Ally_BOTTOM_ID,Input_Enemy_BOTTOM_ID,Input_Ally_UTILITY_ID,Input_Enemy_UTILITY_ID,Target_GoldDiff_5,Target_XpDiff_5,Target_CsDiff_5,Target_GoldDiff_10,Target_XpDiff_10,Target_CsDiff_10,Target_GoldDiff_15,Target_XpDiff_15,Target_CsDiff_15,Target_GoldDiff_20,Target_XpDiff_20,Target_CsDiff_20,Target_EarlyTakedowns,Target_LaneCsBefore10,Target_DmgTotal,Target_DmgPhys,Target_DmgMagic,Target_DmgTrue,Target_DmgTurret,Target_DmgObj,Target_TotalCS,Target_GoldEarned,Target_DragonTakedowns,Target_BaronTakedowns,Target_RiftHeraldTakedowns,Target_VoidMonsterTakedowns,Target_TurretPlates,Target_MaxCsAdvantage,Target_SoloKills,Target_VisionScore,Target_WardsPlaced,Target_WardsKilled,Target_ControlWardsPlaced,Target_TimeCC,Target_TotalCC,Target_TotalHeal,Target_HealOnTeammates,Target_DamageShielded,Target_DamageTaken,Target_DamageMitigated,Target_KillParticipation,Target_Team_Dragons,Target_Team_Barons,Target_Team_Towers,Target_Team_Inhibitors,Target_Team_RiftHeralds,Target_Team_VoidGrubs,Target_Team_ElderDragons,Target_JgCsBefore10,Target_EnemyJgInvades
EUW1_7715880054,21.53333333333333,BOTTOM,235,904,893,76,234,142,10,235,119,267,555,-114,241,1,-319,609,-1,117,1394,0,50,576,-21,6,76.0,978.297213622291,867.6780185758513,110.57275541795664,0.0,368.312693498452,504.89164086687305,145,10633,1,0,0,0,16,13.0,0,0.4643962848297213,0.2321981424148606,0.0464396284829721,0.0,1.2538699690402475,10.123839009287924,340.030959752322,82.89473684210526,23.91640866873065,788.4984520123838,549.0557275541795,0.44,2,0,10,2,1,2,0,,
EUW1_7715880054,21.53333333333333,UTILITY,267,904,893,76,234,142,10,235,119,267,555,-52,126,0,-799,-585,-2,-399,-253,-1,-26,-85,-1,9,2.0,400.9597523219814,55.07739938080495,345.8359133126935,0.0,161.8421052631579,173.6377708978328,7,7665,0,0,0,1,16,0.0,0,1.5325077399380804,0.6037151702786377,0.0928792569659442,0.1857585139318885,1.1609907120743033,5.897832817337461,535.4489164086687,410.1083591331269,55.21671826625386,632.0433436532508,273.1578947368421,0.59,2,0,10,2,1,2,0,,
EUW1_7714384365,33.46666666666667,TOP,150,150,266,799,20,103,245,29,901,526,26,-397,-318,-3,-494,-608,-5,-1229,-1503,-13,-2000,-1508,2,2,80.0,1151.7430278884462,898.9541832669322,252.13147410358565,0.6274900398406374,278.39641434262944,301.2549800796813,295,15619,1,0,0,0,16,72.49999994039536,4,0.6274900398406374,0.3585657370517928,0.0298804780876494,0.0298804780876494,1.0756972111553784,14.46215139442231,504.9800796812749,0.0,0.0,1313.00796812749,1046.9820717131474,0.27,4,2,10,2,0,0,0,,
EUW1_7714384365,33.46666666666667,JUNGLE,799,150,266,799,20,103,245,29,901,526,26,-438,93,4,-239,58,-12,-862,856,9,-1458,-621,-8,6,,819.6513944223107,774.8605577689243,0.0,44.7609561752988,75.92629482071713,1161.7231075697212,204,13561,4,2,0,2,9,11.299999862909315,1,0.7171314741035856,0.1195219123505976,0.0896414342629482,0.0298804780876494,0.6573705179282868,13.386454183266933,558.9442231075697,0.0,0.0,1117.1713147410358,1093.8645418326694,0.35,4,2,10,2,0,0,0,76.0,5.0
EUW1_7714384365,33.46666666666667,MIDDLE,103,150,266,799,20,103,245,29,901,526,26,139,601,12,913,1179,14,738,1900,17,-265,2132,9,8,84.0,1522.5,71.77290836653385,1110.6573705179285,340.06972111553785,248.84462151394425,255.80677290836653,254,16736,0,1,0,1,15,30.400000005960464,6,1.2848605577689245,0.1195219123505976,0.3585657370517928,0.0298804780876494,1.1354581673306772,2.6593625498007967,347.0617529880478,0.0,0.0,752.9581673306773,359.58167330677287,0.55,4,2,10,2,0,0,0,,
EUW1_7714384365,33.46666666666667,BOTTOM,29,150,266,799,20,103,245,29,901,526,26,476,68,-9,76,-592,-21,1241,-348,-36,1374,-1137,-51,11,55.0,1518.7051792828684,1330.398406374502,1.8525896414342629,186.4243027888446,466.703187250996,1296.8426294820715,220,20959,3,2,0,2,18,0.0,0,0.6872509960159362,0.3286852589641434,0.0597609561752988,0.0298804780876494,0.3286852589641434,12.191235059760956,355.7270916334661,0.0,0.0,857.5398406374502,500.199203187251,0.63,4,2,10,2,0,0,0,,
EUW1_7714384365,33.46666666666667,UTILITY,526,150,266,799,20,103,245,29,901,526,26,370,-555,-4,255,-951,-1,417,259,3,59,-997,4,11,14.0,365.7669322709163,66.84262948207171,248.9641434262948,49.93027888446215,50.55776892430279,103.11752988047807,30,10956,2,1,0,1,14,4.0,0,2.689243027888446,1.1653386454183263,0.1195219123505976,0.1195219123505976,1.5836653386454185,7.768924302788844,183.76494023904385,13.207171314741036,0.0,1098.824701195219,1465.7868525896413,0.65,4,2,10,2,0,0,0,,
EUW1_7712794748,31.1,TOP,36,36,14,266,163,69,950,523,804,117,432,-175,-124,-11,-288,-124,-14,-142,-62,-13,42,-174,-6,0,86.0,1152.3472668810289,489.0996784565916,663.2154340836013,0.0,457.2668810289389,538.1672025723473,287,13325,1,0,0,0,14,33.400000005960464,0,0.6430868167202572,0.3858520900321543,0.0643086816720257,0.0321543408360128,0.5787781350482315,11.929260450160772,534.1800643086816,0.0,0.0,2099.871382636656,1818.8745980707397,0.2,3,0,8,1,1,3,0,,
EUW1_7712794748,31.1,JUNGLE,266,36,14,266,163,69,950,523,804,117,432,-524,50,9,201,844,28,734,1198,35,179,167,24,7,,1016.3665594855304,783.5691318327974,119.5176848874598,113.2475884244373,40.03215434083601,1251.6398713826366,231,14118,3,0,1,4,6,43.0,1,1.4147909967845658,0.1286173633440514,0.2572347266881029,0.0643086816720257,1.1897106109324758,15.305466237942122,1004.0836012861736,0.0,0.0,1622.636655948553,1858.4565916398712,0.5,3,0,8,1,1,3,0,78.0,16.0
EUW1_7712794748,31.1,MIDDLE,69,36,14,266,163,69,950,523,804,117,432,113,128,-8,382,164,-18,618,417,-13,102,1068,-39,9,64.0,1247.0418006430868,25.980707395498392,1221.0289389067525,0.0,123.37620578778134,123.37620578778134,262,16256,0,0,0,0,8,3.0,6,1.12540192926045,0.3858520900321543,0.0321543408360128,0.0964630225080385,1.3183279742765273,22.70096463022508,417.524115755627,0.0,0.0,1360.9646302250803,656.7202572347267,0.6,3,0,8,1,1,3,0,,
