matchId,teamId,patch,window_early,window_mid,is_neutral_early,gold_diff_14,tower_diff_14,OBS_TEAM_FOCUS_EARLY,SUCCESS_TEAM_FOCUS_EARLY,OBS_JG_STYLE_EARLY,SUCCESS_JG_STYLE_EARLY,OBS_MAP_MODE_MID,SUCCESS_MAP_MODE_MID,X_BOTTOM_Champ,X_JUNGLE_Champ,X_MIDDLE_Champ,X_TOP_Champ,X_UTILITY_Champ
7696209305,200,16.2,0-14,14-25,1,-2249,0,BOT,1,GANK_HEAVY,1,GROUP,1,110,76,166,150,201
7696210230,100,16.2,0-14,14-25,1,172,-1,NEUTRAL,,GANK_HEAVY,1,GROUP,1,523,20,54,38,518
7696210230,200,16.2,0-14,14-25,1,172,-1,NEUTRAL,,GANK_HEAVY,1,GROUP,1,119,76,157,24,89
7696210884,100,16.2,0-14,14-25,1,-1779,0,TOP,1,FARM_HEAVY,1,SPLIT,1,26,5,777,58,518
7696210884,200,16.2,0-14,14-25,1,-1779,0,NEUTRAL,,MIXED,,GROUP,1,523,163,13,904,111
7696217469,100,16.2,0-14,14-25,1,-72,1,NEUTRAL,,MIXED,,GROUP,1,50,35,80,14,16
7696217469,200,16.2,0-14,14-25,1,-72,1,BOT,1,MIXED,,GROUP,1,202,246,78,31,267
7696220055,100,16.2,0-14,14-25,1,1672,1,NEUTRAL,,MIXED,,,,110,266,134,83,432
7696220055,200,16.2,0-14,14-25,1,1672,1,NEUTRAL,,MIXED,,,,804,126,887,893,555
7696230590,100,16.2,0-14,14-25,1,-1477,-1,NEUTRAL,,MIXED,,GROUP,1,29,421,103,24,412
7696230590,200,16.2,0-14,14-25,1,-1477,-1,TOP,1,GANK_HEAVY,1,GROUP,1,804,131,38,122,117
7696237294,100,16.2,0-14,14-25,1,-1782,-1,NEUTRAL,,MIXED,,GROUP,1,901,121,8,92,16
7696237294,200,16.2,0-14,14-25,1,-1782,-1,NEUTRAL,,MIXED,,GROUP,1,110,20,103,133,201
7696241815,100,16.2,0-14,14-25,0,6489,1,BOT,1,MIXED,,,,498,33,142,83,76
7696241815,200,16.2,0-14,14-25,0,6489,1,NEUTRAL,,MIXED,,,,110,56,85,875,22
7696243536,100,16.2,0-14,14-25,1,612,1,BOT,0,GANK_HEAVY,1,GROUP,1,51,60,112,516,267
7696243536,200,16.2,0-14,14-25,1,612,1,NEUTRAL,,GANK_HEAVY,1,GROUP,1,110,421,84,75,57
7696246860,100,16.2,0-14,14-25,1,-1503,0,NEUTRAL,,GANK_HEAVY,1,GROUP,1,804,20,103,150,117
7696246860,200,16.2,0-14,14-25,1,-1503,0,BOT,1,MIXED,,GROUP,1,523,31,517,14,412
7696247291,100,16.2,0-14,14-25,0,4102,0,BOT,1,GANK_HEAVY,1,,,69,246,3,164,555
7696247291,200,16.2,0-14,14-25,0,4102,0,TOP,0,MIXED,,,,110,427,127,23,518
7696248076,100,16.2,0-14,14-25,1,-576,-1,NEUTRAL,,MIXED,,GROUP,1,895,238,79,68,235
7696248076,200,16.2,0-14,14-25,1,-576,-1,TOP,0,MIXED,,GROUP,1,42,421,55,904,44
7696255910,100,16.2,0-14,14-25,0,6501,2,NEUTRAL,,GANK_HEAVY,1,,,22,91,39,887,497
7696255910,200,16.2,0-14,14-25,0,6501,2,NEUTRAL,,MIXED,,,,145,143,236,54,111
7696256148,100,16.2,0-14,14-25,1,1717,1,NEUTRAL,,MIXED,,GROUP,1,81,233,55,893,43
7696256148,200,16.2,0-14,14-25,1,1717,1,NEUTRAL,,GANK_HEAVY,1,GROUP,1,22,64,163,68,111
7696267617,100,16.2,0-14,14-25,1,1443,1,TOP,1,FARM_HEAVY,1,GROUP,1,800,238,84,114,111
7696267617,200,16.2,0-14,14-25,1,1443,1,NEUTRAL,,FARM_HEAVY,0,GROUP,0,42,233,98,67,267
7696268382,100,16.2,0-14,14-25,0,4185,1,NEUTRAL,,MIXED,,,,804,234,245,39,117
7696268382,200,16.2,0-14,14-25,0,4185,1,NEUTRAL,,MIXED,,,,523,131,103,58,57
7696271802,100,16.2,0-14,14-25,0,6026,1,NEUTRAL,,FARM_HEAVY,1,,,236,20,161,150,902
7696271802,200,16.2,0-14,14-25,0,6026,1,TOP,0,GANK_HEAVY,1,,,202,266,136,75,43
7696273104,100,16.2,0-14,14-25,1,-1117,0,BOT,1,FARM_HEAVY,1,SPLIT,1,81,35,268,887,43
7696273104,200,16.2,0-14,14-25,1,-1117,0,NEUTRAL,,MIXED,,GROUP,1,236,234,3,98,350
7696275321,100,16.2,0-14,14-25,0,-6541,-1,NEUTRAL,,FARM_HEAVY,0,,,81,163,238,904,78
7696275321,200,16.2,0-14,14-25,0,-6541,-1,NEUTRAL,,FARM_HEAVY,1,,,110,266,154,150,12
7696277228,100,16.2,0-14,14-25,1,1917,0,NEUTRAL,,MIXED,,GROUP,1,81,121,61,92,53
7696277228,200,16.2,0-14,14-25,1,1917,0,NEUTRAL,,GANK_HEAVY,1,GROUP,0,29,131,800,799,37
7696279163,100,16.2,0-14,14-25,0,4791,1,NEUTRAL,,FARM_HEAVY,1,GROUP,1,42,30,166,799,518
7696279163,200,16.2,0-14,14-25,0,4791,1,NEUTRAL,,GANK_HEAVY,1,GROUP,0,236,126,115,78,44
7696279352,100,16.2,0-14,14-25,0,9841,2,NEUTRAL,,FARM_HEAVY,1,,,202,120,950,43,63
7696279352,200,16.2,0-14,14-25,0,9841,2,NEUTRAL,,MIXED,,,,81,517,61,114,12
7696286568,100,16.2,0-14,14-25,1,885,0,TOP,1,GANK_HEAVY,1,SPLIT,1,110,238,55,86,902
7696286568,200,16.2,0-14,14-25,1,885,0,BOT,1,MIXED,,GROUP,1,895,76,3,67,201
7696291016,100,16.2,0-14,14-25,1,1309,1,NEUTRAL,,MIXED,,GROUP,1,119,950,893,14,40
7696291016,200,16.2,0-14,14-25,1,1309,1,NEUTRAL,,MIXED,,GROUP,1,804,59,99,110,16
7696297248,100,16.2,0-14,14-25,0,-3975,0,NEUTRAL,,MIXED,,SPLIT,1,42,59,61,36,526
7696297248,200,16.2,0-14,14-25,0,-3975,0,NEUTRAL,,FARM_HEAVY,1,GROUP,1,51,427,84,516,48
7696304438,100,16.2,0-14,14-25,0,3728,1,NEUTRAL,,GANK_HEAVY,1,GROUP,1,81,254,13,14,53
7696304438,200,16.2,0-14,14-25,0,3728,1,NEUTRAL,,FARM_HEAVY,1,SPLIT,1,50,121,799,92,412
7696306394,100,16.2,0-14,14-25,1,-1604,0,TOP,1,MIXED,,GROUP,1,42,30,202,27,44
7696306394,200,16.2,0-14,14-25,1,-1604,0,BOT,1,MIXED,,GROUP,1,804,163,7,126,89
7696311527,100,16.2,0-14,14-25,1,-801,0,BOT,0,MIXED,,GROUP,1,145,266,61,14,497
7696311527,200,16.2,0-14,14-25,1,-801,0,NEUTRAL,,FARM_HEAVY,1,GROUP,1,69,122,245,904,161
7696313659,100,16.2,0-14,14-25,1,-1767,0,NEUTRAL,,GANK_HEAVY,1,,,110,131,39,904,910
7696313659,200,16.2,0-14,14-25,1,-1767,0,NEUTRAL,,FARM_HEAVY,0,,,157,203,55,516,44
7696313926,100,16.2,0-14,14-25,1,17,0,BOT,1,MIXED,,,,202,254,103,516,201
7696313926,200,16.2,0-14,14-25,1,17,0,TOP,1,FARM_HEAVY,1,,,110,20,3,887,267
7696314930,100,16.2,0-14,14-25,0,-5153,-1,NEUTRAL,,FARM_HEAVY,0,,,69,35,39,41,267
7696314930,200,16.2,0-14,14-25,0,-5153,-1,NEUTRAL,,GANK_HEAVY,1,,,42,106,517,6,40
7696316886,100,16.2,0-14,14-25,0,4139,0,TOP,0,FARM_HEAVY,0,,,157,131,42,85,497
7696316886,200,16.2,0-14,14-25,0,4139,0,NEUTRAL,,GANK_HEAVY,1,,,804,245,134,126,117
7696319633,100,16.2,0-14,14-25,0,-2839,-2,BOT,1,MIXED,,GROUP,1,81,234,34,777,526
7696319633,200,16.2,0-14,14-25,0,-2839,-2,NEUTRAL,,FARM_HEAVY,1,GROUP,1,901,64,13,904,43
7696338619,100,16.2,0-14,14-25,0,-6884,-2,NEUTRAL,,MIXED,,GROUP,1,26,48,517,92,235
7696338619,200,16.2,0-14,14-25,0,-6884,-2,NEUTRAL,,FARM_HEAVY,1,GROUP,1,110,54,103,41,526
7696342421,100,16.2,0-14,14-25,0,7124,1,BOT,1,FARM_HEAVY,1,,,119,266,221,887,201
7696342421,200,16.2,0-14,14-25,0,7124,1,BOT,1,FARM_HEAVY,0,,,42,234,245,14,111
7696344468,100,16.2,0-14,14-25,0,3752,1,BOT,0,FARM_HEAVY,1,,,110,266,777,34,223
7696344468,200,16.2,0-14,14-25,0,3752,1,NEUTRAL,,GANK_HEAVY,1,,,14,107,517,85,235
7696345665,100,16.2,0-14,14-25,0,6489,2,NEUTRAL,,MIXED,,,,145,200,101,893,111
7696345665,200,16.2,0-14,14-25,0,6489,2,NEUTRAL,,FARM_HEAVY,1,,,523,143,126,36,76
7696346086,100,16.2,0-14,14-25,1,188,1,NEUTRAL,,MIXED,,GROUP,1,110,163,901,41,235
7696346086,200,16.2,0-14,14-25,1,188,1,NEUTRAL,,MIXED,,GROUP,1,950,120,38,54,44
7696347327,100,16.2,0-14,14-25,1,296,0,NEUTRAL,,MIXED,,GROUP,1,804,120,134,98,267
7696347327,200,16.2,0-14,14-25,1,296,0,NEUTRAL,,MIXED,,GROUP,1,110,35,238,10,201
7696348093,100,16.2,0-14,14-25,1,-1397,0,NEUTRAL,,GANK_HEAVY,1,GROUP,1,147,77,897,157,37
7696348093,200,16.2,0-14,14-25,1,-1397,0,NEUTRAL,,GANK_HEAVY,1,SPLIT,1,115,107,14,85,43
7696350098,100,16.2,0-14,14-25,1,148,0,NEUTRAL,,MIXED,,GROUP,0,110,36,134,68,526
7696350098,200,16.2,0-14,14-25,1,148,0,BOT,1,FARM_HEAVY,1,GROUP,1,22,122,517,34,147
7696352518,100,16.2,0-14,14-25,0,3634,1,BOT,1,GANK_HEAVY,1,,,51,950,245,114,26
7696352518,200,16.2,0-14,14-25,0,3634,1,NEUTRAL,,MIXED,,,,360,121,55,58,111
7696355742,100,16.2,0-14,14-25,0,3725,2,BOT,1,MIXED,,,,804,254,27,122,201
7696355742,200,16.2,0-14,14-25,0,3725,2,NEUTRAL,,MIXED,,,,51,36,10,14,432
7696359427,100,16.2,0-14,14-25,0,3856,1,NEUTRAL,,MIXED,,,,42,238,61,875,412
7696359427,200,16.2,0-14,14-25,0,3856,1,NEUTRAL,,FARM_HEAVY,1,,,498,163,39,114,555
7696362287,100,16.2,0-14,14-25,0,4726,2,NEUTRAL,,GANK_HEAVY,1,,,110,72,84,14,43
7696362287,200,16.2,0-14,14-25,0,4726,2,NEUTRAL,,FARM_HEAVY,0,,,18,887,105,11,412
7696373193,100,16.2,0-14,14-25,0,4790,2,TOP,0,MIXED,,,,18,234,45,14,555
7696373193,200,16.2,0-14,14-25,0,4790,2,NEUTRAL,,MIXED,,,,22,427,136,897,89
7696377523,100,16.2,0-14,14-25,0,3193,1,BOT,1,MIXED,,GROUP,1,18,234,517,240,53
7696377523,200,16.2,0-14,14-25,0,3193,1,NEUTRAL,,GANK_HEAVY,1,GROUP,0,804,107,420,54,888
7696382208,100,16.2,0-14,14-25,0,4565,2,NEUTRAL,,MIXED,,GROUP,1,51,246,55,904,60
7696382208,200,16.2,0-14,14-25,0,4565,2,NEUTRAL,,MIXED,,GROUP,1,221,92,13,110,111
7696387964,100,16.2,0-14,14-25,0,4528,1,NEUTRAL,,FARM_HEAVY,1,,,29,141,163,904,44
7696387964,200,16.2,0-14,14-25,0,4528,1,NEUTRAL,,MIXED,,,,236,421,103,799,267
7696392038,100,16.2,0-14,14-25,1,-1443,-1,BOT,1,MIXED,,GROUP,1,15,35,38,85,497
7696392038,200,16.2,0-14,14-25,1,-1443,-1,NEUTRAL,,MIXED,,GROUP,1,115,200,904,39,12
7696392209,100,16.2,0-14,14-25,0,2747,1,BOT,1,GANK_HEAVY,1,GROUP,1,804,35,14,85,117
7696392209,200,16.2,0-14,14-25,0,2747,1,BOT,0,FARM_HEAVY,0,GROUP,1,222,60,80,11,526
7696392898,100,16.2,0-14,14-25,0,3050,0,NEUTRAL,,GANK_HEAVY,1,GROUP,1,804,35,38,897,16
