epoch,task,accuracy,balanced_accuracy,f1_macro,valid_samples
34,support_roam_label,0.4249,0.4287,0.4099,5910
34,team_tendency_label,0.5457,0.3508,0.3063,5910
35,jungle_presence_label,0.4981,0.3555,0.3319,5910
35,support_roam_label,0.4227,0.4326,0.4105,5910
35,team_tendency_label,0.5328,0.3504,0.3122,5910
36,jungle_presence_label,0.4932,0.3602,0.3455,5910
36,support_roam_label,0.4118,0.4238,0.4008,5910
36,team_tendency_label,0.5349,0.351,0.3136,5910
37,jungle_presence_label,0.4951,0.3534,0.3349,5910
37,support_roam_label,0.42,0.4323,0.4082,5910
37,team_tendency_label,0.5327,0.3495,0.3083,5910
38,jungle_presence_label,0.4909,0.3602,0.3455,5910
38,support_roam_label,0.4203,0.4345,0.4098,5910
38,team_tendency_label,0.5269,0.346,0.3053,5910
39,jungle_presence_label,0.4846,0.3602,0.3472,5910
39,support_roam_label,0.4171,0.4293,0.406,5910
39,team_tendency_label,0.5234,0.347,0.3106,5910
40,jungle_presence_label,0.4836,0.3538,0.3417,5910
40,support_roam_label,0.4217,0.4298,0.4089,5910
40,team_tendency_label,0.5335,0.3507,0.312,5910
41,jungle_presence_label,0.4893,0.3599,0.347,5910
41,support_roam_label,0.4171,0.4338,0.4076,5910
41,team_tendency_label,0.5267,0.3505,0.3119,5910
