feature_type,total_importance,n_features,mean_importance
ally_champions,0.25502121985199633,5,0.051004243970399266
enemy_champions,0.03280749326177675,5,0.006561498652355351
ally_spells,0.001388090178387724,10,0.00013880901783877242
enemy_spells,7.463807950691688e-07,10,7.463807950691688e-08
context,-1.645015144868811e-06,1,-1.645015144868811e-06
