epoch,train_loss,val_loss,is_best,jungle_presence_accuracy,jungle_presence_balanced_accuracy,jungle_presence_f1_macro,jungle_presence_valid_samples,support_roam_accuracy,support_roam_balanced_accuracy,support_roam_f1_macro,support_roam_valid_samples,team_tendency_accuracy,team_tendency_balanced_accuracy,team_tendency_f1_macro,team_tendency_valid_samples
1,0.7537115093818574,0.6940256377767186,1,0.5044,0.4998,0.4658,5369,0.516,0.5192,0.5061,5882,0.5162,0.4996,0.3899,4930
2,0.7066278155886784,0.691568021282125,1,0.5126,0.5087,0.4859,5369,0.5415,0.542,0.5414,5882,0.5225,0.5054,0.3876,4930
3,0.6949100404221394,0.6910962655257856,1,0.5148,0.5125,0.5053,5369,0.5401,0.5419,0.5378,5882,0.5241,0.5073,0.395,4930
4,0.6922165812978083,0.69051387541992,1,0.5141,0.5103,0.4894,5369,0.5507,0.552,0.5496,5882,0.5292,0.5129,0.4117,4930
5,0.6905714804751014,0.689870451912662,1,0.5191,0.5174,0.5139,5369,0.5525,0.5534,0.5522,5882,0.5314,0.5173,0.4466,4930
6,0.6899915166917792,0.6889339746759224,1,0.5165,0.5164,0.5164,5369,0.5644,0.564,0.5639,5882,0.5292,0.5159,0.4546,4930
7,0.6889726211980313,0.6881337961367947,1,0.5144,0.5146,0.5144,5369,0.5636,0.5641,0.5635,5882,0.5284,0.5143,0.4444,4930
8,0.6879575774754364,0.6873413536552648,1,0.5102,0.512,0.5054,5369,0.5646,0.565,0.5646,5882,0.5347,0.5217,0.4653,4930
9,0.6874153050472692,0.6867732405460829,1,0.5198,0.5199,0.5198,5369,0.5682,0.5688,0.568,5882,0.5402,0.526,0.4568,4930
10,0.6855412323059366,0.6862488055592261,1,0.5165,0.5176,0.5152,5369,0.5707,0.571,0.5707,5882,0.5333,0.5215,0.4764,4930
11,0.6856384595235189,0.6860878950246498,1,0.5262,0.5251,0.5238,5369,0.5746,0.5745,0.5745,5882,0.5347,0.5242,0.49,4930
12,0.6851428191270522,0.6856082738756932,1,0.5251,0.5243,0.5239,5369,0.5777,0.578,0.5777,5882,0.5333,0.5235,0.495,4930
13,0.6839573347427317,0.6849308692460939,1,0.5249,0.5236,0.5219,5369,0.5826,0.5825,0.5825,5882,0.5359,0.5261,0.4977,4930
14,0.6827933468189337,0.6845146323218564,1,0.5243,0.5229,0.5203,5369,0.5879,0.5879,0.5878,5882,0.5391,0.5298,0.5044,4930
15,0.6823712260388279,0.6838578221963344,1,0.5251,0.524,0.5226,5369,0.5874,0.5872,0.5872,5882,0.5404,0.5322,0.5133,4930
16,0.6814015127075506,0.6835388296146683,1,0.5224,0.5211,0.5188,5369,0.5911,0.591,0.591,5882,0.5418,0.5341,0.5179,4930
17,0.6805014744224483,0.6830497134962259,1,0.5219,0.521,0.5202,5369,0.593,0.5927,0.5927,5882,0.5418,0.5347,0.5217,4930
