epoch,task,accuracy,balanced_accuracy,f1_macro,valid_samples
1,jungle_presence_label,0.5044,0.4998,0.4658,5369
1,support_roam_label,0.516,0.5192,0.5061,5882
1,team_tendency_label,0.5162,0.4996,0.3899,4930
2,jungle_presence_label,0.5126,0.5087,0.4859,5369
2,support_roam_label,0.5415,0.542,0.5414,5882
2,team_tendency_label,0.5225,0.5054,0.3876,4930
3,jungle_presence_label,0.5148,0.5125,0.5053,5369
3,support_roam_label,0.5401,0.5419,0.5378,5882
3,team_tendency_label,0.5241,0.5073,0.395,4930
4,jungle_presence_label,0.5141,0.5103,0.4894,5369
4,support_roam_label,0.5507,0.552,0.5496,5882
4,team_tendency_label,0.5292,0.5129,0.4117,4930
5,jungle_presence_label,0.5191,0.5174,0.5139,5369
5,support_roam_label,0.5525,0.5534,0.5522,5882
5,team_tendency_label,0.5314,0.5173,0.4466,4930
6,jungle_presence_label,0.5165,0.5164,0.5164,5369
6,support_roam_label,0.5644,0.564,0.5639,5882
6,team_tendency_label,0.5292,0.5159,0.4546,4930
7,jungle_presence_label,0.5144,0.5146,0.5144,5369
7,support_roam_label,0.5636,0.5641,0.5635,5882
7,team_tendency_label,0.5284,0.5143,0.4444,4930
8,jungle_presence_label,0.5102,0.512,0.5054,5369
8,support_roam_label,0.5646,0.565,0.5646,5882
8,team_tendency_label,0.5347,0.5217,0.4653,4930
9,jungle_presence_label,0.5198,0.5199,0.5198,5369
9,support_roam_label,0.5682,0.5688,0.568,5882
9,team_tendency_label,0.5402,0.526,0.4568,4930
10,jungle_presence_label,0.5165,0.5176,0.5152,5369
10,support_roam_label,0.5707,0.571,0.5707,5882
10,team_tendency_label,0.5333,0.5215,0.4764,4930
11,jungle_presence_label,0.5262,0.5251,0.5238,5369
11,support_roam_label,0.5746,0.5745,0.5745,5882
11,team_tendency_label,0.5347,0.5242,0.49,4930
12,jungle_presence_label,0.5251,0.5243,0.5239,5369
12,support_roam_label,0.5777,0.578,0.5777,5882
12,team_tendency_label,0.5333,0.5235,0.495,4930
13,jungle_presence_label,0.5249,0.5236,0.5219,5369
13,support_roam_label,0.5826,0.5825,0.5825,5882
13,team_tendency_label,0.5359,0.5261,0.4977,4930
14,jungle_presence_label,0.5243,0.5229,0.5203,5369
14,support_roam_label,0.5879,0.5879,0.5878,5882
14,team_tendency_label,0.5391,0.5298,0.5044,4930
15,jungle_presence_label,0.5251,0.524,0.5226,5369
15,support_roam_label,0.5874,0.5872,0.5872,5882
15,team_tendency_label,0.5404,0.5322,0.5133,4930
16,jungle_presence_label,0.5224,0.5211,0.5188,5369
16,support_roam_label,0.5911,0.591,0.591,5882
16,team_tendency_label,0.5418,0.5341,0.5179,4930
17,jungle_presence_label,0.5219,0.521,0.5202,5369
17,support_roam_label,0.593,0.5927,0.5927,5882
17,team_tendency_label,0.5418,0.5347,0.5217,4930
18,jungle_presence_label,0.5228,0.5214,0.519,5369
18,support_roam_label,0.5908,0.5909,0.5908,5882
18,team_tendency_label,0.54,0.5331,0.5205,4930
19,jungle_presence_label,0.5211,0.5206,0.5203,5369
19,support_roam_label,0.5928,0.5932,0.5928,5882
19,team_tendency_label,0.5458,0.5392,0.528,4930
20,jungle_presence_label,0.5264,0.5251,0.5235,5369
20,support_roam_label,0.5966,0.5962,0.5962,5882
20,team_tendency_label,0.5396,0.5322,0.5178,4930
21,jungle_presence_label,0.5219,0.5215,0.5214,5369
21,support_roam_label,0.5935,0.5929,0.5928,5882
21,team_tendency_label,0.5387,0.5324,0.5222,4930
