support_champion_name,rows,v5_mean,v9_mean,backbone_mean,productive_mean,no_productive_share
Corki,1,0.8636781447271323,0.6413930917382383,0.6,4.0,0.0
AurelionSol,136,0.6695785772799829,0.5010348889215515,0.4509191176470588,2.971323529411765,0.16176470588235295
Twitch,128,0.618587961838034,0.45248029900295794,0.40172061011904764,2.99296875,0.1171875
Nunu,50,0.6063450586257734,0.4438168552686586,0.3582857142857143,3.012,0.08
Renekton,1,0.4787952587223708,0.4436547734279645,0.42857142857142855,2.0,0.0
Fizz,21,0.5531209828911164,0.43566095473041094,0.3678004535147392,1.8952380952380952,0.19047619047619047
Samira,2,0.7744238102012612,0.42744027687113295,0.4375,0.0,1.0
Tristana,9,0.5341471408820434,0.42542643022129606,0.3592592592592593,3.3333333333333335,0.1111111111111111
Talon,13,0.5741646448568045,0.39770284831023833,0.3311355311355311,1.8923076923076925,0.15384615384615385
Graves,6,0.5717459509988005,0.3844413581004961,0.306547619047619,1.4666666666666668,0.16666666666666666
Elise,5078,0.5341652830250864,0.3814074389603882,0.2996056752752302,2.1824340291453326,0.2109098070106341
Kayn,17,0.5414355828048146,0.3805359424356893,0.29327731092436976,2.0588235294117645,0.17647058823529413
Gnar,2,0.500860292793222,0.3783672005759239,0.3571428571428571,1.5,0.0
Shaco,1445,0.5404283634733934,0.3734479025742608,0.2878950403690888,2.4208996539792387,0.23806228373702423
Jax,197,0.5109930579780323,0.3686212025760873,0.29764926275078557,1.8913705583756346,0.25888324873096447
Evelynn,17,0.4792759088964981,0.3653934772921665,0.3018207282913165,2.5352941176470587,0.17647058823529413
Leblanc,829,0.5187767974531614,0.35659693453882507,0.27818226204836577,2.01664656212304,0.22677925211097708
Ryze,11,0.4451049024961065,0.35510775457655414,0.29004329004329005,1.7545454545454546,0.2727272727272727
Darius,16,0.5371369823146799,0.34758104432659204,0.29092261904761907,1.28125,0.375
Briar,34,0.5293230713758659,0.3443101522184764,0.2641106442577031,2.0441176470588234,0.17647058823529413
Akshan,34,0.5420887760542363,0.3442716120032712,0.2647759103641456,2.2588235294117647,0.14705882352941177
Belveth,16,0.5243232992892464,0.34026408839411443,0.26860119047619047,2.3625,0.25
Camille,574,0.5114559364273342,0.3394012505908473,0.25181267629002824,1.9649825783972128,0.2229965156794425
Warwick,15,0.5115826678333343,0.3380992972499357,0.2823809523809524,1.8333333333333333,0.3333333333333333
Vi,58,0.4737669532496772,0.3370143944487688,0.26110426929392444,1.5931034482758621,0.27586206896551724
Pyke,11462,0.4919837306692401,0.33698102362695614,0.2568667896403021,1.869394521025999,0.24027220380387368
XinZhao,90,0.48129052026785013,0.33479690825831193,0.2560846560846561,1.8666666666666667,0.23333333333333334
