metric,q,value
support_roam_score,0.01,0.0
support_roam_score,0.05,0.0
support_roam_score,0.1,0.0
support_roam_score,0.25,0.0
support_roam_score,0.33,0.2
support_roam_score,0.5,0.2
support_roam_score,0.66,0.25
support_roam_score,0.75,0.4
support_roam_score,0.9,0.5
support_roam_score,0.95,0.6
support_roam_score,0.99,0.8
