task,max_minute,label,n
jungle,10.0,farm_oriented,11692
jungle,10.0,map_presence,11149
support,10.0,lane_anchored,10517
support,10.0,roamer,10644
team,10.0,botside_oriented,9332
team,10.0,topside_oriented,9681
