feature,mean_abs_shap,mean_shap,std_shap
ally_utility_champion_id,0.05762794066511188,0.004451412078688449,0.07018911558377629
ally_bottom_champion_id,0.016282005757270557,0.0011511064808878311,0.020135932581969034
enemy_utility_champion_id,0.013646353545526633,-0.0012295743755413233,0.01719082926865515
enemy_bottom_champion_id,0.01094716624654446,0.0007583505961693302,0.014842099032530786
enemy_middle_champion_id,0.005113284908424164,-0.0011355326573043128,0.006256941141562679
ally_middle_champion_id,0.004510391966820526,-0.0004689354062640174,0.005720952186920428
ally_jungle_champion_id,0.004498821611174842,-0.0010270653805408007,0.005378683549175212
ally_top_champion_id,0.003136971342139442,-0.00021410791559629488,0.004043221235885609
enemy_jungle_champion_id,0.002920880363316138,1.5032508924905513e-05,0.0035539201336639782
enemy_top_champion_id,0.002560532198444819,-0.0002918787741442681,0.00328405222467277
ally_bottom_summoner2_id,0.0011401945945034792,0.00024901298633170555,0.002660060831367526
ally_utility_summoner1_id,0.0009991492537170113,-0.00026731430256336444,0.0015331081666307238
ally_bottom_summoner1_id,0.00018908337915191393,0.00018908337915191393,0.0012641453427751778
ally_top_summoner2_id,2.1784534296254572e-05,2.105228104259879e-05,2.2100678172083342e-05
ally_utility_summoner2_id,5.552779350495793e-06,-9.080938442922182e-08,5.553514418469624e-05
enemy_top_summoner2_id,4.579102995952988e-06,-4.579102995952988e-06,6.459619698760571e-05
enemy_jungle_summoner1_id,3.0292053735690715e-06,3.0292053735690715e-06,4.273220043312401e-05
enemy_bottom_summoner1_id,0.0,0.0,0.0
enemy_bottom_summoner2_id,0.0,0.0,0.0
enemy_utility_summoner1_id,0.0,0.0,0.0
enemy_middle_summoner1_id,0.0,0.0,0.0
enemy_utility_summoner2_id,0.0,0.0,0.0
enemy_middle_summoner2_id,0.0,0.0,0.0
ally_middle_summoner2_id,0.0,0.0,0.0
enemy_jungle_summoner2_id,0.0,0.0,0.0
enemy_top_summoner1_id,0.0,0.0,0.0
ally_middle_summoner1_id,0.0,0.0,0.0
ally_jungle_summoner2_id,0.0,0.0,0.0
ally_jungle_summoner1_id,0.0,0.0,0.0
ally_top_summoner1_id,0.0,0.0,0.0
side,0.0,0.0,0.0
