target,epoch,train_loss,val_loss,lr,is_best
raw,1,0.13990230394425812,0.06433887820193376,0.0002,True
raw,2,0.05070583556695726,0.0417559532088626,0.0002,True
raw,3,0.035598942781156044,0.03630737309228514,0.0002,True
raw,4,0.030453167939652408,0.034490781113857394,0.0002,True
raw,5,0.028016383418507394,0.033533144602504936,0.0002,True
raw,6,0.026627732649320137,0.0328932461887884,0.0002,True
raw,7,0.025795833666514757,0.03239064462961054,0.0002,True
raw,8,0.025195051445919395,0.03207128516336265,0.0002,True
raw,9,0.024780544696145382,0.03185281000341641,0.0002,True
raw,10,0.024512911145117704,0.03164934830038572,0.0002,True
raw,11,0.024244871523286166,0.03150593783745036,0.0002,True
raw,12,0.024098134797030824,0.031387180200707,0.0002,True
raw,13,0.02393724274411255,0.03130417163054975,0.0002,True
raw,14,0.023793879600763793,0.0310948516415783,0.0002,True
raw,15,0.0236809821789193,0.031101209251094723,0.0002,False
raw,16,0.023591832261493365,0.031018169030204473,0.0002,True
raw,17,0.02350105158775018,0.030987745315433444,0.0002,True
raw,18,0.023407301875555977,0.03095103907114351,0.0002,True
raw,19,0.02334207379754614,0.030930023972923527,0.0002,True
raw,20,0.02326705472672551,0.03088842878436582,0.0002,True
raw,21,0.02320576893176634,0.030900093723076415,0.0002,False
raw,22,0.023143543194148325,0.03089507101141687,0.0002,False
raw,23,0.023095536310498373,0.030936356450347494,0.0002,False
raw,24,0.02303224531724647,0.030911010077850607,0.0002,False
raw,25,0.02297278277471509,0.030938704108742214,0.0002,False
raw,26,0.022912112637408992,0.030972305076121327,0.0001,False
raw,27,0.022774712829511195,0.030956984213273392,0.0001,False
raw,28,0.02278194952965504,0.030910828289871843,0.0001,False
raw,29,0.02273005617569512,0.030974647654799268,0.0001,False
raw,30,0.022692849014413867,0.030969488096666897,0.0001,False
raw,31,0.022700531244960586,0.030943260360810097,0.0001,False
raw,32,0.022644587648725602,0.030961479024375505,5e-05,False
raw,33,0.02258630063436113,0.030932031259875106,5e-05,False
raw,34,0.0225824127213033,0.031016848829155355,5e-05,False
raw,35,0.022566592880977572,0.030970500207745603,5e-05,False
