group,labeling_mode,label_schema,strategy,lower,upper,split_threshold
blue,by_side,binary_clean,quantile,0.3333333333333333,0.375,0.35416666666666663
red,by_side,binary_clean,quantile,0.25,0.3333333333333333,0.29166666666666663
