task,max_minute,label,n
jungle,10.0,farm_oriented,73484
jungle,10.0,map_presence,83345
support,10.0,lane_anchored,86499
support,10.0,roamer,82484
team,10.0,botside_oriented,70690
team,10.0,topside_oriented,76320
