metric,q,value
support_roam_score,0.01,0.0
support_roam_score,0.05,0.0
support_roam_score,0.1,0.1111111111111111
support_roam_score,0.25,0.125
support_roam_score,0.33,0.2222222222222222
support_roam_score,0.5,0.375
support_roam_score,0.66,0.4444444444444444
support_roam_score,0.75,0.5
support_roam_score,0.9,0.5714285714285714
support_roam_score,0.95,0.6666666666666666
support_roam_score,0.99,0.7777777777777778
