error_rank,match_id,team_id,minute,event_type,killer,victim,assists,killer_relation,victim_relation,assist_relations,ally_support_involved,ally_adc_involved,ally_support_died,ally_adc_died,ally_support_assist,ally_adc_assist,x,y,nearest_frame_minute,support_zone_v5_abs,adc_zone_v5_abs,dist_to_adc,out_bot_context_v5,far_from_adc_v5
1,EUW1_7831489390,200,8.782116666666667,CHAMPION_KILL,"Shaco(JUNGLE,T100,pid2)","Talon(JUNGLE,T200,pid7)",,enemy_jungle,ally_jungle,,False,False,False,False,False,False,8872,4517,9.0039,RED_BOT_JUNGLE,BOT_LANE_CORE,3822.9572323006714,True,True
1,EUW1_7831489390,200,8.937116666666666,CHAMPION_KILL,"Velkoz(BOTTOM,T100,pid4)","KogMaw(MIDDLE,T200,pid8)","Azir(MIDDLE,T100,pid3); Pyke(UTILITY,T100,pid5)",enemy_bottom,ally_middle,enemy_middle; enemy_utility,False,False,False,False,False,False,10505,6147,9.0039,RED_BOT_JUNGLE,BOT_LANE_CORE,3822.9572323006714,True,True
1,EUW1_7831489390,200,9.049666666666667,CHAMPION_KILL,"Azir(MIDDLE,T100,pid3)","Yuumi(UTILITY,T200,pid10)","Shaco(JUNGLE,T100,pid2); Velkoz(BOTTOM,T100,pid4); Pyke(UTILITY,T100,pid5)",enemy_middle,ally_support,enemy_jungle; enemy_bottom; enemy_utility,True,False,True,False,False,False,10621,6264,9.0039,RED_BOT_JUNGLE,BOT_LANE_CORE,3822.9572323006714,True,True
1,EUW1_7831489390,200,9.244633333333333,CHAMPION_KILL,"Velkoz(BOTTOM,T100,pid4)","Smolder(BOTTOM,T200,pid9)",,enemy_bottom,ally_adc,,False,True,False,True,False,False,13396,3923,9.0039,RED_BOT_JUNGLE,BOT_LANE_CORE,3822.9572323006714,True,True
1,EUW1_7831489390,200,10.27385,CHAMPION_KILL,"Talon(JUNGLE,T200,pid7)","Jayce(TOP,T100,pid1)","Sion(TOP,T200,pid6); Yuumi(UTILITY,T200,pid10)",ally_jungle,enemy_top,ally_top; ally_support,True,False,False,False,True,False,3812,13260,10.00395,RED_TOP_JUNGLE,BOT_LANE_CORE,7044.767277916283,True,True
1,EUW1_7831489390,200,10.507166666666667,CHAMPION_KILL,"Azir(MIDDLE,T100,pid3)","Talon(JUNGLE,T200,pid7)","Jayce(TOP,T100,pid1); Shaco(JUNGLE,T100,pid2)",enemy_middle,ally_jungle,enemy_top; enemy_jungle,False,False,False,False,False,False,6083,12671,11.00445,RED_BASE,BOT_LANE_CORE,4185.561133229331,False,False
1,EUW1_7831489390,200,10.635433333333333,CHAMPION_KILL,"Azir(MIDDLE,T100,pid3)","Yuumi(UTILITY,T200,pid10)","Shaco(JUNGLE,T100,pid2)",enemy_middle,ally_support,enemy_jungle,True,False,True,False,False,False,6380,12571,11.00445,RED_BASE,BOT_LANE_CORE,4185.561133229331,False,False
1,EUW1_7831489390,200,11.543733333333334,CHAMPION_KILL,"Azir(MIDDLE,T100,pid3)","KogMaw(MIDDLE,T200,pid8)","Pyke(UTILITY,T100,pid5)",enemy_middle,ally_middle,enemy_utility,False,False,False,False,False,False,8428,7194,11.00445,RED_BASE,BOT_LANE_CORE,4185.561133229331,False,False
1,EUW1_7831489390,200,11.611083333333333,CHAMPION_KILL,"KogMaw(MIDDLE,T200,pid8)","Pyke(UTILITY,T100,pid5)",,ally_middle,enemy_utility,,False,False,False,False,False,False,8471,6222,11.00445,RED_BASE,BOT_LANE_CORE,4185.561133229331,False,False
2,EUW1_7706461344,100,1.8107833333333334,CHAMPION_KILL,"Sona(UTILITY,T200,pid10)","Zeri(BOTTOM,T100,pid4)","Lucian(BOTTOM,T200,pid9)",enemy_utility,ally_adc,enemy_bottom,False,True,False,True,False,False,10393,828,5.003633333333333,BOT_LANE_CORE,BOT_LANE_CORE,6936.849212718985,False,True
2,EUW1_7706461344,100,3.0143666666666666,CHAMPION_KILL,"Graves(JUNGLE,T200,pid7)","Viego(JUNGLE,T100,pid2)",,enemy_jungle,ally_jungle,,False,False,False,False,False,False,1756,6935,5.003633333333333,BOT_LANE_CORE,BOT_LANE_CORE,6936.849212718985,False,True
2,EUW1_7706461344,100,3.4949,CHAMPION_KILL,"Sona(UTILITY,T200,pid10)","Zeri(BOTTOM,T100,pid4)","Lucian(BOTTOM,T200,pid9)",enemy_utility,ally_adc,enemy_bottom,False,True,False,True,False,False,11603,1565,5.003633333333333,BOT_LANE_CORE,BOT_LANE_CORE,6936.849212718985,False,True
2,EUW1_7706461344,100,3.9084666666666665,CHAMPION_KILL,"KSante(TOP,T100,pid1)","Camille(TOP,T200,pid6)",,ally_top,enemy_top,,False,False,False,False,False,False,3488,11938,5.003633333333333,BOT_LANE_CORE,BOT_LANE_CORE,6936.849212718985,False,True
2,EUW1_7706461344,100,4.2114,CHAMPION_KILL,"TwistedFate(MIDDLE,T200,pid8)","Viego(JUNGLE,T100,pid2)","Graves(JUNGLE,T200,pid7)",enemy_middle,ally_jungle,enemy_jungle,False,False,False,False,False,False,4973,5953,5.003633333333333,BOT_LANE_CORE,BOT_LANE_CORE,6936.849212718985,False,True
2,EUW1_7706461344,100,4.3372,CHAMPION_KILL,"Lucian(BOTTOM,T200,pid9)","Zeri(BOTTOM,T100,pid4)","Sona(UTILITY,T200,pid10)",enemy_bottom,ally_adc,enemy_utility,False,True,False,True,False,False,11432,949,5.003633333333333,BOT_LANE_CORE,BOT_LANE_CORE,6936.849212718985,False,True
2,EUW1_7706461344,100,4.995233333333333,CHAMPION_KILL,"TwistedFate(MIDDLE,T200,pid8)","Cassiopeia(MIDDLE,T100,pid3)",,enemy_middle,ally_middle,,False,False,False,False,False,False,6713,6694,5.003633333333333,BOT_LANE_CORE,BOT_LANE_CORE,6936.849212718985,False,True
2,EUW1_7706461344,100,5.69625,CHAMPION_KILL,"Lucian(BOTTOM,T200,pid9)","Yuumi(UTILITY,T100,pid5)","Sona(UTILITY,T200,pid10)",enemy_bottom,ally_support,enemy_utility,True,False,True,False,False,False,10671,878,6.004083333333333,BLUE_BASE,BOT_LANE_CORE,7889.873636503946,False,False
2,EUW1_7706461344,100,6.185266666666666,CHAMPION_KILL,"KSante(TOP,T100,pid1)","Camille(TOP,T200,pid6)",,ally_top,enemy_top,,False,False,False,False,False,False,3424,13203,6.004083333333333,BLUE_BASE,BOT_LANE_CORE,7889.873636503946,False,False
