error_rank,match_id,team_id,minute,event_type,monster_type,building_type,lane_type,killer,killer_relation,assists,ally_support_involved,ally_adc_involved,x,y,nearest_frame_minute,support_zone_v5_abs,adc_zone_v5_abs,dist_to_adc,out_bot_context_v5,far_from_adc_v5
2,EUW1_7706461344,100,10.269566666666666,TURRET_PLATE_DESTROYED,,,TOP_LANE,"KSante(TOP,T100,pid1)",ally_top,,False,False,4318,13875,10.0053,MID_LANE,BOT_LANE_CORE,7409.022877545999,True,True
2,EUW1_7706461344,100,11.115216666666667,TURRET_PLATE_DESTROYED,,,MID_LANE,"Cassiopeia(MIDDLE,T100,pid3)",ally_middle,,False,False,8955,8510,11.005566666666668,MID_LANE,BOT_LANE_CORE,6876.740870499629,True,True
2,EUW1_7706461344,100,11.161416666666666,TURRET_PLATE_DESTROYED,,,TOP_LANE,"TwistedFate(MIDDLE,T200,pid8)",enemy_middle,,False,False,981,10441,11.005566666666668,MID_LANE,BOT_LANE_CORE,6876.740870499629,True,True
2,EUW1_7706461344,100,11.2065,TURRET_PLATE_DESTROYED,,,BOT_LANE,,,,False,False,10504,1029,11.005566666666668,MID_LANE,BOT_LANE_CORE,6876.740870499629,True,True
2,EUW1_7706461344,100,11.310033333333333,TURRET_PLATE_DESTROYED,,,TOP_LANE,,,,False,False,981,10441,11.005566666666668,MID_LANE,BOT_LANE_CORE,6876.740870499629,True,True
2,EUW1_7706461344,100,11.464783333333333,TURRET_PLATE_DESTROYED,,,BOT_LANE,,,,False,False,10504,1029,11.005566666666668,MID_LANE,BOT_LANE_CORE,6876.740870499629,True,True
2,EUW1_7706461344,100,11.464783333333333,BUILDING_KILL,,TOWER_BUILDING,BOT_LANE,"Sona(UTILITY,T200,pid10)",enemy_utility,"Lucian(BOTTOM,T200,pid9)",False,False,10504,1029,11.005566666666668,MID_LANE,BOT_LANE_CORE,6876.740870499629,True,True
2,EUW1_7706461344,100,11.880016666666666,TURRET_PLATE_DESTROYED,,,TOP_LANE,"KSante(TOP,T100,pid1)",ally_top,,False,False,4318,13875,11.005566666666668,MID_LANE,BOT_LANE_CORE,6876.740870499629,True,True
3,EUW1_7708715292,200,2.3575,TURRET_PLATE_DESTROYED,,,BOT_LANE,,,,False,False,10504,1029,5.0032,TOP_LANE_CORE,BOT_LANE_CORE,12145.852172655486,True,True
3,EUW1_7708715292,200,4.6844166666666665,TURRET_PLATE_DESTROYED,,,MID_LANE,,,,False,False,8955,8510,5.0032,TOP_LANE_CORE,BOT_LANE_CORE,12145.852172655486,True,True
3,EUW1_7708715292,200,4.693883333333333,TURRET_PLATE_DESTROYED,,,BOT_LANE,,,,False,False,13866,4505,5.0032,TOP_LANE_CORE,BOT_LANE_CORE,12145.852172655486,True,True
3,EUW1_7708715292,200,5.1997,TURRET_PLATE_DESTROYED,,,MID_LANE,,,,False,False,5846,6396,5.0032,TOP_LANE_CORE,BOT_LANE_CORE,12145.852172655486,True,True
3,EUW1_7708715292,200,6.384016666666667,TURRET_PLATE_DESTROYED,,,BOT_LANE,,,,False,False,10504,1029,6.00365,MID_LANE,BOT_LANE_CORE,7680.032877533794,False,False
3,EUW1_7708715292,200,6.874083333333333,TURRET_PLATE_DESTROYED,,,TOP_LANE,,,,False,False,981,10441,7.004166666666666,MID_LANE,BOT_LANE_CORE,6224.018396502376,True,True
3,EUW1_7708715292,200,7.303833333333333,TURRET_PLATE_DESTROYED,,,BOT_LANE,,,,False,False,13866,4505,7.004166666666666,MID_LANE,BOT_LANE_CORE,6224.018396502376,True,True
3,EUW1_7708715292,200,8.849833333333333,ELITE_MONSTER_KILL,DRAGON,,,"Diana(JUNGLE,T200,pid7)",ally_jungle,,False,False,9957,5211,9.004566666666667,MID_LANE,BOT_LANE_CORE,7682.627740558564,False,False
3,EUW1_7708715292,200,8.870433333333333,TURRET_PLATE_DESTROYED,,,TOP_LANE,"Swain(TOP,T100,pid1)",enemy_top,,False,False,4318,13875,9.004566666666667,MID_LANE,BOT_LANE_CORE,7682.627740558564,False,False
3,EUW1_7708715292,200,8.967583333333334,ELITE_MONSTER_KILL,HORDE,,,"Nidalee(JUNGLE,T100,pid2)",enemy_jungle,,False,False,4758,9925,9.004566666666667,MID_LANE,BOT_LANE_CORE,7682.627740558564,False,False
3,EUW1_7708715292,200,9.11925,ELITE_MONSTER_KILL,HORDE,,,"Nidalee(JUNGLE,T100,pid2)",enemy_jungle,,False,False,4809,10035,9.004566666666667,MID_LANE,BOT_LANE_CORE,7682.627740558564,False,False
3,EUW1_7708715292,200,9.24685,ELITE_MONSTER_KILL,HORDE,,,"Nidalee(JUNGLE,T100,pid2)",enemy_jungle,"Qiyana(MIDDLE,T100,pid3)",False,False,4654,10048,9.004566666666667,MID_LANE,BOT_LANE_CORE,7682.627740558564,False,False
3,EUW1_7708715292,200,9.308083333333334,TURRET_PLATE_DESTROYED,,,TOP_LANE,"Teemo(TOP,T200,pid6)",ally_top,,False,False,981,10441,9.004566666666667,MID_LANE,BOT_LANE_CORE,7682.627740558564,False,False
3,EUW1_7708715292,200,9.630516666666667,TURRET_PLATE_DESTROYED,,,MID_LANE,"Yasuo(MIDDLE,T200,pid8)",ally_middle,,False,False,5846,6396,10.005016666666666,TOP_SIDE_NEAR,BOT_LANE_CORE,11685.627283120064,True,True
3,EUW1_7708715292,200,9.707883333333333,TURRET_PLATE_DESTROYED,,,BOT_LANE,"Tristana(BOTTOM,T100,pid4)",enemy_bottom,,False,False,13866,4505,10.005016666666666,TOP_SIDE_NEAR,BOT_LANE_CORE,11685.627283120064,True,True
3,EUW1_7708715292,200,9.885666666666667,TURRET_PLATE_DESTROYED,,,MID_LANE,"Yasuo(MIDDLE,T200,pid8)",ally_middle,,False,False,5846,6396,10.005016666666666,TOP_SIDE_NEAR,BOT_LANE_CORE,11685.627283120064,True,True
3,EUW1_7708715292,200,9.88955,TURRET_PLATE_DESTROYED,,,BOT_LANE,"Tristana(BOTTOM,T100,pid4)",enemy_bottom,,False,False,13866,4505,10.005016666666666,TOP_SIDE_NEAR,BOT_LANE_CORE,11685.627283120064,True,True
3,EUW1_7708715292,200,10.331383333333333,TURRET_PLATE_DESTROYED,,,BOT_LANE,"Tristana(BOTTOM,T100,pid4)",enemy_bottom,,False,False,13866,4505,10.005016666666666,TOP_SIDE_NEAR,BOT_LANE_CORE,11685.627283120064,True,True
3,EUW1_7708715292,200,10.331383333333333,BUILDING_KILL,,TOWER_BUILDING,BOT_LANE,"Tristana(BOTTOM,T100,pid4)",enemy_bottom,"Blitzcrank(UTILITY,T100,pid5)",False,False,13866,4505,10.005016666666666,TOP_SIDE_NEAR,BOT_LANE_CORE,11685.627283120064,True,True
3,EUW1_7708715292,200,11.260566666666668,TURRET_PLATE_DESTROYED,,,MID_LANE,,,,False,False,8955,8510,11.005483333333334,MID_LANE,BOT_LANE_CORE,6292.21693840891,True,True
3,EUW1_7708715292,200,11.603816666666667,TURRET_PLATE_DESTROYED,,,MID_LANE,"Tristana(BOTTOM,T100,pid4)",enemy_bottom,,False,False,8955,8510,11.005483333333334,MID_LANE,BOT_LANE_CORE,6292.21693840891,True,True
3,EUW1_7708715292,200,11.909633333333334,TURRET_PLATE_DESTROYED,,,TOP_LANE,,,,False,False,4318,13875,11.005483333333334,MID_LANE,BOT_LANE_CORE,6292.21693840891,True,True
4,EUW1_7783266689,200,4.36745,TURRET_PLATE_DESTROYED,,,BOT_LANE,"Senna(UTILITY,T200,pid10)",ally_support,,True,False,10504,1029,5.0006,RED_TOP_JUNGLE,RED_BASE,5978.234689270738,True,False
4,EUW1_7783266689,200,6.668233333333333,TURRET_PLATE_DESTROYED,,,TOP_LANE,"Garen(TOP,T200,pid6)",ally_top,,False,False,981,10441,7.001266666666667,RIVER_BOT,BOT_LANE_CORE,5832.262425508647,False,True
4,EUW1_7783266689,200,6.91665,TURRET_PLATE_DESTROYED,,,TOP_LANE,,,,False,False,981,10441,7.001266666666667,RIVER_BOT,BOT_LANE_CORE,5832.262425508647,False,True
4,EUW1_7783266689,200,7.1847666666666665,TURRET_PLATE_DESTROYED,,,BOT_LANE,"Twitch(BOTTOM,T100,pid4)",enemy_bottom,,False,False,13866,4505,7.001266666666667,RIVER_BOT,BOT_LANE_CORE,5832.262425508647,False,True
4,EUW1_7783266689,200,7.867683333333333,TURRET_PLATE_DESTROYED,,,BOT_LANE,"Twitch(BOTTOM,T100,pid4)",enemy_bottom,,False,False,13866,4505,8.001283333333333,RED_TOP_JUNGLE,BOT_LANE_CORE,8988.421941586854,True,True
4,EUW1_7783266689,200,8.394933333333332,TURRET_PLATE_DESTROYED,,,BOT_LANE,"Twitch(BOTTOM,T100,pid4)",enemy_bottom,,False,False,13866,4505,8.001283333333333,RED_TOP_JUNGLE,BOT_LANE_CORE,8988.421941586854,True,True
4,EUW1_7783266689,200,8.422766666666666,ELITE_MONSTER_KILL,HORDE,,,"Nidalee(JUNGLE,T200,pid7)",ally_jungle,"Senna(UTILITY,T200,pid10)",True,False,4811,9974,8.001283333333333,RED_TOP_JUNGLE,BOT_LANE_CORE,8988.421941586854,True,True
4,EUW1_7783266689,200,8.543966666666666,ELITE_MONSTER_KILL,HORDE,,,"Senna(UTILITY,T200,pid10)",ally_support,"Nidalee(JUNGLE,T200,pid7)",True,False,4700,10092,9.001716666666667,RED_BASE,BOT_LANE_CORE,5104.07729173452,False,False
4,EUW1_7783266689,200,8.6696,ELITE_MONSTER_KILL,HORDE,,,"Nidalee(JUNGLE,T200,pid7)",ally_jungle,"Senna(UTILITY,T200,pid10)",True,False,4816,10208,9.001716666666667,RED_BASE,BOT_LANE_CORE,5104.07729173452,False,False
4,EUW1_7783266689,200,10.76445,TURRET_PLATE_DESTROYED,,,MID_LANE,"KogMaw(MIDDLE,T100,pid3)",enemy_middle,,False,False,8955,8510,11.0021,RED_BOT_JUNGLE,BOT_LANE_CORE,9147.061714015052,True,True
4,EUW1_7783266689,200,11.256283333333334,TURRET_PLATE_DESTROYED,,,BOT_LANE,,,,False,False,10504,1029,11.0021,RED_BOT_JUNGLE,BOT_LANE_CORE,9147.061714015052,True,True
4,EUW1_7783266689,200,11.7567,TURRET_PLATE_DESTROYED,,,BOT_LANE,"Twitch(BOTTOM,T100,pid4)",enemy_bottom,,False,False,13866,4505,11.0021,RED_BOT_JUNGLE,BOT_LANE_CORE,9147.061714015052,True,True
5,EUW1_7714775914,200,4.190016666666667,TURRET_PLATE_DESTROYED,,,BOT_LANE,"Senna(UTILITY,T200,pid10)",ally_support,,True,False,10504,1029,5.002566666666667,TOP_SIDE_NEAR,BOT_LANE_CORE,12186.60814172672,True,True
5,EUW1_7714775914,200,4.33645,TURRET_PLATE_DESTROYED,,,TOP_LANE,"Cassiopeia(TOP,T100,pid1)",enemy_top,,False,False,4318,13875,5.002566666666667,TOP_SIDE_NEAR,BOT_LANE_CORE,12186.60814172672,True,True
5,EUW1_7714775914,200,5.622983333333333,TURRET_PLATE_DESTROYED,,,BOT_LANE,"Ezreal(BOTTOM,T100,pid4)",enemy_bottom,,False,False,13866,4505,6.002633333333334,RED_BASE,BOT_LANE_CORE,10473.95646353373,False,False
5,EUW1_7714775914,200,7.207533333333333,TURRET_PLATE_DESTROYED,,,MID_LANE,"Irelia(MIDDLE,T200,pid8)",ally_middle,,False,False,5846,6396,7.00295,TOP_SIDE_NEAR,BOT_LANE_CORE,11514.798000833536,True,True
5,EUW1_7714775914,200,7.5862,TURRET_PLATE_DESTROYED,,,MID_LANE,"Irelia(MIDDLE,T200,pid8)",ally_middle,,False,False,5846,6396,8.003416666666666,RED_BASE,BOT_LANE_CORE,10335.237829871165,False,False
5,EUW1_7714775914,200,7.88635,TURRET_PLATE_DESTROYED,,,TOP_LANE,"TwistedFate(MIDDLE,T100,pid3)",enemy_middle,,False,False,4318,13875,8.003416666666666,RED_BASE,BOT_LANE_CORE,10335.237829871165,False,False
5,EUW1_7714775914,200,8.195466666666666,TURRET_PLATE_DESTROYED,,,MID_LANE,"Cassiopeia(TOP,T100,pid1)",enemy_top,,False,False,8955,8510,8.003416666666666,RED_BASE,BOT_LANE_CORE,10335.237829871165,False,False
5,EUW1_7714775914,200,9.029483333333333,ELITE_MONSTER_KILL,HORDE,,,"Kayn(JUNGLE,T200,pid7)",ally_jungle,,False,False,5210,10424,9.0039,RIVER_TOP,BOT_LANE_CORE,9363.415829706591,True,True
5,EUW1_7714775914,200,9.1514,ELITE_MONSTER_KILL,HORDE,,,"Kayn(JUNGLE,T200,pid7)",ally_jungle,"Senna(UTILITY,T200,pid10)",True,False,4916,10303,9.0039,RIVER_TOP,BOT_LANE_CORE,9363.415829706591,True,True
5,EUW1_7714775914,200,9.1965,ELITE_MONSTER_KILL,HORDE,,,"Kayn(JUNGLE,T200,pid7)",ally_jungle,"Senna(UTILITY,T200,pid10)",True,False,4871,10622,9.0039,RIVER_TOP,BOT_LANE_CORE,9363.415829706591,True,True
5,EUW1_7714775914,200,9.2544,TURRET_PLATE_DESTROYED,,,BOT_LANE,"Ezreal(BOTTOM,T100,pid4)",enemy_bottom,,False,False,13866,4505,9.0039,RIVER_TOP,BOT_LANE_CORE,9363.415829706591,True,True
5,EUW1_7714775914,200,9.328433333333333,TURRET_PLATE_DESTROYED,,,TOP_LANE,"DrMundo(TOP,T200,pid6)",ally_top,,False,False,981,10441,9.0039,RIVER_TOP,BOT_LANE_CORE,9363.415829706591,True,True
5,EUW1_7714775914,200,10.175666666666666,TURRET_PLATE_DESTROYED,,,MID_LANE,,,,False,False,5846,6396,10.004116666666668,MID_LANE,BOT_LANE_CORE,6524.533699813343,True,True
5,EUW1_7714775914,200,10.4175,ELITE_MONSTER_KILL,DRAGON,,,"Naafiri(JUNGLE,T100,pid2)",enemy_jungle,"TwistedFate(MIDDLE,T100,pid3); Rell(UTILITY,T100,pid5); Kayn(JUNGLE,T200,pid7); Irelia(MIDDLE,T200,pid8); Senna(UTILITY,T200,pid10)",True,False,10157,5099,10.004116666666668,MID_LANE,BOT_LANE_CORE,6524.533699813343,True,True
5,EUW1_7714775914,200,11.056266666666666,TURRET_PLATE_DESTROYED,,,BOT_LANE,"Kaisa(BOTTOM,T200,pid9)",ally_adc,,False,True,10504,1029,11.004516666666667,BOT_LANE_CORE,BOT_LANE_CORE,2630.25854242506,False,False
5,EUW1_7714775914,200,11.756283333333334,TURRET_PLATE_DESTROYED,,,BOT_LANE,,,,False,False,13866,4505,11.004516666666667,BOT_LANE_CORE,BOT_LANE_CORE,2630.25854242506,False,False
6,EUW1_7705744974,100,5.4272,TURRET_PLATE_DESTROYED,,,BOT_LANE,"Ashe(BOTTOM,T200,pid9)",enemy_bottom,,False,False,10504,1029,5.000866666666667,BLUE_BOT_JUNGLE,BOT_LANE_CORE,6101.968944529298,True,True
6,EUW1_7705744974,100,5.630933333333333,TURRET_PLATE_DESTROYED,,,MID_LANE,,,,False,False,8955,8510,6.0013,RIVER_TOP,BOT_LANE_CORE,7859.665132815774,True,False
6,EUW1_7705744974,100,5.642066666666667,ELITE_MONSTER_KILL,DRAGON,,,"Naafiri(JUNGLE,T200,pid7)",enemy_jungle,"Lulu(UTILITY,T200,pid10)",False,False,9837,4397,6.0013,RIVER_TOP,BOT_LANE_CORE,7859.665132815774,True,False
6,EUW1_7705744974,100,6.329583333333333,TURRET_PLATE_DESTROYED,,,BOT_LANE,,,,False,False,10504,1029,6.0013,RIVER_TOP,BOT_LANE_CORE,7859.665132815774,True,False
6,EUW1_7705744974,100,6.7675833333333335,TURRET_PLATE_DESTROYED,,,TOP_LANE,"Kled(TOP,T100,pid1)",ally_top,,False,False,4318,13875,7.001366666666667,BLUE_BASE,MID_LANE,5383.920133137192,False,False
6,EUW1_7705744974,100,6.87055,TURRET_PLATE_DESTROYED,,,TOP_LANE,,,,False,False,4318,13875,7.001366666666667,BLUE_BASE,MID_LANE,5383.920133137192,False,False
6,EUW1_7705744974,100,7.118333333333333,TURRET_PLATE_DESTROYED,,,TOP_LANE,"Kled(TOP,T100,pid1)",ally_top,,False,False,4318,13875,7.001366666666667,BLUE_BASE,MID_LANE,5383.920133137192,False,False
6,EUW1_7705744974,100,7.6145,TURRET_PLATE_DESTROYED,,,TOP_LANE,"Kled(TOP,T100,pid1)",ally_top,,False,False,4318,13875,8.001666666666667,RIVER_TOP,BOT_LANE_CORE,7611.620918043672,True,True
6,EUW1_7705744974,100,7.73585,TURRET_PLATE_DESTROYED,,,MID_LANE,,,,False,False,8955,8510,8.001666666666667,RIVER_TOP,BOT_LANE_CORE,7611.620918043672,True,True
6,EUW1_7705744974,100,7.829633333333334,TURRET_PLATE_DESTROYED,,,BOT_LANE,"Ashe(BOTTOM,T200,pid9)",enemy_bottom,,False,False,10504,1029,8.001666666666667,RIVER_TOP,BOT_LANE_CORE,7611.620918043672,True,True
6,EUW1_7705744974,100,8.762466666666667,TURRET_PLATE_DESTROYED,,,BOT_LANE,,,,False,False,10504,1029,9.00355,BLUE_BOT_JUNGLE,BOT_LANE_CORE,6596.121284512588,True,True
6,EUW1_7705744974,100,8.9563,ELITE_MONSTER_KILL,HORDE,,,"FiddleSticks(JUNGLE,T100,pid2)",ally_jungle,,False,False,4789,10483,9.00355,BLUE_BOT_JUNGLE,BOT_LANE_CORE,6596.121284512588,True,True
6,EUW1_7705744974,100,9.029483333333333,ELITE_MONSTER_KILL,HORDE,,,"FiddleSticks(JUNGLE,T100,pid2)",ally_jungle,,False,False,4976,10110,9.00355,BLUE_BOT_JUNGLE,BOT_LANE_CORE,6596.121284512588,True,True
6,EUW1_7705744974,100,9.071783333333334,ELITE_MONSTER_KILL,HORDE,,,"FiddleSticks(JUNGLE,T100,pid2)",ally_jungle,,False,False,4790,10182,9.00355,BLUE_BOT_JUNGLE,BOT_LANE_CORE,6596.121284512588,True,True
6,EUW1_7705744974,100,9.762283333333333,TURRET_PLATE_DESTROYED,,,TOP_LANE,,,,False,False,4318,13875,10.003666666666666,BLUE_BASE,BOT_LANE_CORE,3296.7960203810003,False,False
6,EUW1_7705744974,100,9.762283333333333,BUILDING_KILL,,TOWER_BUILDING,TOP_LANE,"Kled(TOP,T100,pid1)",ally_top,,False,False,4318,13875,10.003666666666666,BLUE_BASE,BOT_LANE_CORE,3296.7960203810003,False,False
6,EUW1_7705744974,100,9.98195,TURRET_PLATE_DESTROYED,,,TOP_LANE,"Kled(TOP,T100,pid1)",ally_top,,False,False,7943,13411,10.003666666666666,BLUE_BASE,BOT_LANE_CORE,3296.7960203810003,False,False
6,EUW1_7705744974,100,10.017733333333334,TURRET_PLATE_DESTROYED,,,TOP_LANE,"Kled(TOP,T100,pid1)",ally_top,,False,False,7943,13411,10.003666666666666,BLUE_BASE,BOT_LANE_CORE,3296.7960203810003,False,False
6,EUW1_7705744974,100,11.065033333333334,TURRET_PLATE_DESTROYED,,,MID_LANE,,,,False,False,8955,8510,11.004133333333334,BLUE_BOT_JUNGLE,BOT_LANE_CORE,4196.604579895514,True,True
6,EUW1_7705744974,100,11.44185,TURRET_PLATE_DESTROYED,,,TOP_LANE,"Kled(TOP,T100,pid1)",ally_top,,False,False,7943,13411,11.004133333333334,BLUE_BOT_JUNGLE,BOT_LANE_CORE,4196.604579895514,True,True
6,EUW1_7705744974,100,11.504416666666666,TURRET_PLATE_DESTROYED,,,TOP_LANE,"Kled(TOP,T100,pid1)",ally_top,,False,False,7943,13411,11.004133333333334,BLUE_BOT_JUNGLE,BOT_LANE_CORE,4196.604579895514,True,True
6,EUW1_7705744974,100,11.8264,TURRET_PLATE_DESTROYED,,,BOT_LANE,"Caitlyn(BOTTOM,T100,pid4)",ally_adc,,False,True,13866,4505,11.004133333333334,BLUE_BOT_JUNGLE,BOT_LANE_CORE,4196.604579895514,True,True
6,EUW1_7705744974,100,11.96555,TURRET_PLATE_DESTROYED,,,MID_LANE,"Galio(MIDDLE,T200,pid8)",enemy_middle,,False,False,5846,6396,11.004133333333334,BLUE_BOT_JUNGLE,BOT_LANE_CORE,4196.604579895514,True,True
6,EUW1_7705744974,100,11.9778,TURRET_PLATE_DESTROYED,,,BOT_LANE,"Caitlyn(BOTTOM,T100,pid4)",ally_adc,,False,True,13866,4505,11.004133333333334,BLUE_BOT_JUNGLE,BOT_LANE_CORE,4196.604579895514,True,True
7,EUW1_7830670024,100,2.3722,TURRET_PLATE_DESTROYED,,,TOP_LANE,,,,False,False,4318,13875,5.001133333333334,BLUE_BOT_JUNGLE,BOT_LANE_CORE,4698.4385704189,True,True
7,EUW1_7830670024,100,4.76525,TURRET_PLATE_DESTROYED,,,BOT_LANE,"Jinx(BOTTOM,T200,pid9)",enemy_bottom,,False,False,10504,1029,5.001133333333334,BLUE_BOT_JUNGLE,BOT_LANE_CORE,4698.4385704189,True,True
7,EUW1_7830670024,100,4.869916666666667,TURRET_PLATE_DESTROYED,,,TOP_LANE,,,,False,False,4318,13875,5.001133333333334,BLUE_BOT_JUNGLE,BOT_LANE_CORE,4698.4385704189,True,True
7,EUW1_7830670024,100,5.79555,TURRET_PLATE_DESTROYED,,,MID_LANE,,,,False,False,8955,8510,6.00115,RED_TOP_JUNGLE,BOT_LANE_CORE,9182.519534419733,True,True
7,EUW1_7830670024,100,6.136983333333333,ELITE_MONSTER_KILL,DRAGON,,,"Udyr(JUNGLE,T200,pid7)",enemy_jungle,,False,False,10244,4811,6.00115,RED_TOP_JUNGLE,BOT_LANE_CORE,9182.519534419733,True,True
