group,labeling_mode,label_schema,strategy,lower,upper,split_threshold
blue,by_side,ternary,quantile,-0.5555555555555556,-0.2857142857142857,-0.42063492063492064
red,by_side,ternary,quantile,-0.6,-0.3333333333333333,-0.4666666666666667
