table,left_rows,right_rows,left_unique_keys,right_unique_keys,overlap_keys,left_only_keys,right_only_keys
jungle,326244,156829,326244,156829,156829,169415,0
support,326244,168983,326244,168983,168983,157261,0
team,326244,147010,326244,147010,147010,179234,0
