side,n,mean,median,std,q25,q75
blue,8142,-0.46913316745040107,-0.5,0.17667577850186755,-0.5714285714285714,-0.3333333333333333
red,8142,-0.4887607607811698,-0.5,0.16779438695333346,-0.6,-0.38461538461538464
