group,labeling_mode,label_schema,strategy,lower,upper,split_threshold
blue,by_side,ternary,quantile,-0.625,-0.3333333333333333,-0.47916666666666663
red,by_side,ternary,quantile,-0.6363636363636364,-0.3333333333333333,-0.48484848484848486
