task,max_minute,label,n
jungle,11.0,ambiguous,8187
jungle,11.0,farm_oriented,4094
jungle,11.0,map_presence,4002
support,11.0,ambiguous,8179
support,11.0,lane_anchored,4216
support,11.0,roamer,3889
team,11.0,ambiguous,9150
team,11.0,botside_oriented,3471
team,11.0,topside_oriented,3663
