match_id,team_id,frame_idx,minute,support_x,support_y,support_zone_v5_abs,support_exclusion_reason
EUW1_7696403856,100,7,7.0037,1372.0,827.0,BLUE_BASE,support_in_base
EUW1_7696403856,100,11,11.00415,2963.0,2360.0,BLUE_BASE,support_in_base
EUW1_7696404030,200,9,9.004916666666666,13376.0,11653.0,RED_BASE,support_in_base
EUW1_7696404588,100,10,10.00485,1678.0,1069.0,BLUE_BASE,support_in_base
EUW1_7696404588,200,8,8.00415,14238.0,13439.0,RED_BASE,support_in_base
EUW1_7696405024,100,6,6.003416666666666,3494.0,751.0,BLUE_BASE,support_in_base
EUW1_7696405024,100,8,8.0041,12975.0,1962.0,BOT_LANE_CORE,support_dead_with_xy
EUW1_7696405433,100,9,9.001616666666667,394.0,461.0,BLUE_BASE,support_in_base
EUW1_7696405433,200,9,9.001616666666667,11276.0,1808.0,BOT_LANE_CORE,support_dead_with_xy
EUW1_7696405497,100,10,10.004833333333334,13644.0,1896.0,BOT_LANE_CORE,support_dead_with_xy
EUW1_7696405497,200,5,5.003033333333334,13326.0,12850.0,RED_BASE,support_in_base
EUW1_7696405497,200,11,11.00505,11787.0,6712.0,RED_BOT_JUNGLE,support_dead_with_xy
EUW1_7696405676,200,9,9.003683333333333,13216.0,12451.0,RED_BASE,support_in_base
EUW1_7696406637,100,5,5.00305,2734.0,958.0,BLUE_BASE,support_in_base
EUW1_7696406637,200,5,5.00305,14340.0,14391.0,RED_BASE,support_in_base
EUW1_7696406637,200,7,7.0039,14340.0,14391.0,RED_BASE,support_in_base
EUW1_7696407480,100,7,7.001033333333333,1086.0,875.0,BLUE_BASE,support_in_base
EUW1_7696407480,100,10,10.00165,1612.0,2391.0,BLUE_BASE,support_in_base
EUW1_7696407480,200,7,7.001033333333333,13908.0,11008.0,RED_BASE,support_in_base
EUW1_7696407480,200,10,10.00165,14329.0,13954.0,RED_BASE,support_in_base
EUW1_7696407606,200,10,10.004116666666667,10642.0,1671.0,BOT_LANE_CORE,support_dead_with_xy
EUW1_7696407778,100,6,6.003233333333333,2522.0,753.0,BLUE_BASE,support_in_base
EUW1_7696407778,100,10,10.004133333333334,2843.0,13611.0,TOP_LANE_CORE,support_dead_with_xy
EUW1_7696408435,100,11,11.004716666666667,394.0,461.0,BLUE_BASE,support_in_base
EUW1_7696408435,200,6,6.002766666666667,14132.0,11219.0,RED_BASE,support_in_base
EUW1_7696408435,200,10,10.004483333333333,14340.0,14391.0,RED_BASE,support_in_base
EUW1_7696409072,100,10,10.00375,1304.0,710.0,BLUE_BASE,support_in_base
EUW1_7696409072,100,11,11.004016666666667,13028.0,4384.0,BOT_LANE_CORE,support_dead_with_xy
EUW1_7696409072,200,7,7.0029,13375.0,12244.0,RED_BASE,support_in_base
EUW1_7696409152,100,5,5.002633333333334,837.0,466.0,BLUE_BASE,support_in_base
EUW1_7696409152,100,7,7.003066666666666,2915.0,781.0,BLUE_BASE,support_in_base
EUW1_7696409152,100,8,8.003466666666666,10980.0,3714.0,BOT_SIDE_NEAR,support_dead_with_xy
EUW1_7696409665,100,9,9.003583333333333,11119.0,4949.0,BOT_SIDE_NEAR,support_dead_with_xy
EUW1_7696409665,200,6,6.0032,14000.0,3880.0,BOT_LANE_CORE,support_dead_with_xy
EUW1_7696409750,100,6,6.003033333333334,2123.0,681.0,BLUE_BASE,support_in_base
EUW1_7696409750,100,11,11.004516666666667,715.0,237.0,BLUE_BASE,support_in_base
EUW1_7696409750,200,5,5.0029,12311.0,2091.0,BOT_LANE_CORE,support_dead_with_xy
EUW1_7696409750,200,6,6.003033333333334,11959.0,2821.0,BOT_SIDE_NEAR,support_dead_with_xy
EUW1_7696409750,200,11,11.004516666666667,14040.0,12834.0,RED_BASE,support_in_base
EUW1_7696409956,200,8,8.003216666666667,13684.0,14128.0,RED_BASE,support_in_base
EUW1_7696410471,200,8,8.003933333333332,14340.0,14391.0,RED_BASE,support_in_base
EUW1_7696410798,100,5,5.002533333333333,605.0,539.0,BLUE_BASE,support_in_base
EUW1_7696410798,100,7,7.0032,11414.0,1436.0,BOT_LANE_CORE,support_dead_with_xy
EUW1_7696411262,100,7,7.0037666666666665,769.0,524.0,BLUE_BASE,support_in_base
EUW1_7696411262,100,9,9.004616666666667,700.0,531.0,BLUE_BASE,support_in_base
EUW1_7696411262,200,6,6.0034,14134.0,13575.0,RED_BASE,support_in_base
EUW1_7696411462,200,9,9.0038,13106.0,12143.0,RED_BASE,support_in_base
EUW1_7696411938,200,11,11.004666666666667,14005.0,13396.0,RED_BASE,support_in_base
EUW1_7696412378,100,5,5.002533333333333,394.0,461.0,BLUE_BASE,support_in_base
EUW1_7696412378,100,6,6.0026,11163.0,5216.0,BOT_SIDE_NEAR,support_dead_with_xy
EUW1_7696412378,200,6,6.0026,11355.0,4541.0,BOT_SIDE_NEAR,support_dead_with_xy
EUW1_7696412378,200,9,9.003566666666666,4793.0,6609.0,BLUE_TOP_JUNGLE,support_dead_with_xy
EUW1_7696412638,200,6,6.00355,14037.0,4938.0,BOT_LANE_CORE,support_dead_with_xy
EUW1_7696413192,100,10,10.004566666666667,1276.0,734.0,BLUE_BASE,support_in_base
EUW1_7696413192,200,5,5.00315,13421.0,11666.0,RED_BASE,support_in_base
EUW1_7696413192,200,6,6.003516666666667,14252.0,13724.0,RED_BASE,support_in_base
EUW1_7696413192,200,11,11.004616666666667,14231.0,14196.0,RED_BASE,support_in_base
EUW1_7696413404,100,6,6.0031,1472.0,791.0,BLUE_BASE,support_in_base
EUW1_7696413432,100,8,8.00335,10195.0,858.0,BOT_LANE_CORE,support_dead_with_xy
EUW1_7696413432,200,5,5.002583333333333,11544.0,1480.0,BOT_LANE_CORE,support_dead_with_xy
EUW1_7696413432,200,8,8.00335,14340.0,14391.0,RED_BASE,support_in_base
EUW1_7696413626,100,8,8.001683333333334,12547.0,1724.0,BOT_LANE_CORE,support_dead_with_xy
EUW1_7696413626,200,5,5.0007166666666665,14340.0,14391.0,RED_BASE,support_in_base
EUW1_7696414228,200,5,5.002633333333334,8862.0,6544.0,RIVER_BOT,support_dead_with_xy
EUW1_7696414228,200,6,6.002833333333333,14014.0,3963.0,BOT_LANE_CORE,support_dead_with_xy
EUW1_7696414228,200,8,8.00325,12245.0,2483.0,BOT_LANE_CORE,support_dead_with_xy
EUW1_7696414350,100,6,6.003183333333333,11929.0,2121.0,BOT_LANE_CORE,support_dead_with_xy
EUW1_7696414350,100,7,7.003716666666667,544.0,481.0,BLUE_BASE,support_in_base
EUW1_7696414350,100,9,9.004333333333333,804.0,498.0,BLUE_BASE,support_in_base
EUW1_7696414350,100,10,10.004516666666667,10642.0,3142.0,BOT_SIDE_NEAR,support_dead_with_xy
EUW1_7696415596,100,6,6.002966666666667,12116.0,3063.0,BOT_SIDE_NEAR,support_dead_with_xy
EUW1_7696415596,200,6,6.002966666666667,12560.0,12730.0,RED_BASE,support_in_base
