match_id,team_id,frame_idx,minute,adc_x,adc_y,adc_zone_v5_abs,adc_exclusion_reason
EUW1_7697173650,200,8,8.0038,13500.0,3437.0,BOT_LANE_CORE,adc_dead_with_xy
EUW1_7697174086,100,9,9.003833333333333,3509.0,683.0,BLUE_BASE,adc_in_base
EUW1_7697175332,200,7,7.0053833333333335,13732.0,4710.0,BOT_LANE_CORE,adc_dead_with_xy
EUW1_7697175650,100,6,6.0016,11704.0,1003.0,BOT_LANE_CORE,adc_dead_with_xy
EUW1_7697175650,200,10,10.004516666666667,14356.0,14062.0,RED_BASE,adc_in_base
EUW1_7697176252,200,7,7.003433333333334,13788.0,4370.0,BOT_LANE_CORE,adc_dead_with_xy
EUW1_7697178146,200,7,7.00325,13602.0,2934.0,BOT_LANE_CORE,adc_dead_with_xy
EUW1_7697178146,200,8,8.00335,13294.0,4560.0,BOT_LANE_CORE,adc_dead_with_xy
EUW1_7697178722,100,10,10.004633333333333,1733.0,730.0,BLUE_BASE,adc_in_base
EUW1_7697180327,100,5,5.002566666666667,11799.0,1142.0,BOT_LANE_CORE,adc_dead_with_xy
EUW1_7697180327,200,5,5.002566666666667,12420.0,1477.0,BOT_LANE_CORE,adc_dead_with_xy
EUW1_7697180327,200,9,9.004116666666667,13998.0,11006.0,RED_BASE,adc_in_base
EUW1_7697180857,200,6,6.003566666666667,13720.0,4444.0,BOT_LANE_CORE,adc_dead_with_xy
EUW1_7697180857,200,11,11.005383333333333,14340.0,14391.0,RED_BASE,adc_in_base
EUW1_7697182314,200,9,9.00395,14163.0,12071.0,RED_BASE,adc_in_base
EUW1_7697183513,200,8,8.003483333333334,14317.0,14120.0,RED_BASE,adc_in_base
EUW1_7697183513,200,9,9.003816666666667,14185.0,12715.0,RED_BASE,adc_in_base
EUW1_7697183918,200,7,7.001216666666667,11506.0,1164.0,BOT_LANE_CORE,adc_dead_with_xy
EUW1_7697185083,200,9,9.003416666666666,14001.0,11220.0,RED_BASE,adc_in_base
EUW1_7697185865,100,8,8.004466666666668,2969.0,805.0,BLUE_BASE,adc_in_base
EUW1_7697185865,200,9,9.00485,13622.0,2258.0,BOT_LANE_CORE,adc_dead_with_xy
EUW1_7697186555,100,8,8.001133333333334,11215.0,3469.0,BOT_SIDE_NEAR,adc_dead_with_xy
EUW1_7697186625,100,9,9.00385,11112.0,1599.0,BOT_LANE_CORE,adc_dead_with_xy
EUW1_7697186625,100,10,10.004116666666667,9831.0,1297.0,BOT_LANE_CORE,adc_dead_with_xy
EUW1_7697186625,100,11,11.004633333333333,8712.0,1058.0,BOT_LANE_CORE,adc_dead_with_xy
EUW1_7697187251,100,6,6.0023333333333335,1872.0,721.0,BLUE_BASE,adc_in_base
EUW1_7697188643,100,10,10.00425,881.0,570.0,BLUE_BASE,adc_in_base
EUW1_7697191240,200,7,7.003966666666667,13729.0,5008.0,BOT_LANE_CORE,adc_dead_with_xy
EUW1_7697191522,100,10,10.004366666666666,10821.0,1049.0,BOT_LANE_CORE,adc_dead_with_xy
EUW1_7697191522,200,11,11.004533333333333,5576.0,8436.0,RIVER_TOP,adc_dead_with_xy
EUW1_7697191530,200,10,10.004016666666667,9626.0,1554.0,BOT_LANE_CORE,adc_dead_with_xy
EUW1_7697192644,100,7,7.003216666666667,394.0,461.0,BLUE_BASE,adc_in_base
EUW1_7697193530,200,8,8.002033333333333,12329.0,2019.0,BOT_LANE_CORE,adc_dead_with_xy
EUW1_7697194515,100,9,9.00375,11872.0,1280.0,BOT_LANE_CORE,adc_dead_with_xy
EUW1_7697194515,100,11,11.004116666666667,3433.0,876.0,BLUE_BASE,adc_in_base
EUW1_7697196331,100,11,11.00465,990.0,565.0,BLUE_BASE,adc_in_base
EUW1_7697196389,100,10,10.00465,1500.0,723.0,BLUE_BASE,adc_in_base
EUW1_7697197967,200,8,8.0041,14143.0,14019.0,RED_BASE,adc_in_base
EUW1_7697198453,100,7,7.001383333333333,3471.0,889.0,BLUE_BASE,adc_in_base
EUW1_7697198453,200,9,9.00165,12026.0,4717.0,BOT_SIDE_NEAR,adc_dead_with_xy
EUW1_7697198453,200,11,11.002066666666666,12046.0,2635.0,BOT_SIDE_NEAR,adc_dead_with_xy
EUW1_7697198713,200,6,6.003933333333333,11862.0,2341.0,BOT_LANE_CORE,adc_dead_with_xy
EUW1_7697198946,200,7,7.0036,14245.0,13292.0,RED_BASE,adc_in_base
EUW1_7697199149,100,7,7.003733333333333,2158.0,719.0,BLUE_BASE,adc_in_base
EUW1_7697199541,100,10,10.004116666666667,13283.0,5024.0,BOT_LANE_CORE,adc_dead_with_xy
EUW1_7697199541,200,7,7.0035,14300.0,13768.0,RED_BASE,adc_in_base
EUW1_7697199541,200,8,8.00395,11821.0,1430.0,BOT_LANE_CORE,adc_dead_with_xy
EUW1_7697199541,200,11,11.00465,14101.0,12167.0,RED_BASE,adc_in_base
EUW1_7697199689,100,9,9.004383333333333,3548.0,670.0,BLUE_BASE,adc_in_base
EUW1_7697200562,100,6,6.000916666666667,13910.0,3534.0,BOT_LANE_CORE,adc_dead_with_xy
EUW1_7697200562,100,9,9.001533333333333,13437.0,2583.0,BOT_LANE_CORE,adc_dead_with_xy
EUW1_7697200562,200,6,6.000916666666667,13304.0,4525.0,BOT_LANE_CORE,adc_dead_with_xy
EUW1_7697205667,200,9,9.003683333333333,14336.0,13673.0,RED_BASE,adc_in_base
EUW1_7697206679,100,6,6.001516666666666,394.0,461.0,BLUE_BASE,adc_in_base
EUW1_7697206977,200,5,5.003316666666667,13809.0,3373.0,BOT_LANE_CORE,adc_dead_with_xy
EUW1_7697206977,200,11,11.005833333333333,13183.0,2044.0,BOT_LANE_CORE,adc_dead_with_xy
