ally_utility_champion_id,mean_support_roam_score
42,0.8636781447271323
136,0.6694513510822208
29,0.6080090322443048
20,0.5946877016346973
91,0.5835493712551443
104,0.5717459509988005
105,0.5472119310656588
18,0.5457267791955418
35,0.545570644806525
141,0.5421355356137286
13,0.5350195146044778
60,0.532569324362639
7,0.5244859298360643
233,0.5236054626372886
27,0.5224311022860303
121,0.5201040490495035
24,0.518012245813284
122,0.5164101682554217
164,0.511336337375185
166,0.5112226883707083
876,0.5088930627864903
19,0.5082847601681267
432,0.5060452344525366
119,0.5060098758829714
5,0.5020792274259684
150,0.500860292793222
200,0.4973981949755552
555,0.4899313945977781
517,0.48938579592305037
254,0.48795484837722486
114,0.48629194116446806
78,0.4860896326308132
120,0.48490093238511056
33,0.48483338548638016
84,0.48107618769859695
234,0.48098893851035046
245,0.4789101049451783
58,0.4787952587223708
80,0.4775200850314483
11,0.47148880989388176
246,0.46949106898597603
69,0.46581712763465655
28,0.46028494767212785
4,0.45969729442944135
76,0.4544829971590629
163,0.44966136427006803
12,0.449581596779028
64,0.44824407165298624
950,0.4472119892158975
133,0.44703606306769866
31,0.4458338305498846
421,0.44306545772190165
420,0.44117606869727266
893,0.4397409691670382
72,0.43964265796090696
92,0.4394989807150587
526,0.43924832137001174
53,0.4358828549886039
40,0.43536375285536566
3,0.435064806224098
67,0.4339902067644505
59,0.4338335618486358
887,0.43043989891576023
266,0.4274424371555623
268,0.42678956233153853
85,0.4266762343825149
48,0.4236262012088363
154,0.42338468598905
79,0.4230913681235901
57,0.42078235300264466
497,0.41945882145442354
142,0.4192773185149837
111,0.4162388469740897
127,0.4160814394551309
89,0.4148045797458416
518,0.40898110252189884
32,0.4081023865030098
113,0.4079493748184706
126,0.4027684087301197
107,0.39836704863470157
68,0.39811419358906
9,0.39809016758287036
56,0.3966688807289967
238,0.3946105720076721
110,0.39381846282896865
17,0.39308731123423446
77,0.39160356852379613
131,0.39136359183767977
43,0.38782472873021384
36,0.3868550569888248
875,0.38638443546743667
51,0.38633345375432476
103,0.384506259291335
427,0.3840753113494868
2,0.38350157183609
81,0.38270485706422497
1,0.3818310608441963
412,0.3784454387470399
63,0.37661736275433433
711,0.37533611955105517
6,0.3732175983511571
55,0.36900370762498713
134,0.3684048765572165
34,0.36791686555156333
897,0.3655160541706708
25,0.36457351016554607
98,0.36376018762995194
26,0.36211024987650664
223,0.361605531803826
904,0.36140926831355485
203,0.35887748402176467
201,0.3585443104035059
99,0.3578747841005684
14,0.3502075441277572
516,0.34945343108571575
267,0.34693448283602873
888,0.34670721811651767
202,0.34646920766713474
799,0.3459122040299183
74,0.3432014495671928
30,0.3429264707533273
75,0.3419497862739438
45,0.34135545483388413
800,0.340535004817172
22,0.33862323174493353
90,0.33285907627734945
37,0.3326125954442528
50,0.3324987376953444
161,0.3321758401048725
236,0.3313696310860526
44,0.32562327379912104
115,0.3252029345325201
910,0.3233144575411532
16,0.32297592560326227
61,0.322700233421854
117,0.32166539575907405
147,0.31369310062516337
54,0.30981600943777415
235,0.30666550301682277
112,0.3051446338929548
143,0.3044209958886175
157,0.30389306581705416
240,0.3033230029674429
429,0.29954733317695426
21,0.2978624170028562
902,0.2948014635986576
62,0.293861991064693
101,0.2906263646499943
901,0.2877678241519624
41,0.28633327631405564
106,0.28521137055089824
523,0.28460572207350504
38,0.2739494729623615
10,0.25767113160686417
96,0.2404609580118206
82,0.23184738569049015
222,0.2213922406793258
83,0.21864737642613813
498,0.2133679840847968
8,0.211747510118845
145,0.20813857317837425
39,0.17062650472830274
350,0.15100188963925057
86,0.13982045791516193
