matchId,win,gameDuration,TOP_Ally_ID,TOP_Enemy_ID,TOP_GoldDiff15,TOP_XpDiff15,TOP_CsDiff15,TOP_DmgChamp,TOP_DmgTurret,TOP_DmgObj,TOP_DmgMitigated,TOP_DmgTaken,TOP_Vision,TOP_WardsPlaced,TOP_Heal,TOP_HealsAlly,TOP_ShieldsAlly,TOP_TimeCC,TOP_TotalCC,TOP_KDA_Kills,TOP_KDA_Deaths,TOP_KDA_Assists,JUNGLE_Ally_ID,JUNGLE_Enemy_ID,JUNGLE_GoldDiff15,JUNGLE_XpDiff15,JUNGLE_CsDiff15,JUNGLE_DmgChamp,JUNGLE_DmgTurret,JUNGLE_DmgObj,JUNGLE_DmgMitigated,JUNGLE_DmgTaken,JUNGLE_Vision,JUNGLE_WardsPlaced,JUNGLE_Heal,JUNGLE_HealsAlly,JUNGLE_ShieldsAlly,JUNGLE_TimeCC,JUNGLE_TotalCC,JUNGLE_KDA_Kills,JUNGLE_KDA_Deaths,JUNGLE_KDA_Assists,MIDDLE_Ally_ID,MIDDLE_Enemy_ID,MIDDLE_GoldDiff15,MIDDLE_XpDiff15,MIDDLE_CsDiff15,MIDDLE_DmgChamp,MIDDLE_DmgTurret,MIDDLE_DmgObj,MIDDLE_DmgMitigated,MIDDLE_DmgTaken,MIDDLE_Vision,MIDDLE_WardsPlaced,MIDDLE_Heal,MIDDLE_HealsAlly,MIDDLE_ShieldsAlly,MIDDLE_TimeCC,MIDDLE_TotalCC,MIDDLE_KDA_Kills,MIDDLE_KDA_Deaths,MIDDLE_KDA_Assists,BOTTOM_Ally_ID,BOTTOM_Enemy_ID,BOTTOM_GoldDiff15,BOTTOM_XpDiff15,BOTTOM_CsDiff15,BOTTOM_DmgChamp,BOTTOM_DmgTurret,BOTTOM_DmgObj,BOTTOM_DmgMitigated,BOTTOM_DmgTaken,BOTTOM_Vision,BOTTOM_WardsPlaced,BOTTOM_Heal,BOTTOM_HealsAlly,BOTTOM_ShieldsAlly,BOTTOM_TimeCC,BOTTOM_TotalCC,BOTTOM_KDA_Kills,BOTTOM_KDA_Deaths,BOTTOM_KDA_Assists,UTILITY_Ally_ID,UTILITY_Enemy_ID,UTILITY_GoldDiff15,UTILITY_XpDiff15,UTILITY_CsDiff15,UTILITY_DmgChamp,UTILITY_DmgTurret,UTILITY_DmgObj,UTILITY_DmgMitigated,UTILITY_DmgTaken,UTILITY_Vision,UTILITY_WardsPlaced,UTILITY_Heal,UTILITY_HealsAlly,UTILITY_ShieldsAlly,UTILITY_TimeCC,UTILITY_TotalCC,UTILITY_KDA_Kills,UTILITY_KDA_Deaths,UTILITY_KDA_Assists,Team_Dragons,Team_Barons,Team_Towers,Team_Inhibitors,Team_RiftHeralds,Team_VoidGrubs,Team_ElderDragons
EUW1_7704140127,1,30.8,133,223,1010,670,23,1093.051948051948,287.72727272727275,511.85064935064935,341.7857142857143,611.8506493506493,0.974025974025974,0.2922077922077922,144.05844155844156,0.0,0.0,1.0064935064935066,5.876623376623376,8,1,8,245,234,895,-307,-12,1051.590909090909,157.07792207792207,1745.5194805194806,795.551948051948,1117.2402597402597,0.5194805194805194,0.06493506493506493,595.7792207792207,0.0,0.0,1.1363636363636362,16.363636363636363,13,3,10,3,134,-23,933,-3,852.077922077922,445.1623376623377,475.0974025974026,1867.012987012987,968.7987012987013,1.2337662337662338,0.35714285714285715,179.28571428571428,0.0,87.33766233766234,2.175324675324675,5.681818181818182,3,2,20,15,110,-729,162,15,830.0,187.27272727272728,342.1428571428571,337.04545454545456,636.9805194805194,0.7467532467532467,0.2922077922077922,248.7012987012987,0.0,0.0,0.032467532467532464,0.6818181818181818,3,2,15,432,57,788,973,-5,356.3961038961039,15.681818181818182,36.55844155844156,449.25324675324674,713.6688311688312,3.474025974025974,1.5909090909090908,315.0,152.4025974025974,0.0,1.5584415584415585,6.753246753246753,2,4,19,3,1,9,1,1,3,0
EUW1_7704090278,1,15.283333333333333,58,234,682,1379,18,392.7153762268266,319.629225736096,445.84514721919305,567.0229007633587,941.2868047982552,0.916030534351145,0.3925845147219193,337.9498364231189,0.0,0.0,0.3271537622682661,2.093784078516903,1,1,2,91,799,727,1128,-5,345.01635768811343,1.5703380588876772,962.6826608505997,342.9225736095965,737.9934569247547,0.8505997818974919,0.19629225736095965,372.23555070883316,0.0,0.0,0.13086150490730644,16.68484187568157,2,1,8,166,163,2606,804,-2,958.298800436205,323.2279171210469,323.2279171210469,252.95528898582333,375.8342420937841,0.5888767720828789,0.4580152671755725,85.25627044711014,0.0,0.0,0.0,0.0,7,1,5,136,804,864,1002,4,428.7022900763359,323.0316248636859,323.0316248636859,165.53980370774264,425.6924754634678,0.3271537622682661,0.2617230098146129,55.158124318429664,0.0,0.0,0.3925845147219193,10.534351145038167,5,1,3,12,350,953,1171,6,162.5299890948746,7.393675027262813,7.393675027262813,278.27699018538715,520.1090512540894,2.8135223555070885,1.243184296619411,359.1494002181025,142.05016357688115,24.078516902944383,1.504907306434024,3.66412213740458,1,0,11,1,0,1,0,0,3,0
EUW1_7704033142,1,40.266666666666666,68,3,961,1599,20,967.0281456953643,53.8658940397351,287.6324503311258,1184.8509933774835,1092.4420529801325,1.0182119205298013,0.49668874172185434,163.60927152317882,0.0,0.0,0.5463576158940397,8.642384105960264,9,8,15,126,799,-194,417,12,1235.885761589404,81.90397350993378,1483.4602649006622,734.4288079470199,1000.9023178807947,1.5397350993377483,0.19867549668874174,372.317880794702,0.0,0.0,0.6456953642384106,12.019867549668874,6,7,17,13,69,922,470,0,1089.4619205298013,397.2019867549669,1081.067880794702,855.2235099337748,830.9354304635762,0.8940397350993378,0.3973509933774835,306.1837748344371,0.0,0.0,0.8692052980132451,1.8874172185430464,9,1,18,42,81,-117,130,21,1251.5066225165563,334.4453642384106,833.1208609271523,711.9288079470199,1091.5480132450332,0.9933774834437087,0.347682119205298,360.32284768211923,0.0,0.0,0.09933774834437087,4.867549668874172,14,8,8,518,161,-974,-1366,-14,372.4172185430464,117.91390728476821,191.99503311258277,392.0612582781457,972.864238410596,4.594370860927152,1.8874172185430464,182.35927152317882,31.961920529801326,0.0,0.7201986754966888,1.5149006622516556,1,11,18,3,3,10,2,1,3,0
EUW1_7703986165,1,24.05,10,897,523,-506,16,774.2203742203742,296.4241164241164,449.4802494802495,329.5218295218295,744.6569646569646,1.2058212058212059,0.41580041580041577,284.9064449064449,35.50935550935551,0.0,0.49896049896049893,11.35135135135135,3,3,4,234,76,-1517,733,13,574.5945945945946,1.663201663201663,1310.3950103950103,595.7588357588357,987.2765072765072,0.8731808731808731,0.20790020790020788,529.1476091476092,0.0,0.0,0.9147609147609147,8.814968814968815,2,4,16,166,163,3274,763,9,977.2557172557172,182.86902286902287,182.86902286902287,280.7484407484407,511.8918918918919,1.4968814968814967,0.5405405405405406,140.16632016632016,0.0,0.0,0.0,0.0,12,1,8,45,119,164,-302,-18,663.1185031185031,191.93347193347194,191.93347193347194,198.46153846153845,620.08316008316,0.6237006237006237,0.3742203742203742,47.817047817047815,0.0,0.0,0.8316008316008315,1.7879417879417878,6,5,10,555,526,792,140,8,489.93762993762994,131.14345114345113,131.14345114345113,284.5738045738046,680.7900207900208,3.16008316008316,1.58004158004158,200.66528066528065,0.0,0.0,1.2058212058212059,3.6174636174636174,8,4,12,3,0,3,0,1,0,0
EUW1_7702759590,1,28.383333333333333,166,54,291,-2104,-10,1415.3728714034057,711.5091015854375,889.2190252495596,675.079271873165,870.2994715208456,0.8103347034644744,0.31708749266001174,57.8508514386377,0.0,0.0,0.24662360540223136,5.566647093364651,21,8,8,5,120,-954,-1383,-14,877.4867880211392,73.74045801526718,718.9430416911333,1157.2284204345274,1553.4116265413975,1.7263652378156196,0.5637110980622431,788.4556664709337,0.0,0.0,1.5502055196711686,21.033470346447444,3,7,23,103,245,-2043,-1046,-29,1003.6523781561949,138.3206106870229,221.22137404580153,429.618320610687,937.5924838520259,0.8103347034644744,0.35231943628890194,241.65590135055785,0.0,0.0,1.3740458015267176,8.490898414562537,7,7,15,145,29,-2399,188,-1,717.6042278332354,179.71814445096888,683.7815619495009,469.6065766294774,813.2589547856724,0.7751027598355843,0.31708749266001174,177.4633000587199,0.0,0.0,0.10569583088667059,3.66412213740458,6,8,15,37,44,-1085,-448,-5,432.11978860833824,45.87199060481503,122.43100411039343,547.5396359365825,963.2765707574868,2.889019377568996,1.5854374633000587,631.3211978860834,392.0610687022901,185.7428068115091,0.9864944216089254,2.008220786846741,1,10,27,3,1,8,1,0,0,0
EUW1_7702705522,1,28.5,98,904,-1611,-424,-18,747.4736842105264,133.64912280701753,220.7719298245614,1837.1929824561403,970.7719298245614,1.3333333333333333,0.45614035087719296,351.1929824561403,0.0,135.3684210526316,0.9473684210526315,9.403508771929825,5,2,9,5,54,264,407,5,583.859649122807,290.5263157894737,1714.3859649122808,1209.8947368421052,1287.017543859649,1.1228070175438596,0.21052631578947367,950.5964912280701,0.0,0.0,0.9824561403508771,23.228070175438596,3,2,8,517,166,-504,230,-23,1009.3684210526316,428.70175438596493,452.2456140350877,1537.3684210526317,1210.3859649122808,0.9824561403508771,0.21052631578947367,496.2456140350877,0.0,0.0,1.2982456140350878,16.350877192982455,6,4,6,110,202,-130,-560,3,1235.3684210526317,303.96491228070175,697.438596491228,609.3684210526316,777.0175438596491,1.5087719298245614,0.3157894736842105,321.6842105263158,0.0,0.0,0.8070175438596491,10.491228070175438,8,5,5,201,526,-947,-302,-3,233.64912280701753,3.43859649122807,102.0701754385965,809.6491228070175,719.4736842105264,3.6842105263157894,1.9649122807017543,271.05263157894734,29.19298245614035,0.0,1.6140350877192982,8.0,1,2,10,4,1,9,1,1,0,0
EUW1_7702669173,1,18.466666666666665,122,68,2985,2599,24,719.3501805054152,509.7833935018051,509.7833935018051,563.447653429603,830.7942238267149,0.703971119133574,0.27075812274368233,338.66425992779784,0.0,0.0,1.028880866425993,5.0361010830324915,8,0,4,163,950,2445,2337,35,389.6750902527076,0.0,1551.0108303249099,164.2418772563177,384.1516245487365,0.703971119133574,0.1624548736462094,257.22021660649824,0.0,0.0,0.7581227436823106,35.52346570397112,7,0,4,166,61,2432,18,10,784.9277978339351,577.8519855595669,577.8519855595669,267.8880866425993,410.68592057761737,1.1913357400722022,0.3790613718411553,122.49097472924188,0.0,0.0,0.0,0.05415162454873647,7,0,3,202,145,694,1087,-5,732.6714801444044,147.99638989169677,204.3140794223827,306.11913357400726,679.2779783393503,1.1913357400722022,0.3790613718411553,161.91335740072205,0.0,0.0,0.8664259927797835,4.494584837545127,5,5,7,111,526,391,515,11,343.4837545126354,39.42238267148015,75.4332129963899,696.0649819494586,516.4981949458485,2.5992779783393503,1.0830324909747293,128.66425992779784,25.88447653429603,0.0,2.653429602888087,10.342960288808666,0,2,12,1,0,4,0,1,3,0
EUW1_7702627633,1,22.9,13,14,1166,1713,18,1555.0655021834061,362.31441048034935,700.174672489083,466.7685589519651,845.2401746724892,1.4847161572052403,0.5676855895196506,286.94323144104806,0.0,0.0,1.7467248908296944,4.017467248908297,6,1,7,20,126,-1289,-330,-12,416.3755458515284,1.310043668122271,1545.8078602620087,724.1921397379913,972.0087336244542,0.8296943231441049,0.0,593.1441048034935,0.0,0.0,0.9606986899563319,16.33187772925764,3,4,15,166,134,2212,417,4,1052.0960698689958,198.77729257641923,331.52838427947603,409.73799126637556,605.6331877729258,1.310043668122271,0.5240174672489083,107.81659388646288,0.0,0.0,0.0,0.2183406113537118,10,3,10,202,18,-1063,-272,-10,478.5152838427948,286.2445414847162,396.8122270742358,317.46724890829694,544.8471615720524,0.8296943231441049,0.48034934497816595,171.8340611353712,0.0,0.0,1.0480349344978166,5.240174672489084,6,3,5,555,111,965,767,-2,277.94759825327515,0.0,0.0,543.231441048035,593.1877729257642,2.7074235807860263,1.2227074235807862,170.48034934497818,0.0,0.0,0.9170305676855895,3.711790393013101,3,4,13,3,1,3,0,0,3,0
EUW1_7702577250,1,25.583333333333332,92,14,-1941,-1820,-25,683.0228013029316,347.4527687296417,462.2149837133551,784.4951140065147,844.4951140065147,0.8208469055374593,0.3517915309446254,159.08794788273616,0.0,0.0,1.2508143322475571,5.824104234527687,3,6,6,126,54,1518,1559,28,860.5211726384365,194.65798045602608,1599.5570032573291,431.17915309446255,722.5407166123779,1.8762214983713357,0.3127035830618893,313.68078175895766,0.0,0.0,0.8208469055374593,14.188925081433226,4,4,14,163,517,2210,1803,51,1374.5667752442998,316.7687296416938,549.8501628664495,195.3224755700326,308.79478827361567,0.50814332247557,0.11726384364820848,38.03257328990228,0.0,0.0,1.4462540716612378,18.371335504885995,11,0,13,236,895,1780,-16,19,941.3941368078176,394.8664495114007,673.9934853420195,333.96742671009775,555.71335504886,0.7035830618892508,0.3127035830618893,106.4755700325733,0.0,0.0,0.03908794788273616,1.8762214983713357,7,2,7,267,16,355,855,0,406.5928338762215,108.89902280130293,148.26058631921825,143.7654723127036,382.0456026058632,2.3843648208469057,1.1335504885993486,509.7068403908795,398.228013029316,50.188925081433226,1.485342019543974,8.013029315960912,1,3,20,2,1,10,2,1,3,0
EUW1_7702550615,1,16.333333333333332,79,14,-126,-539,-11,546.1224489795919,179.9387755102041,231.79591836734696,512.3265306122449,735.0,0.7346938775510204,0.30612244897959184,298.5918367346939,0.0,0.0,1.7142857142857144,19.775510204081634,3,2,4,20,427,-605,79,11,296.14285714285717,73.40816326530613,1756.591836734694,524.6326530612246,859.9591836734694,0.3673469387755102,0.06122448979591837,597.5510204081633,0.0,0.0,0.979591836734694,17.02040816326531,4,1,6,166,18,2833,1322,14,1173.061224489796,190.8979591836735,214.3469387755102,233.51020408163268,368.8775510204082,1.1020408163265307,0.489795918367347,55.83673469387755,0.0,0.0,0.489795918367347,7.163265306122449,12,1,2,901,804,-198,-604,-3,449.32653061224494,419.5714285714286,419.5714285714286,309.8571428571429,665.3877551020408,0.6122448979591837,0.3673469387755102,123.73469387755102,0.0,0.0,0.3673469387755102,6.551020408163266,1,3,5,235,9,468,235,10,415.530612244898,137.02040816326533,159.6122448979592,236.75510204081635,562.9591836734694,1.8979591836734695,0.979591836734694,557.2040816326531,305.7551020408163,56.75510204081633,1.2857142857142858,7.89795918367347,1,2,9,2,0,2,0,1,3,0
