task,max_minute,label,n
jungle,10.0,farm_oriented,15190
jungle,10.0,map_presence,14359
support,10.0,lane_anchored,14987
support,10.0,roamer,14563
team,10.0,botside_oriented,15432
team,10.0,topside_oriented,14118
