table,left_rows,right_rows,left_unique_keys,right_unique_keys,overlap_keys,left_only_keys,right_only_keys
jungle,29550,14186,29550,14186,14186,15364,0
support,29550,15296,29550,15296,15296,14254,0
team,29550,13420,29550,13420,13420,16130,0
