side,n,mean,median,std,q25,q75
blue,71246,0.40477387981458385,0.25,0.22180976623330043,0.2222222222222222,0.5714285714285714
red,85583,0.40921400166811056,0.5,0.2034117492053258,0.2222222222222222,0.5555555555555556
