run_id,hidden_dims,dropout,lr,weight_decay
062_h256-128_d0p2_lr2em04_wd5em04,"[256, 128]",0.2,0.0002,0.0005
063_h256-128_d0p2_lr2em04_wd1em03,"[256, 128]",0.2,0.0002,0.001
064_h256-128_d0p3_lr1em03_wd1em04,"[256, 128]",0.3,0.001,0.0001
065_h256-128_d0p3_lr1em03_wd5em04,"[256, 128]",0.3,0.001,0.0005
066_h256-128_d0p3_lr1em03_wd1em03,"[256, 128]",0.3,0.001,0.001
067_h256-128_d0p3_lr5em04_wd1em04,"[256, 128]",0.3,0.0005,0.0001
068_h256-128_d0p3_lr5em04_wd5em04,"[256, 128]",0.3,0.0005,0.0005
069_h256-128_d0p3_lr5em04_wd1em03,"[256, 128]",0.3,0.0005,0.001
070_h256-128_d0p3_lr2em04_wd1em04,"[256, 128]",0.3,0.0002,0.0001
071_h256-128_d0p3_lr2em04_wd5em04,"[256, 128]",0.3,0.0002,0.0005
072_h256-128_d0p3_lr2em04_wd1em03,"[256, 128]",0.3,0.0002,0.001
073_h256-128_d0p4_lr1em03_wd1em04,"[256, 128]",0.4,0.001,0.0001
074_h256-128_d0p4_lr1em03_wd5em04,"[256, 128]",0.4,0.001,0.0005
075_h256-128_d0p4_lr1em03_wd1em03,"[256, 128]",0.4,0.001,0.001
076_h256-128_d0p4_lr5em04_wd1em04,"[256, 128]",0.4,0.0005,0.0001
077_h256-128_d0p4_lr5em04_wd5em04,"[256, 128]",0.4,0.0005,0.0005
078_h256-128_d0p4_lr5em04_wd1em03,"[256, 128]",0.4,0.0005,0.001
079_h256-128_d0p4_lr2em04_wd1em04,"[256, 128]",0.4,0.0002,0.0001
080_h256-128_d0p4_lr2em04_wd5em04,"[256, 128]",0.4,0.0002,0.0005
081_h256-128_d0p4_lr2em04_wd1em03,"[256, 128]",0.4,0.0002,0.001
082_h256-128-64_d0p2_lr1em03_wd1em04,"[256, 128, 64]",0.2,0.001,0.0001
083_h256-128-64_d0p2_lr1em03_wd5em04,"[256, 128, 64]",0.2,0.001,0.0005
084_h256-128-64_d0p2_lr1em03_wd1em03,"[256, 128, 64]",0.2,0.001,0.001
085_h256-128-64_d0p2_lr5em04_wd1em04,"[256, 128, 64]",0.2,0.0005,0.0001
086_h256-128-64_d0p2_lr5em04_wd5em04,"[256, 128, 64]",0.2,0.0005,0.0005
087_h256-128-64_d0p2_lr5em04_wd1em03,"[256, 128, 64]",0.2,0.0005,0.001
088_h256-128-64_d0p2_lr2em04_wd1em04,"[256, 128, 64]",0.2,0.0002,0.0001
089_h256-128-64_d0p2_lr2em04_wd5em04,"[256, 128, 64]",0.2,0.0002,0.0005
090_h256-128-64_d0p2_lr2em04_wd1em03,"[256, 128, 64]",0.2,0.0002,0.001
091_h256-128-64_d0p3_lr1em03_wd1em04,"[256, 128, 64]",0.3,0.001,0.0001
092_h256-128-64_d0p3_lr1em03_wd5em04,"[256, 128, 64]",0.3,0.001,0.0005
093_h256-128-64_d0p3_lr1em03_wd1em03,"[256, 128, 64]",0.3,0.001,0.001
094_h256-128-64_d0p3_lr5em04_wd1em04,"[256, 128, 64]",0.3,0.0005,0.0001
095_h256-128-64_d0p3_lr5em04_wd5em04,"[256, 128, 64]",0.3,0.0005,0.0005
096_h256-128-64_d0p3_lr5em04_wd1em03,"[256, 128, 64]",0.3,0.0005,0.001
097_h256-128-64_d0p3_lr2em04_wd1em04,"[256, 128, 64]",0.3,0.0002,0.0001
098_h256-128-64_d0p3_lr2em04_wd5em04,"[256, 128, 64]",0.3,0.0002,0.0005
099_h256-128-64_d0p3_lr2em04_wd1em03,"[256, 128, 64]",0.3,0.0002,0.001
100_h256-128-64_d0p4_lr1em03_wd1em04,"[256, 128, 64]",0.4,0.001,0.0001
101_h256-128-64_d0p4_lr1em03_wd5em04,"[256, 128, 64]",0.4,0.001,0.0005
102_h256-128-64_d0p4_lr1em03_wd1em03,"[256, 128, 64]",0.4,0.001,0.001
103_h256-128-64_d0p4_lr5em04_wd1em04,"[256, 128, 64]",0.4,0.0005,0.0001
104_h256-128-64_d0p4_lr5em04_wd5em04,"[256, 128, 64]",0.4,0.0005,0.0005
105_h256-128-64_d0p4_lr5em04_wd1em03,"[256, 128, 64]",0.4,0.0005,0.001
106_h256-128-64_d0p4_lr2em04_wd1em04,"[256, 128, 64]",0.4,0.0002,0.0001
107_h256-128-64_d0p4_lr2em04_wd5em04,"[256, 128, 64]",0.4,0.0002,0.0005
108_h256-128-64_d0p4_lr2em04_wd1em03,"[256, 128, 64]",0.4,0.0002,0.001
