model,target,mse,rmse,mae,r2,pearson_corr,spearman_corr,pred_std,target_std,compression_ratio,n_train,n_eval,eval_split,training_seconds,best_epoch,hidden_dims,dropout,lr,weight_decay,run_id,outdir,wall_seconds
mlp_per_role_raw,raw,0.030601877719163895,0.17493392386602405,0.14096008241176605,0.15053713092202625,0.3899376396080089,0.3766883886333326,0.06839953362941742,0.18980245292186737,0.3603722321627437,268322,57314,val,145.67927980422974,14,"[128, 64]",0.4,0.001,0.0005,020_h128-64_d0p4_lr1em03_wd5em04,C:\Users\adria\Desktop\TFG\final\analysis\hp_search\runs\020_h128-64_d0p4_lr1em03_wd5em04,146.21399307250977
mlp_per_role_raw,raw,0.030574722215533257,0.17485629018005974,0.14085933566093445,0.15129093042625674,0.38972246654961623,0.3760122875439594,0.07278076559305191,0.18980245292186737,0.38345534777157114,268322,57314,val,175.56420063972473,20,"[128, 64]",0.4,0.0005,0.001,024_h128-64_d0p4_lr5em04_wd1em03,C:\Users\adria\Desktop\TFG\final\analysis\hp_search\runs\024_h128-64_d0p4_lr5em04_wd1em03,176.10150241851807
mlp_per_role_raw,raw,0.03058009408414364,0.17487165031572052,0.1408863365650177,0.15114182592824355,0.3895648893660745,0.3759707367095423,0.07239925861358643,0.18980245292186737,0.38144532643837725,268322,57314,val,175.69824647903442,20,"[128, 64]",0.4,0.0005,0.0001,022_h128-64_d0p4_lr5em04_wd1em04,C:\Users\adria\Desktop\TFG\final\analysis\hp_search\runs\022_h128-64_d0p4_lr5em04_wd1em04,176.22311305999756
mlp_per_role_raw,raw,0.030584674328565598,0.17488474584298538,0.14090318977832794,0.15101465551776505,0.38954036658631497,0.37586892889064194,0.07189084589481354,0.18980245292186737,0.3787666849827677,268322,57314,val,175.98972368240356,20,"[128, 64]",0.4,0.0005,0.0005,023_h128-64_d0p4_lr5em04_wd5em04,C:\Users\adria\Desktop\TFG\final\analysis\hp_search\runs\023_h128-64_d0p4_lr5em04_wd5em04,176.5279574394226
mlp_per_role_raw,raw,0.03059503808617592,0.17491437358369358,0.14101485908031464,0.1507269701540329,0.38952739667748487,0.3754327894956179,0.06939632445573807,0.18980245292186737,0.3656239600038532,268322,57314,val,160.75365495681763,17,"[128, 64]",0.4,0.001,0.001,021_h128-64_d0p4_lr1em03_wd1em03,C:\Users\adria\Desktop\TFG\final\analysis\hp_search\runs\021_h128-64_d0p4_lr1em03_wd1em03,161.28936648368835
mlp_per_role_raw,raw,0.030623599886894226,0.17499599963111792,0.14084291458129883,0.14993415044017167,0.38845330199297895,0.37502623871740837,0.07770863175392151,0.18980245292186737,0.4094184798860869,268322,57314,val,128.7342963218689,14,"[192, 96]",0.4,0.001,0.001,048_h192-96_d0p4_lr1em03_wd1em03,C:\Users\adria\Desktop\TFG\final\analysis\hp_search\runs\048_h192-96_d0p4_lr1em03_wd1em03,129.18274021148682
mlp_per_role_raw,raw,0.030593490228056908,0.17490994891102365,0.14096176624298096,0.15076995150615646,0.38925841821908136,0.3749615761829443,0.07198449969291687,0.18980245292186737,0.37926011273705434,268322,57314,val,174.94924569129944,20,"[128, 64]",0.4,0.001,0.0001,019_h128-64_d0p4_lr1em03_wd1em04,C:\Users\adria\Desktop\TFG\final\analysis\hp_search\runs\019_h128-64_d0p4_lr1em03_wd1em04,175.4854018688202
mlp_per_role_raw,raw,0.030638188123703003,0.17503767629771314,0.14088411629199982,0.1495292270829579,0.3880843407813478,0.3745993411705216,0.07764439284801483,0.18980245292186737,0.4090800284861299,268322,57314,val,127.13804244995117,14,"[192, 96]",0.4,0.001,0.0001,046_h192-96_d0p4_lr1em03_wd1em04,C:\Users\adria\Desktop\TFG\final\analysis\hp_search\runs\046_h192-96_d0p4_lr1em03_wd1em04,127.58730483055115
mlp_per_role_raw,raw,0.03063471056520939,0.17502774227307336,0.140828937292099,0.14962571341949937,0.3882994053595378,0.37441032203417374,0.0797746405005455,0.18980245292186737,0.4203035275491667,268322,57314,val,118.61234211921692,12,"[192, 96]",0.4,0.001,0.0005,047_h192-96_d0p4_lr1em03_wd5em04,C:\Users\adria\Desktop\TFG\final\analysis\hp_search\runs\047_h192-96_d0p4_lr1em03_wd5em04,119.0609872341156
mlp_per_role_raw,raw,0.030624106526374817,0.17499744719959437,0.1407860368490219,0.14992007951609265,0.3885489610244515,0.37421611780789044,0.07889631390571594,0.18980245292186737,0.4156759446001143,268322,57314,val,135.61402010917664,12,"[128, 64]",0.3,0.001,0.0001,010_h128-64_d0p3_lr1em03_wd1em04,C:\Users\adria\Desktop\TFG\final\analysis\hp_search\runs\010_h128-64_d0p3_lr1em03_wd1em04,136.13384771347046
