champion_name,count,mean,median,std,q25,q75
AurelionSol,126,0.5679570785709215,0.5821763327475102,0.26031218979758997,0.3770174683813881,0.7706268675718009
Nunu,43,0.5468977626710019,0.5196377502383223,0.24566698978113097,0.3859455273496525,0.7333333333333334
Twitch,100,0.5166710356803997,0.5167027571530861,0.2609546034793685,0.3125,0.7006745373164353
Shaco,1254,0.42612014076896276,0.4130941509613003,0.24074962258833574,0.22901201362739823,0.5836947278911565
Elise,4551,0.4256100653455423,0.42042927733168617,0.22586115539226953,0.2522430675024161,0.5806386748861645
Akshan,32,0.4107347553608449,0.39667145593869735,0.18282880846635566,0.31302443982679823,0.507726762725714
Jax,190,0.4091275736953045,0.3907215808448774,0.2515660270538671,0.1957585803432137,0.5833333333333333
Camille,436,0.3952412754246487,0.37450697206723793,0.20881365046165587,0.24243660069117184,0.527628578961503
Leblanc,708,0.3945383153581361,0.38822184521663083,0.21782335203696032,0.2294657604927457,0.545408909277614
Rammus,96,0.3932668801070618,0.364805876754277,0.23407616521558985,0.2,0.5528543307086615
Singed,103,0.3874930248338182,0.36947399527186764,0.23637681357604262,0.2,0.5726681747555067
Vi,43,0.3874368495714767,0.3642062537582682,0.22293982009277796,0.2064322238718064,0.5249999999999999
XinZhao,65,0.3833709946216555,0.4,0.22852186235583344,0.2,0.5423884514435695
MasterYi,23,0.3791373498585947,0.33874701059104884,0.25432809867164125,0.18545680491489083,0.5479166666666667
Bard,19856,0.3719749349588829,0.357590323796386,0.20682451485967301,0.21345507451671816,0.510753264332401
Pyke,10098,0.36957816530504917,0.35385552853736724,0.2104492826874195,0.2,0.5125
Briar,30,0.36875275971407767,0.3698545371048887,0.17404843465885,0.25245779656331196,0.5218749999999999
Sylas,1144,0.3658788421733738,0.3350905146286483,0.21699176315801585,0.2,0.5074149279152873
Poppy,3002,0.36562690281124777,0.34939224217514186,0.21264011407612987,0.19955130248700664,0.5145561715658471
Fiora,51,0.36357396139165893,0.33794520547945206,0.220992649632501,0.1777801908434799,0.5204218694315017
Pantheon,3381,0.36109795130258704,0.3380255941499086,0.22121230930504113,0.1874446085672083,0.5098669263226225
Qiyana,120,0.3576455043520915,0.37710006693440423,0.21745407179827259,0.18869152092033908,0.4887310606060606
Nidalee,863,0.3450686701111891,0.32484926787252366,0.22514441331781782,0.1564737676672297,0.48752360109852383
Aatrox,51,0.34138471144297555,0.2983167559296098,0.24477035721327128,0.1443157756881999,0.5043106670380502
TwistedFate,150,0.3290072553539645,0.31089761376248615,0.22942033681049565,0.13639232319012254,0.46095689769617276
Sejuani,58,0.3275727188769179,0.30443402424453553,0.23028794713073822,0.17368832842415316,0.4692447320835486
Alistar,12606,0.3245740736870349,0.305431116274956,0.20665834385675755,0.16100462425021156,0.4609483912086064
Skarner,114,0.3184069037329904,0.3111378205128205,0.21153001807037855,0.12326908534642972,0.4517139705230565
Ekko,135,0.3168294793863193,0.2922255543438749,0.20949420836025218,0.15650075726766605,0.42244400083527345
Galio,764,0.31676992723833053,0.2877658672191585,0.20459686128358362,0.1521206916527088,0.44306470732898423
Taliyah,281,0.3140208319105029,0.30295395308427453,0.1968515303796619,0.1633944705457174,0.4545157780195865
Kennen,54,0.3138157137226782,0.28980413299742386,0.21237375012355378,0.15454940141443593,0.42538535645472064
Rell,10727,0.31204862410842954,0.2901884887243352,0.20107216272176057,0.15135260123190356,0.4391076199693782
Chogath,57,0.31150932821681526,0.3375884173297966,0.19274049769020737,0.15964111922141117,0.427437106918239
Janna,12546,0.3105762618303359,0.2875,0.21169170114696342,0.13971426079500682,0.4475834525231849
Blitzcrank,7598,0.3098363272787029,0.2875,0.2017916066772564,0.14909397793361973,0.43703091149830714
JarvanIV,297,0.30734786894625893,0.2949681388705778,0.21275565825174164,0.12015624999999996,0.4417904903417534
Lissandra,169,0.3072665921326525,0.28630517624642743,0.19903046834738203,0.15566303909713824,0.4291666666666667
RekSai,80,0.306249552854566,0.26583385711292684,0.2089155766292131,0.15086561300931847,0.37027371101209416
Maokai,2231,0.3056111802163002,0.2775616275616276,0.20304789929281727,0.14535278820083744,0.43333333333333335
Zac,290,0.30079748889217633,0.27202232678063676,0.22007446250588783,0.1229495723204887,0.43320578231292517
Zoe,1599,0.3007757659613725,0.27492220925709837,0.19948927842308972,0.14437571444374792,0.42641639219048444
Gragas,300,0.3002938638117957,0.2558572495648479,0.22681229110389295,0.12241205708061054,0.4312076472659922
LeeSin,99,0.29681032773786753,0.2782095256762054,0.21501822792961256,0.1191810999696141,0.43493724605501927
Trundle,406,0.29604373798789524,0.268167321222742,0.21842664825125707,0.11666666666666665,0.42968570619232604
