epoch,train_loss,val_loss,is_best,jungle_presence_accuracy,jungle_presence_balanced_accuracy,jungle_presence_f1_macro,jungle_presence_valid_samples,support_roam_accuracy,support_roam_balanced_accuracy,support_roam_f1_macro,support_roam_valid_samples,team_tendency_accuracy,team_tendency_balanced_accuracy,team_tendency_f1_macro,team_tendency_valid_samples
1,1.1812652699233313,1.0970716391723168,1,0.4489,0.3358,0.3237,5910,0.5105,0.3334,0.2847,5910,0.3942,0.3352,0.322,5910
2,1.1224109724693492,1.0923314501993144,1,0.5269,0.3319,0.2668,5910,0.5267,0.3343,0.2683,5910,0.51,0.3325,0.3015,5910
3,1.1011652013372044,1.0912049222516933,1,0.5435,0.332,0.2444,5910,0.5342,0.3372,0.266,5910,0.5569,0.3328,0.2586,5910
4,1.0934343352535654,1.0900040982741792,1,0.5503,0.3334,0.2375,5910,0.5313,0.3365,0.2683,5910,0.5668,0.3324,0.2439,5910
5,1.0898751405289935,1.0888261206460685,1,0.5506,0.3333,0.2367,5910,0.5223,0.3416,0.2923,5910,0.568,0.3326,0.2426,5910
6,1.0878916799316147,1.0876681208812242,1,0.5504,0.3335,0.2376,5910,0.4873,0.3523,0.3367,5910,0.5684,0.3328,0.2427,5910
7,1.0873592398896839,1.086679540511517,1,0.5504,0.3332,0.2367,5910,0.4832,0.3638,0.3569,5910,0.5701,0.3347,0.246,5910
8,1.085627583198741,1.0858388745441856,1,0.5501,0.3332,0.2371,5910,0.4743,0.3764,0.3703,5910,0.5679,0.3354,0.2515,5910
9,1.0838629889609246,1.0847231594640794,1,0.5499,0.3331,0.237,5910,0.4673,0.3874,0.3881,5910,0.567,0.3365,0.2558,5910
10,1.0822220498938648,1.083785759817727,1,0.5489,0.3327,0.2377,5910,0.4557,0.3952,0.3949,5910,0.5682,0.3349,0.2493,5910
11,1.0808096454026535,1.0825155126665247,1,0.5481,0.3332,0.2407,5910,0.4409,0.4008,0.3966,5910,0.5684,0.3378,0.2576,5910
12,1.078684853176175,1.081700761507812,1,0.5443,0.3352,0.253,5910,0.4267,0.4022,0.3941,5910,0.5646,0.338,0.2627,5910
13,1.078052870311511,1.0806722362634493,1,0.546,0.3344,0.248,5910,0.4261,0.4073,0.3963,5910,0.5663,0.3413,0.2693,5910
14,1.075057657075614,1.0792031219566331,1,0.5396,0.3371,0.2641,5910,0.4308,0.415,0.4033,5910,0.5628,0.3416,0.2737,5910
15,1.074600796570431,1.0785449909074658,1,0.535,0.3398,0.275,5910,0.4264,0.4159,0.403,5910,0.5607,0.3442,0.2813,5910
