group,labeling_mode,label_schema,strategy,lower,upper,split_threshold
blue,by_side,ternary,quantile,0.25,0.5384615384615384,0.3942307692307692
red,by_side,ternary,quantile,0.23076923076923078,0.5,0.3653846153846154
