support_champion_name,games,mean,median,std,q25,q75
Corki,1,0.8636781447271323,0.8636781447271323,,0.8636781447271323,0.8636781447271323
Samira,2,0.7744238102012612,0.7744238102012612,0.04455287306611764,0.7586719908680635,0.7901756295344589
AurelionSol,136,0.6695785772799829,0.708606454759019,0.21231845618794332,0.5484302196431663,0.829986353847804
Twitch,128,0.618587961838034,0.6584479458132797,0.20677393871973088,0.4661262464693341,0.756646857905683
Nunu,50,0.6063450586257734,0.6077158779206069,0.1718398276457012,0.4828029516532376,0.7348789670929985
Yunara,2,0.5845444594219078,0.5845444594219078,0.35274590940077033,0.4598299471353577,0.7092589717084579
Talon,13,0.5741646448568045,0.6167646549434174,0.15209404247678354,0.5029733718731741,0.6701359677646165
Graves,6,0.5717459509988005,0.5478665314374012,0.3042353203886959,0.4528665189506723,0.7463089603886093
Gwen,3,0.5587600526398115,0.5946035575013605,0.11467944296464518,0.5125217282085603,0.6229201295018372
Fizz,21,0.5531209828911164,0.5901384330535419,0.17867380968900026,0.47920732818470435,0.6694474646292821
Akshan,34,0.5420887760542363,0.5355085733407614,0.15968819336396345,0.4828094288567124,0.6395034228793324
Kayn,17,0.5414355828048146,0.5379329478149973,0.21209696749414955,0.47463727304979286,0.6621279692437871
Shaco,1445,0.5404283634733934,0.549426225222706,0.20817257549221027,0.38766016328266234,0.7039305985246282
Darius,16,0.5371369823146799,0.5503428166899585,0.210900445848345,0.3661997686446306,0.6879387332507688
Elise,5078,0.5341652830250864,0.5417962040293167,0.18370551434008506,0.41048239783551216,0.6633881925911471
Tristana,9,0.5341471408820434,0.4935031592644348,0.20385679979127028,0.46672480975425923,0.5220931610541667
Briar,34,0.5293230713758659,0.5235131510958464,0.16196274865942564,0.4447894846229509,0.6670636479392134
Khazix,4,0.5290131848021147,0.5201040490495035,0.03910105337914119,0.5071564012193236,0.5419608326322946
Belveth,16,0.5243232992892464,0.5459691518465111,0.18670945635363095,0.38080662263814946,0.6433575136006209
