model,subset,n,r2,spearman,mae,rmse,target_mean,pred_std
HistGBT final weighted-train,all,57468,0.16053461214964193,0.3881687957020848,0.14076282588364344,0.17456805047488116,0.39153925384268,0.07379729685571959
HistGBT final weighted-train,clean,42147,0.1718662136199296,0.39855363704061325,0.1383964987516094,0.17106995438553746,0.3848916359487015,0.07399788124481267
HistGBT final weighted-train,chaotic,15321,0.12197517882248432,0.36299639660963157,0.14727242640801105,0.18384799406962135,0.40982638597357957,0.07323854263101252
HistGBT clean-only train,all,57468,0.1596313046561566,0.38757414525981637,0.14075942470206554,0.1746619472769165,0.39153925384268,0.07506636825046419
HistGBT clean-only train,clean,42147,0.17202680960242112,0.39830544300127785,0.13831903247141117,0.17105336619657935,0.3848916359487015,0.07526258642832923
HistGBT clean-only train,chaotic,15321,0.11837448029496878,0.36203293582810275,0.1474727731352873,0.18422458018240562,0.40982638597357957,0.07451485367769327
