subset,n,r2,spearman,mae,rmse,target_mean,target_std,pred_std
all,57468,0.15989502069044081,0.3873645333226178,0.14080858296634544,0.1746345398005847,0.39153925384268,0.19052999878163798,0.0745970759352265
clean,42147,0.17092202564714631,0.3972748573690028,0.13846864116143434,0.17116744840332979,0.3848916359487015,0.18798512601711453,0.0747916851505629
chaotic,15321,0.12209721342125646,0.3633351137414095,0.1472455993002392,0.18383521732614003,0.40982638597357957,0.19620293471734374,0.07405576367285
