subset,n,r2,spearman,mae,rmse,target_mean,pred_std,n_model_seeds,mean_prediction_seed_std
all,57468,0.16053461214964193,0.3881687957020848,0.14076282588364344,0.17456805047488116,0.39153925384268,0.07379729685571959,3,0.005177959228807122
clean,42147,0.1718662136199296,0.39855363704061325,0.1383964987516094,0.17106995438553746,0.3848916359487015,0.07399788124481267,3,0.005155909901715912
chaotic,15321,0.12197517882248432,0.36299639660963157,0.14727242640801105,0.18384799406962135,0.40982638597357957,0.07323854263101252,3,0.0052386153862977
