epoch,train_loss,val_loss,is_best,jungle_presence_accuracy,jungle_presence_balanced_accuracy,jungle_presence_f1_macro,jungle_presence_valid_samples,support_roam_accuracy,support_roam_balanced_accuracy,support_roam_f1_macro,support_roam_valid_samples,team_tendency_accuracy,team_tendency_balanced_accuracy,team_tendency_f1_macro,team_tendency_valid_samples
1,1.1833407533552038,1.0926381023200433,1,0.3741,0.3481,0.2956,5910,0.3372,0.3329,0.3025,5910,0.3645,0.346,0.3382,5910
2,1.1153358599457845,1.0823255062103272,1,0.3804,0.3334,0.2077,5910,0.3393,0.3438,0.2447,5910,0.4223,0.3541,0.3443,5910
3,1.0924686555329919,1.0769254059154167,1,0.3854,0.3332,0.1864,5910,0.3406,0.3456,0.2293,5910,0.4543,0.3526,0.3322,5910
4,1.0830866416698786,1.0734141605557928,1,0.3858,0.3333,0.1856,5910,0.3433,0.3494,0.2433,5910,0.4814,0.355,0.3171,5910
5,1.078356061409371,1.0714048546179498,1,0.3858,0.3333,0.1856,5910,0.3426,0.3486,0.242,5910,0.4902,0.3538,0.3113,5910
6,1.0750768342397339,1.0697398379369436,1,0.3858,0.3333,0.1856,5910,0.3607,0.3707,0.282,5910,0.4875,0.3595,0.3162,5910
7,1.0732163022617398,1.0683990298592299,1,0.3858,0.3333,0.1856,5910,0.3624,0.3734,0.2873,5910,0.487,0.3603,0.3167,5910
8,1.0709037390255485,1.0672314900835558,1,0.3858,0.3333,0.1856,5910,0.3629,0.375,0.291,5910,0.4755,0.3611,0.3167,5910
9,1.0699359229776864,1.0668545736274138,1,0.3858,0.3333,0.1856,5910,0.3618,0.374,0.2904,5910,0.4714,0.3588,0.3145,5910
10,1.0683067450063484,1.0662287216702895,1,0.3858,0.3333,0.1856,5910,0.365,0.3777,0.2938,5910,0.4665,0.3618,0.3162,5910
11,1.0678636488373914,1.0656988807539447,1,0.3858,0.3333,0.1856,5910,0.3663,0.3797,0.2962,5910,0.4695,0.3612,0.3165,5910
12,1.0663186331489163,1.065203690932285,1,0.3858,0.3333,0.1856,5910,0.3657,0.3791,0.2956,5910,0.4653,0.3611,0.3155,5910
13,1.0652675217178267,1.0644816449047547,1,0.3858,0.3333,0.1856,5910,0.3716,0.3856,0.301,5910,0.4672,0.361,0.317,5910
14,1.0646540513095113,1.064075194357212,1,0.3858,0.3333,0.1856,5910,0.3729,0.3867,0.3017,5910,0.4714,0.3638,0.3214,5910
15,1.0639159556371105,1.0638345282695014,1,0.3858,0.3333,0.1856,5910,0.3716,0.3853,0.3006,5910,0.4629,0.3606,0.3192,5910
16,1.062277235637865,1.063168953235581,1,0.3858,0.3333,0.1856,5910,0.3778,0.3921,0.306,5910,0.4575,0.3617,0.3247,5910
17,1.0625419310910247,1.0629935277093283,1,0.3858,0.3333,0.1856,5910,0.3782,0.3929,0.3068,5910,0.4611,0.3661,0.333,5910
18,1.0612234997063523,1.0622973151618453,1,0.386,0.3336,0.1861,5910,0.3785,0.3928,0.3066,5910,0.4679,0.3642,0.3321,5910
19,1.0601624504967189,1.0619008769440368,1,0.3858,0.3333,0.1856,5910,0.3797,0.394,0.3074,5910,0.4658,0.3628,0.3292,5910
20,1.0590283273642034,1.0612800264923303,1,0.3858,0.3333,0.1856,5910,0.3788,0.3921,0.3053,5910,0.4653,0.3624,0.3332,5910
21,1.0580225842858328,1.0608384549920329,1,0.3863,0.3341,0.1875,5910,0.38,0.3943,0.3077,5910,0.4599,0.3614,0.3314,5910
22,1.057096437915731,1.0608367300679034,1,0.3858,0.3342,0.19,5910,0.3802,0.3943,0.3075,5910,0.4567,0.3641,0.3343,5910
23,1.0571089526723485,1.0604957306243845,1,0.387,0.3358,0.1928,5910,0.3804,0.3943,0.3075,5910,0.4569,0.3612,0.3351,5910
24,1.05567715083282,1.0604682546783422,1,0.3875,0.3364,0.1939,5910,0.3787,0.3931,0.3069,5910,0.4565,0.3666,0.3399,5910
25,1.0549334485720459,1.0605234460782278,0,0.388,0.3378,0.1987,5910,0.3829,0.3971,0.3099,5910,0.4572,0.3653,0.3422,5910
26,1.0534846836742007,1.0600749399456275,1,0.3873,0.3383,0.2033,5910,0.3841,0.3985,0.311,5910,0.4487,0.3684,0.3504,5910
27,1.051547682103772,1.0604997367826614,0,0.3863,0.3377,0.204,5910,0.381,0.3955,0.3088,5910,0.4475,0.362,0.3438,5910
28,1.0509039809457743,1.060159330158266,0,0.3887,0.3432,0.2189,5910,0.3799,0.3939,0.3073,5910,0.4442,0.3645,0.3496,5910
29,1.0501755693842312,1.0601859883406843,0,0.3883,0.3436,0.2214,5910,0.3838,0.3981,0.3106,5910,0.4482,0.3651,0.3488,5910
30,1.0493696988940038,1.0600614224190237,1,0.3897,0.3461,0.2267,5910,0.3831,0.3975,0.3102,5910,0.4452,0.365,0.3499,5910
31,1.0483045561866309,1.060436381664373,0,0.3882,0.3434,0.2213,5910,0.3812,0.3951,0.308,5910,0.4406,0.3636,0.345,5910
32,1.0471134991008417,1.06016249805941,0,0.389,0.3479,0.2342,5910,0.3846,0.3991,0.3115,5910,0.4413,0.3661,0.3509,5910
33,1.0460796409452022,1.060291528984173,0,0.3902,0.3488,0.2345,5910,0.3819,0.3963,0.3092,5910,0.4391,0.3614,0.3437,5910
34,1.0440720412130082,1.0598771962619271,1,0.3922,0.354,0.2457,5910,0.3838,0.3978,0.3103,5910,0.4421,0.3648,0.3551,5910
