epoch,task,accuracy,balanced_accuracy,f1_macro,valid_samples
1,jungle_presence_label,0.3741,0.3481,0.2956,5910
1,support_roam_label,0.3372,0.3329,0.3025,5910
1,team_tendency_label,0.3645,0.346,0.3382,5910
2,jungle_presence_label,0.3804,0.3334,0.2077,5910
2,support_roam_label,0.3393,0.3438,0.2447,5910
2,team_tendency_label,0.4223,0.3541,0.3443,5910
3,jungle_presence_label,0.3854,0.3332,0.1864,5910
3,support_roam_label,0.3406,0.3456,0.2293,5910
3,team_tendency_label,0.4543,0.3526,0.3322,5910
4,jungle_presence_label,0.3858,0.3333,0.1856,5910
4,support_roam_label,0.3433,0.3494,0.2433,5910
4,team_tendency_label,0.4814,0.355,0.3171,5910
5,jungle_presence_label,0.3858,0.3333,0.1856,5910
5,support_roam_label,0.3426,0.3486,0.242,5910
5,team_tendency_label,0.4902,0.3538,0.3113,5910
6,jungle_presence_label,0.3858,0.3333,0.1856,5910
6,support_roam_label,0.3607,0.3707,0.282,5910
6,team_tendency_label,0.4875,0.3595,0.3162,5910
7,jungle_presence_label,0.3858,0.3333,0.1856,5910
7,support_roam_label,0.3624,0.3734,0.2873,5910
7,team_tendency_label,0.487,0.3603,0.3167,5910
8,jungle_presence_label,0.3858,0.3333,0.1856,5910
8,support_roam_label,0.3629,0.375,0.291,5910
8,team_tendency_label,0.4755,0.3611,0.3167,5910
9,jungle_presence_label,0.3858,0.3333,0.1856,5910
9,support_roam_label,0.3618,0.374,0.2904,5910
9,team_tendency_label,0.4714,0.3588,0.3145,5910
10,jungle_presence_label,0.3858,0.3333,0.1856,5910
10,support_roam_label,0.365,0.3777,0.2938,5910
10,team_tendency_label,0.4665,0.3618,0.3162,5910
11,jungle_presence_label,0.3858,0.3333,0.1856,5910
11,support_roam_label,0.3663,0.3797,0.2962,5910
11,team_tendency_label,0.4695,0.3612,0.3165,5910
12,jungle_presence_label,0.3858,0.3333,0.1856,5910
12,support_roam_label,0.3657,0.3791,0.2956,5910
12,team_tendency_label,0.4653,0.3611,0.3155,5910
13,jungle_presence_label,0.3858,0.3333,0.1856,5910
13,support_roam_label,0.3716,0.3856,0.301,5910
13,team_tendency_label,0.4672,0.361,0.317,5910
14,jungle_presence_label,0.3858,0.3333,0.1856,5910
14,support_roam_label,0.3729,0.3867,0.3017,5910
14,team_tendency_label,0.4714,0.3638,0.3214,5910
15,jungle_presence_label,0.3858,0.3333,0.1856,5910
15,support_roam_label,0.3716,0.3853,0.3006,5910
15,team_tendency_label,0.4629,0.3606,0.3192,5910
16,jungle_presence_label,0.3858,0.3333,0.1856,5910
16,support_roam_label,0.3778,0.3921,0.306,5910
16,team_tendency_label,0.4575,0.3617,0.3247,5910
17,jungle_presence_label,0.3858,0.3333,0.1856,5910
17,support_roam_label,0.3782,0.3929,0.3068,5910
17,team_tendency_label,0.4611,0.3661,0.333,5910
18,jungle_presence_label,0.386,0.3336,0.1861,5910
18,support_roam_label,0.3785,0.3928,0.3066,5910
18,team_tendency_label,0.4679,0.3642,0.3321,5910
19,jungle_presence_label,0.3858,0.3333,0.1856,5910
19,support_roam_label,0.3797,0.394,0.3074,5910
19,team_tendency_label,0.4658,0.3628,0.3292,5910
20,jungle_presence_label,0.3858,0.3333,0.1856,5910
20,support_roam_label,0.3788,0.3921,0.3053,5910
20,team_tendency_label,0.4653,0.3624,0.3332,5910
21,jungle_presence_label,0.3863,0.3341,0.1875,5910
21,support_roam_label,0.38,0.3943,0.3077,5910
21,team_tendency_label,0.4599,0.3614,0.3314,5910
22,jungle_presence_label,0.3858,0.3342,0.19,5910
22,support_roam_label,0.3802,0.3943,0.3075,5910
22,team_tendency_label,0.4567,0.3641,0.3343,5910
23,jungle_presence_label,0.387,0.3358,0.1928,5910
23,support_roam_label,0.3804,0.3943,0.3075,5910
23,team_tendency_label,0.4569,0.3612,0.3351,5910
24,jungle_presence_label,0.3875,0.3364,0.1939,5910
24,support_roam_label,0.3787,0.3931,0.3069,5910
24,team_tendency_label,0.4565,0.3666,0.3399,5910
25,jungle_presence_label,0.388,0.3378,0.1987,5910
25,support_roam_label,0.3829,0.3971,0.3099,5910
25,team_tendency_label,0.4572,0.3653,0.3422,5910
26,jungle_presence_label,0.3873,0.3383,0.2033,5910
26,support_roam_label,0.3841,0.3985,0.311,5910
26,team_tendency_label,0.4487,0.3684,0.3504,5910
27,jungle_presence_label,0.3863,0.3377,0.204,5910
27,support_roam_label,0.381,0.3955,0.3088,5910
27,team_tendency_label,0.4475,0.362,0.3438,5910
28,jungle_presence_label,0.3887,0.3432,0.2189,5910
28,support_roam_label,0.3799,0.3939,0.3073,5910
28,team_tendency_label,0.4442,0.3645,0.3496,5910
29,jungle_presence_label,0.3883,0.3436,0.2214,5910
29,support_roam_label,0.3838,0.3981,0.3106,5910
29,team_tendency_label,0.4482,0.3651,0.3488,5910
30,jungle_presence_label,0.3897,0.3461,0.2267,5910
30,support_roam_label,0.3831,0.3975,0.3102,5910
30,team_tendency_label,0.4452,0.365,0.3499,5910
31,jungle_presence_label,0.3882,0.3434,0.2213,5910
31,support_roam_label,0.3812,0.3951,0.308,5910
31,team_tendency_label,0.4406,0.3636,0.345,5910
