role_slot,champion_name,n
ally_jungle,Nocturne,3502
ally_jungle,Volibear,3250
ally_jungle,Ivern,3124
ally_jungle,Zed,3115
ally_jungle,Gwen,3062
ally_jungle,FiddleSticks,3020
ally_jungle,Kindred,2941
ally_jungle,MonkeyKing,2902
ally_jungle,Belveth,2888
ally_jungle,Evelynn,2762
ally_jungle,Karthus,2703
ally_jungle,Briar,2495
ally_jungle,Udyr,2335
ally_jungle,Zyra,2304
ally_jungle,Lillia,2152
ally_jungle,Pantheon,1466
ally_jungle,Malphite,1387
ally_jungle,Sejuani,1378
ally_jungle,Jax,1353
ally_jungle,Darius,1252
ally_jungle,Rammus,1142
ally_jungle,Chogath,1130
ally_jungle,Skarner,1017
ally_jungle,Shen,958
ally_jungle,Nasus,828
ally_jungle,Warwick,825
ally_jungle,Brand,791
ally_jungle,Rumble,784
ally_jungle,Fizz,751
ally_jungle,Trundle,730
ally_jungle,Maokai,642
ally_jungle,Shyvana,630
ally_jungle,Amumu,622
ally_jungle,Teemo,527
ally_jungle,Gragas,515
ally_jungle,Riven,467
ally_jungle,Poppy,457
ally_jungle,Morgana,451
ally_jungle,Mordekaiser,335
ally_jungle,Olaf,301
ally_jungle,Sion,258
ally_jungle,Neeko,225
ally_jungle,AurelionSol,224
ally_jungle,Camille,185
ally_jungle,Vayne,104
ally_jungle,Twitch,76
ally_jungle,Urgot,61
ally_jungle,Kayle,55
ally_jungle,Ezreal,47
ally_jungle,Kaisa,45
ally_jungle,Ornn,44
ally_jungle,Nautilus,40
ally_jungle,Singed,34
ally_jungle,Yone,27
ally_jungle,Tryndamere,22
ally_jungle,Taric,21
ally_jungle,Zeri,21
ally_jungle,Draven,19
ally_jungle,Kassadin,19
ally_jungle,Yorick,19
ally_jungle,Sett,14
ally_jungle,TwistedFate,12
ally_jungle,Corki,10
ally_jungle,Kled,10
ally_jungle,Heimerdinger,7
ally_jungle,Gnar,6
ally_jungle,Ryze,6
ally_jungle,Yasuo,6
ally_jungle,Akali,5
ally_jungle,Ashe,5
ally_jungle,Nilah,5
ally_jungle,Varus,5
ally_jungle,Zoe,5
ally_jungle,Ahri,4
ally_jungle,Akshan,4
ally_jungle,Garen,4
ally_jungle,KogMaw,4
ally_jungle,Annie,3
ally_jungle,Galio,3
ally_jungle,Jhin,3
ally_jungle,Pyke,3
ally_jungle,Tristana,3
ally_jungle,Xayah,3
ally_jungle,Anivia,2
ally_jungle,Aurora,2
ally_jungle,Cassiopeia,2
ally_jungle,Irelia,2
ally_jungle,KSante,2
ally_jungle,Karma,2
ally_jungle,Lux,2
ally_jungle,MissFortune,2
ally_jungle,Renekton,2
ally_jungle,Sona,2
ally_jungle,TahmKench,2
ally_jungle,Thresh,2
ally_jungle,Zilean,2
ally_jungle,Aphelios,1
ally_jungle,Bard,1
ally_jungle,Blitzcrank,1
ally_jungle,Illaoi,1
ally_jungle,Leblanc,1
ally_jungle,Leona,1
ally_jungle,Lulu,1
ally_jungle,Malzahar,1
ally_jungle,Mel,1
ally_jungle,Nami,1
ally_jungle,Orianna,1
ally_jungle,Smolder,1
ally_jungle,Swain,1
ally_jungle,Syndra,1
ally_jungle,Vex,1
ally_middle,Ahri,14747
ally_middle,Ryze,11321
ally_middle,Yasuo,10328
ally_middle,Syndra,10321
ally_middle,Orianna,10116
ally_middle,Akali,9138
ally_middle,Kassadin,8533
ally_middle,Sylas,7823
ally_middle,Katarina,7408
ally_middle,Zed,7139
ally_middle,Yone,6495
ally_middle,Akshan,6242
ally_middle,Viktor,6129
ally_middle,Galio,5699
ally_middle,Ekko,5460
ally_middle,Anivia,5413
ally_middle,Taliyah,5368
ally_middle,TwistedFate,5315
ally_middle,Zoe,5240
ally_middle,Aurora,5100
ally_middle,Qiyana,4877
ally_middle,Leblanc,4598
ally_middle,Vladimir,3794
ally_middle,Mel,3733
ally_middle,Malzahar,3545
ally_middle,Azir,3498
ally_middle,AurelionSol,3374
ally_middle,Veigar,3265
ally_middle,Naafiri,3232
ally_middle,Xerath,3146
ally_middle,Fizz,3056
ally_middle,Hwei,2954
ally_middle,Irelia,2798
ally_middle,Cassiopeia,2416
ally_middle,Velkoz,2254
ally_middle,Lux,2202
ally_middle,Lissandra,2092
ally_middle,Jayce,1995
ally_middle,Vex,1871
ally_middle,Diana,1822
ally_middle,Kayle,1652
ally_middle,Tristana,1578
ally_middle,Sion,1545
ally_middle,Annie,1458
ally_middle,Talon,1403
ally_middle,Swain,1383
ally_middle,Corki,1379
ally_middle,Smolder,1324
ally_middle,KogMaw,1307
ally_middle,Zilean,1111
ally_middle,Quinn,1085
ally_middle,Singed,960
ally_middle,Ambessa,906
ally_middle,Chogath,870
ally_middle,Ziggs,848
ally_middle,Karma,838
ally_middle,Neeko,780
ally_middle,Malphite,767
ally_middle,Nasus,729
ally_middle,Varus,701
ally_middle,Kennen,692
ally_middle,Zac,632
ally_middle,Pantheon,631
ally_middle,Tryndamere,591
ally_middle,Morgana,561
ally_middle,Gragas,555
ally_middle,Renekton,489
ally_middle,Gwen,487
ally_middle,Seraphine,485
ally_middle,Karthus,468
ally_middle,Nunu,462
ally_middle,Riven,451
ally_middle,Garen,444
ally_middle,Ezreal,413
ally_middle,Brand,381
ally_middle,Rumble,378
ally_middle,KSante,368
ally_middle,Viego,352
ally_middle,Vayne,337
ally_middle,Shen,325
ally_middle,Gangplank,324
ally_middle,Heimerdinger,308
ally_middle,LeeSin,303
ally_middle,Camille,298
ally_middle,Lucian,281
ally_middle,Ornn,261
ally_middle,Zaahen,234
ally_middle,Kaisa,233
ally_middle,Ivern,210
ally_middle,FiddleSticks,198
ally_middle,Soraka,177
ally_middle,RekSai,176
ally_middle,Kled,171
ally_middle,Twitch,171
ally_middle,Nidalee,160
ally_middle,Aatrox,156
ally_middle,Jax,148
ally_middle,DrMundo,138
ally_middle,XinZhao,128
ally_middle,MasterYi,120
ally_middle,Graves,118
ally_middle,Urgot,115
ally_middle,Udyr,111
ally_middle,Illaoi,108
ally_middle,Mordekaiser,108
ally_middle,Olaf,105
ally_middle,Zyra,96
ally_middle,Shaco,94
ally_middle,TahmKench,94
ally_middle,Jhin,93
ally_middle,Briar,85
ally_middle,Sejuani,83
ally_middle,Sett,82
ally_middle,Draven,78
ally_middle,Rakan,77
ally_middle,Darius,74
ally_middle,Fiora,70
ally_middle,Caitlyn,68
ally_middle,Vi,68
ally_middle,Yorick,64
ally_middle,Warwick,63
ally_middle,Lulu,62
ally_middle,Zeri,57
ally_middle,Nautilus,56
ally_middle,Kalista,53
ally_middle,Pyke,53
ally_middle,Kayn,52
ally_middle,Sivir,43
ally_middle,Ashe,41
ally_middle,Elise,41
ally_middle,Nocturne,39
ally_middle,Belveth,34
ally_middle,Yunara,33
ally_middle,Bard,32
ally_middle,JarvanIV,31
ally_middle,Volibear,30
ally_middle,Kindred,29
ally_middle,Aphelios,28
ally_middle,Samira,28
ally_middle,Teemo,27
ally_middle,Xayah,25
ally_middle,Poppy,24
ally_middle,Sona,24
ally_middle,MissFortune,19
ally_middle,MonkeyKing,18
ally_middle,Gnar,16
ally_middle,Janna,16
ally_middle,Maokai,16
ally_middle,Trundle,16
ally_middle,Khazix,15
ally_middle,Senna,13
ally_middle,Taric,12
ally_middle,Rammus,10
ally_middle,Alistar,9
ally_middle,Hecarim,8
ally_middle,Nilah,8
ally_middle,Thresh,8
ally_middle,Blitzcrank,7
ally_middle,Evelynn,6
ally_middle,Jinx,6
ally_middle,Lillia,6
ally_middle,Shyvana,6
ally_middle,Amumu,4
ally_middle,Milio,4
ally_middle,Rengar,4
ally_middle,Skarner,4
ally_middle,Leona,3
ally_middle,Nami,3
ally_middle,Yuumi,1
ally_top,Ambessa,10016
ally_top,Sion,8732
ally_top,Zaahen,8664
ally_top,Renekton,7889
ally_top,KSante,7575
ally_top,Rumble,7443
ally_top,Jax,7273
ally_top,Ornn,6762
ally_top,Jayce,6585
ally_top,Aatrox,6561
ally_top,Fiora,6519
ally_top,Malphite,6455
ally_top,Riven,6333
ally_top,Vayne,6070
ally_top,Gnar,5914
ally_top,Gangplank,5897
ally_top,Irelia,5547
ally_top,Shen,5152
ally_top,Darius,5066
ally_top,Varus,4776
ally_top,Gwen,4763
ally_top,Kennen,4649
ally_top,Urgot,4594
ally_top,DrMundo,4242
ally_top,Camille,4224
ally_top,Garen,4030
ally_top,Yone,3816
ally_top,Singed,3804
ally_top,Yasuo,3635
ally_top,Olaf,3587
ally_top,Akali,3178
ally_top,Aurora,3149
ally_top,Gragas,2979
ally_top,Chogath,2744
ally_top,Kayle,2689
ally_top,Kled,2650
ally_top,Vladimir,2648
ally_top,Volibear,2614
ally_top,Ryze,2466
ally_top,Mordekaiser,2458
ally_top,Yorick,2419
ally_top,Sett,2383
ally_top,Cassiopeia,2292
ally_top,Pantheon,2291
ally_top,Nasus,2280
ally_top,Tryndamere,1760
ally_top,Warwick,1622
ally_top,Anivia,1571
ally_top,Teemo,1455
ally_top,Quinn,1429
ally_top,Illaoi,1326
ally_top,Sylas,1183
ally_top,Poppy,1135
ally_top,LeeSin,1080
ally_top,Udyr,1061
ally_top,Swain,1042
ally_top,Naafiri,981
ally_top,Trundle,910
ally_top,RekSai,894
ally_top,Zilean,825
ally_top,Zed,794
ally_top,Zac,724
ally_top,TwistedFate,720
ally_top,TahmKench,716
ally_top,FiddleSticks,649
ally_top,Heimerdinger,567
ally_top,Sejuani,559
ally_top,Ahri,537
ally_top,Qiyana,533
ally_top,Akshan,532
ally_top,Smolder,502
ally_top,MonkeyKing,497
ally_top,Galio,485
ally_top,MasterYi,478
ally_top,Karma,471
ally_top,Corki,394
ally_top,Maokai,393
ally_top,Graves,371
ally_top,XinZhao,359
ally_top,Ekko,340
ally_top,Viego,332
ally_top,AurelionSol,323
ally_top,Nidalee,312
ally_top,Elise,286
ally_top,KogMaw,256
ally_top,Velkoz,248
ally_top,Skarner,247
ally_top,Zoe,247
ally_top,Bard,243
ally_top,Kayn,237
ally_top,Azir,226
ally_top,Viktor,225
ally_top,Kassadin,202
ally_top,Malzahar,198
ally_top,Fizz,196
ally_top,Rengar,196
ally_top,Katarina,183
ally_top,Leblanc,183
ally_top,Veigar,162
ally_top,Briar,146
ally_top,Kaisa,140
ally_top,Syndra,140
ally_top,Orianna,134
ally_top,Karthus,131
ally_top,Vi,129
ally_top,Draven,128
ally_top,Annie,125
ally_top,Brand,120
ally_top,Jhin,115
ally_top,Diana,112
ally_top,Tristana,111
ally_top,Neeko,110
ally_top,Lucian,104
ally_top,Ivern,102
ally_top,Taliyah,99
ally_top,Shyvana,97
ally_top,Senna,93
ally_top,Ezreal,92
ally_top,Lissandra,92
ally_top,Kalista,83
ally_top,Mel,79
ally_top,Talon,79
ally_top,Vex,79
ally_top,Rammus,77
ally_top,Nocturne,75
ally_top,Hwei,74
ally_top,JarvanIV,74
ally_top,Soraka,71
ally_top,Zeri,62
ally_top,Morgana,54
ally_top,Shaco,53
ally_top,Lulu,52
ally_top,Caitlyn,45
ally_top,Ashe,43
ally_top,Aphelios,38
ally_top,Yunara,36
ally_top,Pyke,35
ally_top,Nautilus,34
ally_top,Kindred,33
ally_top,Lux,33
ally_top,Samira,30
ally_top,Seraphine,29
ally_top,Khazix,25
ally_top,Zyra,25
ally_top,Ziggs,24
ally_top,Twitch,23
ally_top,Janna,22
ally_top,Belveth,21
ally_top,Nunu,18
ally_top,Sona,15
ally_top,Alistar,14
ally_top,Xayah,14
ally_top,Nilah,13
ally_top,Xerath,13
ally_top,Hecarim,12
ally_top,Lillia,12
ally_top,MissFortune,12
ally_top,Sivir,10
ally_top,Taric,10
ally_top,Rakan,8
ally_top,Evelynn,5
ally_top,Leona,4
ally_top,Amumu,3
ally_top,Thresh,3
ally_top,Blitzcrank,2
ally_top,Jinx,2
ally_top,Yuumi,2
ally_top,Braum,1
ally_top,Rell,1
ally_utility,Nami,23024
ally_utility,Nautilus,19554
ally_utility,Karma,16974
ally_utility,Bard,15201
ally_utility,Lulu,14382
ally_utility,Thresh,13183
ally_utility,Braum,10590
ally_utility,Rakan,10425
ally_utility,Alistar,9831
ally_utility,Janna,9681
ally_utility,Rell,8209
ally_utility,Leona,8040
ally_utility,Pyke,7910
ally_utility,Sona,7683
ally_utility,Neeko,7087
ally_utility,Senna,6750
ally_utility,Blitzcrank,5741
ally_utility,Milio,5207
ally_utility,Soraka,4345
ally_utility,Zilean,3983
ally_utility,Seraphine,3836
ally_utility,Elise,3488
ally_utility,Taric,3365
ally_utility,Yuumi,2935
ally_utility,Pantheon,2579
ally_utility,Poppy,2285
ally_utility,Velkoz,2061
ally_utility,Lux,1795
ally_utility,Maokai,1695
ally_utility,Renata,1624
ally_utility,Morgana,1331
ally_utility,Zoe,1134
ally_utility,TahmKench,1079
ally_utility,FiddleSticks,1073
ally_utility,Shaco,1002
ally_utility,Swain,937
ally_utility,Zyra,928
ally_utility,Sylas,858
ally_utility,Brand,776
ally_utility,Nidalee,671
ally_utility,Galio,583
ally_utility,Anivia,582
ally_utility,Leblanc,512
ally_utility,Shen,511
ally_utility,Xerath,496
ally_utility,Mel,494
ally_utility,Amumu,480
ally_utility,Ashe,356
ally_utility,Trundle,322
ally_utility,Camille,286
ally_utility,Hwei,286
ally_utility,Annie,261
ally_utility,Veigar,256
ally_utility,JarvanIV,242
ally_utility,Taliyah,233
ally_utility,Gragas,219
ally_utility,Zac,211
ally_utility,Ivern,204
ally_utility,Jax,165
ally_utility,KSante,164
ally_utility,Teemo,163
ally_utility,Heimerdinger,124
ally_utility,TwistedFate,115
ally_utility,AurelionSol,108
ally_utility,Ekko,108
ally_utility,Lissandra,107
ally_utility,Orianna,99
ally_utility,Zed,97
ally_utility,Malphite,94
ally_utility,Singed,91
ally_utility,Qiyana,82
ally_utility,Twitch,75
ally_utility,Rammus,74
ally_utility,Rengar,74
ally_utility,Karthus,71
ally_utility,Skarner,67
ally_utility,Nasus,65
ally_utility,LeeSin,62
ally_utility,Rumble,54
ally_utility,RekSai,52
ally_utility,Sion,51
ally_utility,XinZhao,51
ally_utility,Ezreal,50
ally_utility,Sejuani,48
ally_utility,Aatrox,45
ally_utility,Chogath,44
ally_utility,Fiora,41
ally_utility,Sett,41
ally_utility,Syndra,40
ally_utility,Kennen,39
ally_utility,Vex,35
ally_utility,Kindred,34
ally_utility,Nunu,34
ally_utility,Ahri,33
ally_utility,Kayle,31
ally_utility,Zaahen,27
ally_utility,Briar,26
ally_utility,Ornn,25
ally_utility,Quinn,25
ally_utility,MissFortune,23
ally_utility,Akshan,21
ally_utility,Varus,21
ally_utility,Katarina,19
ally_utility,KogMaw,19
ally_utility,Vi,19
ally_utility,Ziggs,18
ally_utility,DrMundo,17
ally_utility,Vayne,17
ally_utility,MasterYi,16
ally_utility,MonkeyKing,16
ally_utility,Urgot,15
ally_utility,Caitlyn,14
ally_utility,Jhin,14
ally_utility,Kayn,14
ally_utility,Cassiopeia,11
ally_utility,Fizz,11
ally_utility,Naafiri,11
ally_utility,Akali,10
ally_utility,Mordekaiser,10
ally_utility,Viego,10
ally_utility,Warwick,10
ally_utility,Evelynn,8
ally_utility,Aurora,7
ally_utility,Darius,7
ally_utility,Malzahar,7
ally_utility,Ryze,7
ally_utility,Tristana,7
ally_utility,Udyr,7
ally_utility,Yasuo,7
ally_utility,Belveth,6
ally_utility,Lillia,6
ally_utility,Draven,5
ally_utility,Graves,5
ally_utility,Talon,5
ally_utility,Vladimir,5
ally_utility,Diana,4
ally_utility,Illaoi,4
ally_utility,Kassadin,4
ally_utility,Nocturne,4
ally_utility,Riven,4
ally_utility,Volibear,4
ally_utility,Gwen,3
ally_utility,Khazix,3
ally_utility,Kled,3
ally_utility,Lucian,3
ally_utility,Viktor,3
ally_utility,Ambessa,2
ally_utility,Aphelios,2
ally_utility,Azir,2
ally_utility,Gnar,2
ally_utility,Kalista,2
ally_utility,Olaf,2
ally_utility,Smolder,2
ally_utility,Tryndamere,2
ally_utility,Yorick,2
ally_utility,Zeri,2
ally_utility,Corki,1
ally_utility,Gangplank,1
ally_utility,Garen,1
ally_utility,Hecarim,1
ally_utility,Irelia,1
ally_utility,Jayce,1
ally_utility,Jinx,1
ally_utility,Kaisa,1
ally_utility,Xayah,1
ally_utility,Yone,1
ally_utility,Yunara,1
enemy_bottom,Yunara,19104
enemy_bottom,Ezreal,18544
enemy_bottom,Kaisa,17764
enemy_bottom,Jhin,15732
enemy_bottom,Caitlyn,14990
enemy_bottom,Corki,14133
enemy_bottom,Varus,13228
enemy_bottom,Aphelios,12765
enemy_bottom,Jinx,11347
enemy_bottom,Lucian,7475
enemy_bottom,Sivir,7395
enemy_bottom,Ashe,6733
enemy_bottom,Draven,6250
enemy_bottom,Twitch,6228
enemy_bottom,Smolder,5619
enemy_bottom,Tristana,5314
enemy_bottom,MissFortune,4913
enemy_bottom,Samira,4761
enemy_bottom,Vayne,4498
enemy_bottom,Xayah,4268
enemy_bottom,Zeri,4017
enemy_bottom,KogMaw,3500
enemy_bottom,AurelionSol,3157
enemy_bottom,Mel,3100
enemy_bottom,Yasuo,3094
enemy_bottom,Swain,2961
enemy_bottom,Ziggs,2851
enemy_bottom,Kalista,2419
enemy_bottom,Senna,2348
enemy_bottom,Velkoz,2236
enemy_bottom,Nilah,2234
enemy_bottom,Karthus,2204
enemy_bottom,Veigar,1985
enemy_bottom,Seraphine,1859
enemy_bottom,Lux,1338
enemy_bottom,Hwei,1119
enemy_bottom,Cassiopeia,1114
enemy_bottom,Vladimir,1065
enemy_bottom,Brand,986
enemy_bottom,Syndra,984
enemy_bottom,Katarina,713
enemy_bottom,Zilean,697
enemy_bottom,Zyra,559
enemy_bottom,Viktor,421
enemy_bottom,Heimerdinger,355
enemy_bottom,Naafiri,289
enemy_bottom,Xerath,281
enemy_bottom,Ekko,228
