group,labeling_mode,label_schema,strategy,lower,upper,split_threshold
blue,by_side,ternary,quantile,0.14285714285714285,0.42857142857142855,0.2857142857142857
red,by_side,ternary,quantile,0.14285714285714285,0.42857142857142855,0.2857142857142857
