group,labeling_mode,label_schema,strategy,lower,upper,split_threshold
blue,by_side,ternary,quantile,0.16666666666666666,0.5,0.3333333333333333
red,by_side,ternary,quantile,0.16666666666666666,0.5,0.3333333333333333
