matchId,teamId,win,patch,window_early,window_mid,is_neutral_early,gold_diff_14,tower_diff_14,OBS_TEAM_FOCUS_EARLY,OBS_JG_STYLE_EARLY,OBS_MAP_MODE_MID,X_BOTTOM_Champ,X_JUNGLE_Champ,X_MIDDLE_Champ,X_TOP_Champ,X_UTILITY_Champ
3917391836,200,1,16.4,0-14,14-25,1,1660,1,BOT,GANK_HEAVY,GROUP,236,238,61,92,350
3917433554,100,0,16.4,0-14,14-25,1,956,0,BOT,FARM_HEAVY,,81,245,163,58,16
3917433554,200,1,16.4,0-14,14-25,1,956,0,NEUTRAL,MIXED,,236,121,3,67,267
3917474774,100,1,16.4,0-14,14-25,1,768,0,NEUTRAL,FARM_HEAVY,,29,143,131,58,117
3917474774,200,0,16.4,0-14,14-25,1,768,0,NEUTRAL,MIXED,,63,120,51,114,267
3917595161,100,0,16.4,0-14,14-25,1,-863,0,NEUTRAL,GANK_HEAVY,GROUP,202,234,103,516,44
3917595161,200,1,16.4,0-14,14-25,1,-863,0,BOT,MIXED,GROUP,222,9,23,10,40
3917628156,100,0,16.4,0-14,14-25,1,-1849,1,BOT,FARM_HEAVY,GROUP,115,121,3,6,37
3917628156,200,1,16.4,0-14,14-25,1,-1849,1,TOP,FARM_HEAVY,GROUP,134,203,80,84,267
7696103995,100,1,16.2,0-14,14-25,1,2530,1,NEUTRAL,MIXED,GROUP,15,107,103,11,235
7696103995,200,0,16.2,0-14,14-25,1,2530,1,NEUTRAL,FARM_HEAVY,SPLIT,29,121,1,6,117
7696104692,100,1,16.2,0-14,14-25,1,-2602,0,BOT,MIXED,SPLIT,804,203,517,31,40
7696104692,200,0,16.2,0-14,14-25,1,-2602,0,NEUTRAL,FARM_HEAVY,SPLIT,222,59,61,122,76
7696106028,100,0,16.2,0-14,14-25,1,-1681,0,NEUTRAL,GANK_HEAVY,,50,107,893,157,432
7696106028,200,1,16.2,0-14,14-25,1,-1681,0,BOT,MIXED,,81,121,161,82,40
7696106204,100,0,16.2,0-14,14-25,1,-3309,1,TOP,FARM_HEAVY,GROUP,51,59,90,10,89
7696106204,200,1,16.2,0-14,14-25,1,-3309,1,BOT,MIXED,GROUP,21,25,246,67,267
7696106791,100,0,16.2,0-14,14-25,1,-3972,0,NEUTRAL,MIXED,GROUP,42,131,157,268,267
7696106791,200,1,16.2,0-14,14-25,1,-3972,0,NEUTRAL,GANK_HEAVY,GROUP,523,68,163,41,555
7696107056,100,0,16.2,0-14,14-25,1,-2801,0,TOP,GANK_HEAVY,,222,120,517,897,267
7696107056,200,1,16.2,0-14,14-25,1,-2801,0,NEUTRAL,FARM_HEAVY,,29,54,157,110,37
7696107116,100,0,16.2,0-14,14-25,1,-56,0,NEUTRAL,FARM_HEAVY,GROUP,18,11,25,246,53
7696107116,200,1,16.2,0-14,14-25,1,-56,0,BOT,FARM_HEAVY,GROUP,236,62,13,893,902
7696107529,100,0,16.2,0-14,14-25,1,-438,0,TOP,FARM_HEAVY,GROUP,99,107,266,68,412
7696107529,200,1,16.2,0-14,14-25,1,-438,0,NEUTRAL,GANK_HEAVY,GROUP,115,120,498,24,111
7696108934,100,1,16.2,0-14,14-25,1,753,0,BOT,MIXED,GROUP,235,91,517,54,40
7696108934,200,0,16.2,0-14,14-25,1,753,0,TOP,GANK_HEAVY,GROUP,45,950,134,83,111
7696109023,100,0,16.2,0-14,14-25,1,-1946,0,NEUTRAL,FARM_HEAVY,,236,62,10,82,267
7696109023,200,1,16.2,0-14,14-25,1,-1946,0,BOT,MIXED,,15,141,61,122,497
