ally_utility_champion_id,mean_support_roam_score
42,0.8632800943741723
120,0.7169757104941221
20,0.6803216632394504
136,0.6462416171900645
29,0.6284523291958015
58,0.627058725245605
28,0.6249143623507775
18,0.6084415921583564
91,0.5731624529617642
105,0.5721461102446561
233,0.559112905710558
166,0.5590941747447191
13,0.5535804058683439
200,0.552903884811599
60,0.5354222577180819
35,0.5351845900713749
901,0.5315653412250841
5,0.5302704328610268
19,0.5301670476571664
141,0.52969972814232
133,0.5254550218879878
150,0.5181455778386241
7,0.5168252251741633
24,0.5093474419411549
164,0.5077890430437723
517,0.4928243302857991
555,0.4926225342725406
254,0.48176811273982934
104,0.48030670200388353
27,0.4787104016008882
246,0.4750724773119648
432,0.47179614433851913
126,0.47079277877520664
80,0.466300918391512
234,0.46288466083357505
950,0.4581523670050858
119,0.4578786648809146
33,0.4567505746109431
11,0.45366509273038913
31,0.45294894628921967
245,0.44806749618912595
122,0.4456578711005381
78,0.4437643610327329
163,0.4403722532740857
84,0.43573877963556734
69,0.431403955618283
55,0.4309228171453396
64,0.4204609368764786
4,0.41962249773794624
76,0.41770718645019594
59,0.41477464367033745
114,0.4135487666251397
711,0.40996393952024013
3,0.4092635481595591
526,0.40502165196148454
40,0.4030285915540912
85,0.4025447098461951
236,0.40151490058533473
266,0.39553267074440007
12,0.3939557871776522
142,0.393116578129431
53,0.39287846512903823
79,0.38750720177401643
67,0.385819886907186
98,0.3805186515703345
421,0.3775716084126741
238,0.3766971325152069
48,0.3763818685603922
127,0.3757891306240527
154,0.3752987655578215
72,0.37462629241380957
497,0.37319981039254196
32,0.37089178233537806
2,0.3706425528904691
89,0.36435455222582275
57,0.36410964315774713
113,0.3623749154098098
518,0.3622748959565898
110,0.36134970072931394
111,0.36118783047674485
9,0.35571150828849946
887,0.3535533905932738
6,0.3529503704928334
107,0.35148174490251577
904,0.35076997089269607
112,0.3470229434829879
68,0.34574259382807987
427,0.3430453166267189
43,0.3426351656448919
30,0.34151561699415106
131,0.33938262675072634
876,0.33898000456989774
203,0.3361073846082622
1,0.3349372031682753
202,0.3325262529085676
412,0.3323393819503923
799,0.33159859475166453
14,0.3269696935451111
516,0.32481617700342813
25,0.3246164973065327
99,0.32350063859113
17,0.3200752432929103
26,0.31977813823106044
63,0.3179012427725158
875,0.3176477664259745
223,0.31699798670200713
16,0.3168730358941399
134,0.3151993413944113
897,0.3133628948115669
34,0.3119286008519122
893,0.30746904831006583
36,0.30643713805294825
201,0.30219302623256633
81,0.2992713537928364
103,0.2985189073863174
267,0.29726735730043347
51,0.2968678924746884
50,0.2964282958526074
235,0.29334763410925974
800,0.2902360487419972
888,0.29017941201681496
44,0.29001881471402097
37,0.283569916715275
22,0.28010596033493224
77,0.27965121863513615
45,0.27896911345995906
75,0.27586788466643497
61,0.2746115985831419
161,0.2734222553191023
117,0.2728624626864415
115,0.26526989666273826
74,0.26271510651299335
121,0.2613478448361244
910,0.2583904864917208
21,0.25805977548342784
147,0.25746102749266786
54,0.24929983513975626
268,0.24725186337795635
101,0.24563759112091652
143,0.24316994276537354
902,0.23660148682264293
429,0.23434733327443066
62,0.2300562402903246
90,0.22172068143382495
56,0.22063626655814214
10,0.20776145450759861
106,0.20459945359231319
240,0.19699146983522803
420,0.18718416475928717
82,0.18509460133416875
41,0.18481098958187217
96,0.16929895284909274
350,0.16096247916751258
83,0.13927476233637465
92,0.12989445413298828
157,0.11406473137381593
8,0.09346698876565783
145,0.07841173893283059
38,0.06810096638741084
39,0.05654359895450639
523,0.04884760200134673
86,0.03818065614635686
498,0.03245263937962668
222,0.02529684700371405
