epoch,task,accuracy,balanced_accuracy,f1_macro,valid_samples
34,jungle_presence_label,0.3814,0.3696,0.3529,5910
34,support_roam_label,0.447,0.4329,0.4175,5910
34,team_tendency_label,0.5362,0.3484,0.3063,5910
35,jungle_presence_label,0.388,0.3667,0.3537,5910
35,support_roam_label,0.4469,0.4334,0.4159,5910
35,team_tendency_label,0.5262,0.3467,0.3094,5910
36,jungle_presence_label,0.3909,0.3669,0.3549,5910
36,support_roam_label,0.4425,0.4321,0.4157,5910
36,team_tendency_label,0.5327,0.3549,0.3231,5910
37,jungle_presence_label,0.3932,0.3673,0.3608,5910
37,support_roam_label,0.4491,0.4358,0.4207,5910
37,team_tendency_label,0.5328,0.3503,0.3159,5910
38,jungle_presence_label,0.3838,0.3684,0.3546,5910
38,support_roam_label,0.4372,0.4314,0.4099,5910
38,team_tendency_label,0.5206,0.3559,0.33,5910
39,jungle_presence_label,0.3885,0.3733,0.3617,5910
39,support_roam_label,0.4453,0.4321,0.4174,5910
39,team_tendency_label,0.5279,0.3563,0.3256,5910
40,jungle_presence_label,0.3826,0.3721,0.363,5910
40,support_roam_label,0.4492,0.4296,0.4168,5910
40,team_tendency_label,0.5305,0.3583,0.3331,5910
41,jungle_presence_label,0.3888,0.3739,0.3605,5910
41,support_roam_label,0.4416,0.4329,0.4158,5910
41,team_tendency_label,0.5178,0.3549,0.3266,5910
