model,variant_id,feature_set,target,mse,rmse,mae,r2,pearson_corr,spearman_corr,pred_std,target_std,compression_ratio,n_train,n_eval,eval_split,training_seconds
histgbr,v5_geometry,all,raw,0.0304275298535583,0.17443488714577224,0.14052250762348373,0.15559936716770295,0.39451999217437705,0.38064667134444435,0.0737993838965672,0.18982748687267303,0.38877079980555296,268423,57335,val,3.873321771621704
histgbr,v5_geometry,all,quantile,0.07302044444833203,0.27022295322257883,0.22922683169698577,0.15269640526003003,0.3908421174112569,0.38130001338211134,0.11294115440086208,0.29356393218040466,0.38472421854417743,268423,57335,val,3.812096118927002
histgbr,v5_geometry,no_spells,raw,0.030450235682833632,0.17449995897659584,0.1405691655010541,0.15496925303417486,0.3937747598129274,0.3799190275856344,0.07309527250530212,0.18982748687267303,0.38506158254273704,268423,57335,val,2.373730421066284
histgbr,v5_geometry,no_spells,quantile,0.07307714214827794,0.27032784197762155,0.2294001683071039,0.15203850506042704,0.39004885049263727,0.3804450752559847,0.11200848358953161,0.29356393218040466,0.38154715655157095,268423,57335,val,2.3977770805358887
histgbr,v5_geometry,no_side,raw,0.03042022428140075,0.17441394520336023,0.14052304214113084,0.15580210560170416,0.3948202446947744,0.3809086644787257,0.07339455397673034,0.18982748687267303,0.3866381796750004,268423,57335,val,3.7366280555725098
histgbr,v5_geometry,no_side,quantile,0.07302620285386423,0.2702336079281484,0.22924632797838204,0.15262958674441762,0.39075377289418184,0.38120993514793006,0.11297506028865173,0.29356393218040466,0.38483971600170847,268423,57335,val,4.058361053466797
histgbr,v5_geometry,champions_only,raw,0.03044994630436417,0.174499129809762,0.14056961879388868,0.15497728363553875,0.3937850325280592,0.3799275207174272,0.07309685290974688,0.18982748687267303,0.38506990802009966,268423,57335,val,2.1225531101226807
histgbr,v5_geometry,champions_only,quantile,0.07307719361981901,0.2703279371796763,0.2294002734364621,0.15203790780273974,0.39004813330905835,0.3804454805314399,0.11200767427367558,0.29356393218040466,0.3815443996875038,268423,57335,val,2.2742621898651123
histgbr,events_balanced_65_20_15,all,raw,0.02019802094798588,0.1421197415842918,0.11519324758889864,0.14246884753242683,0.3775591832889025,0.362577615094877,0.05656241763789824,0.15347211062908173,0.36855176752342206,268423,57335,val,3.9780170917510986
histgbr,events_balanced_65_20_15,all,quantile,0.07161375070521898,0.26760745637074274,0.22743864618143514,0.1388924493190551,0.3727512132205016,0.36222582016907795,0.10550722005947957,0.2883829176425934,0.36585807828686884,268423,57335,val,4.436777591705322
histgbr,events_balanced_65_20_15,no_spells,raw,0.020207379326579924,0.1421526620453515,0.11520964321043876,0.14207152636904918,0.3770767021881858,0.362414475299776,0.05623112576550108,0.15347211062908173,0.36639312207937885,268423,57335,val,2.878678798675537
histgbr,events_balanced_65_20_15,no_spells,quantile,0.07166400694658512,0.2677013390825401,0.22752585661894312,0.13828815156222685,0.3719312461726716,0.36153738069860575,0.10539512627399233,0.2883829176425934,0.365469380556769,268423,57335,val,2.322711944580078
histgbr,events_balanced_65_20_15,no_side,raw,0.020265505431906743,0.14235696481699356,0.11539656132409908,0.13960371300170404,0.3737412849699532,0.35902088059380505,0.056011703522770594,0.15347211062908173,0.3649634014491544,268423,57335,val,3.414515733718872
histgbr,events_balanced_65_20_15,no_side,quantile,0.07181298295049594,0.26797944501490395,0.22789299086368078,0.13649681455537277,0.3695453303761208,0.3589954000844974,0.1042681586157649,0.2883829176425934,0.3615614942386753,268423,57335,val,3.5512421131134033
histgbr,events_balanced_65_20_15,champions_only,raw,0.020279445420063772,0.14240591778456319,0.11544186774780348,0.13901187412103033,0.3729587876417395,0.35817890967227295,0.055822031746240515,0.15347211062908173,0.3637275301514143,268423,57335,val,2.028865337371826
histgbr,events_balanced_65_20_15,champions_only,quantile,0.07180113854768058,0.2679573446421661,0.22785415921363514,0.1366392355931927,0.3697215861598156,0.35918296329458616,0.10454494210472985,0.2883829176425934,0.3625212719232467,268423,57335,val,2.1352908611297607
histgbr,events_combat_only_80_20,all,raw,0.02978005107224097,0.17256897482525926,0.13905812071308787,0.14639901683371648,0.3827894314596164,0.3700489471352972,0.06942525626112893,0.186782106757164,0.37169115107684764,268423,57335,val,6.09939432144165
histgbr,events_combat_only_80_20,all,quantile,0.07228134996692742,0.26885191084856996,0.22830563773612694,0.14324601904240675,0.37851615306409514,0.3692415689666807,0.10858052698103854,0.29045915603637695,0.37382373639975724,268423,57335,val,7.690280914306641
histgbr,events_combat_only_80_20,no_spells,raw,0.029809411242088364,0.17265402179528969,0.13912194624872218,0.14555745112293672,0.3815557162919272,0.36906600257128236,0.07038244692024516,0.186782106757164,0.3768157889542899,268423,57335,val,2.6207704544067383
histgbr,events_combat_only_80_20,no_spells,quantile,0.07228025115147312,0.2688498673078957,0.22838787844972547,0.14325904334971773,0.37861003353593614,0.3694237530069771,0.107393060486863,0.29045915603637695,0.36973549724634314,268423,57335,val,2.4084231853485107
histgbr,events_combat_only_80_20,no_side,raw,0.029844237709683537,0.17275484858516574,0.1392538918907234,0.1445592020968578,0.3803162409499734,0.3681621774925176,0.06940516514589125,0.186782106757164,0.3715835866233435,268423,57335,val,3.741375207901001
