epoch,task,accuracy,balanced_accuracy,f1_macro,valid_samples
1,jungle_presence_label,0.3692,0.3394,0.2792,5820
1,support_roam_label,0.3389,0.3314,0.3216,5877
1,team_tendency_label,0.2961,0.3342,0.2469,5910
2,jungle_presence_label,0.383,0.3343,0.2015,5820
2,support_roam_label,0.3418,0.3552,0.3026,5877
2,team_tendency_label,0.298,0.3394,0.2474,5910
3,jungle_presence_label,0.3859,0.3336,0.1862,5820
3,support_roam_label,0.3335,0.3434,0.2304,5877
3,team_tendency_label,0.299,0.3394,0.237,5910
4,jungle_presence_label,0.3857,0.3333,0.1856,5820
4,support_roam_label,0.334,0.3386,0.1991,5877
4,team_tendency_label,0.2966,0.3372,0.2406,5910
5,jungle_presence_label,0.3857,0.3333,0.1856,5820
5,support_roam_label,0.3344,0.3398,0.2047,5877
5,team_tendency_label,0.299,0.3406,0.2469,5910
6,jungle_presence_label,0.3857,0.3333,0.1856,5820
6,support_roam_label,0.3344,0.3408,0.2107,5877
6,team_tendency_label,0.2968,0.3383,0.2465,5910
7,jungle_presence_label,0.3856,0.3332,0.1855,5820
7,support_roam_label,0.3349,0.3416,0.2127,5877
7,team_tendency_label,0.297,0.3389,0.2482,5910
8,jungle_presence_label,0.3856,0.3332,0.1855,5820
8,support_roam_label,0.3371,0.3463,0.2263,5877
8,team_tendency_label,0.3014,0.3438,0.2516,5910
9,jungle_presence_label,0.3856,0.3332,0.1855,5820
9,support_roam_label,0.3395,0.3521,0.2411,5877
9,team_tendency_label,0.3002,0.342,0.2484,5910
10,jungle_presence_label,0.3857,0.3334,0.186,5820
10,support_roam_label,0.3432,0.3574,0.2488,5877
10,team_tendency_label,0.3029,0.3456,0.253,5910
11,jungle_presence_label,0.3857,0.3334,0.186,5820
11,support_roam_label,0.3449,0.3614,0.2565,5877
11,team_tendency_label,0.3074,0.3494,0.2485,5910
12,jungle_presence_label,0.3859,0.3337,0.1866,5820
12,support_roam_label,0.3463,0.3655,0.264,5877
12,team_tendency_label,0.3063,0.3481,0.2478,5910
13,jungle_presence_label,0.3857,0.3341,0.1889,5820
13,support_roam_label,0.3444,0.3644,0.2644,5877
13,team_tendency_label,0.3039,0.346,0.2503,5910
14,jungle_presence_label,0.3861,0.3353,0.1932,5820
14,support_roam_label,0.343,0.3638,0.265,5877
14,team_tendency_label,0.3054,0.3475,0.25,5910
15,jungle_presence_label,0.3878,0.3379,0.1983,5820
15,support_roam_label,0.3427,0.3639,0.2656,5877
15,team_tendency_label,0.3036,0.3457,0.2504,5910
16,jungle_presence_label,0.3863,0.3358,0.1946,5820
16,support_roam_label,0.3471,0.3697,0.2713,5877
16,team_tendency_label,0.3017,0.3434,0.2476,5910
17,jungle_presence_label,0.3887,0.3398,0.2035,5820
17,support_roam_label,0.3454,0.365,0.2642,5877
17,team_tendency_label,0.3042,0.3463,0.2497,5910
18,jungle_presence_label,0.3893,0.3418,0.2092,5820
18,support_roam_label,0.3454,0.3673,0.2688,5877
18,team_tendency_label,0.3069,0.3493,0.2519,5910
19,jungle_presence_label,0.3899,0.3432,0.213,5820
19,support_roam_label,0.3483,0.3719,0.2739,5877
19,team_tendency_label,0.303,0.3451,0.25,5910
20,jungle_presence_label,0.3893,0.3423,0.2112,5820
20,support_roam_label,0.3497,0.3739,0.276,5877
20,team_tendency_label,0.3014,0.3432,0.2487,5910
21,jungle_presence_label,0.3905,0.3444,0.2157,5820
21,support_roam_label,0.3483,0.373,0.2757,5877
21,team_tendency_label,0.3024,0.3443,0.249,5910
22,jungle_presence_label,0.3905,0.346,0.2212,5820
22,support_roam_label,0.3468,0.3692,0.2706,5877
22,team_tendency_label,0.3037,0.3462,0.2521,5910
23,jungle_presence_label,0.3912,0.3487,0.2284,5820
