target,epoch,train_loss,val_loss,lr,is_best
raw,1,0.08485414751619373,0.03753056027548704,0.0005,True
raw,2,0.03157690813115633,0.034022127038404334,0.0005,True
raw,3,0.027309731958875722,0.03280281144604994,0.0005,True
raw,4,0.025811856967193354,0.03224484882938116,0.0005,True
raw,5,0.02496776839126793,0.03179975367943948,0.0005,True
raw,6,0.024492043768544518,0.03158037515356032,0.0005,True
raw,7,0.024133574597386964,0.0313977092140773,0.0005,True
raw,8,0.02388873752038155,0.03116500084124461,0.0005,True
raw,9,0.02367734153170306,0.031052558495177473,0.0005,True
raw,10,0.023535461615125992,0.031075145579326193,0.0005,False
raw,11,0.023395948052949884,0.03099042573232592,0.0005,True
raw,12,0.02326049731986014,0.030920853780151417,0.0005,True
raw,13,0.023140811325240256,0.03105267384814094,0.0005,False
raw,14,0.023049006756065252,0.031014399176037943,0.0005,False
raw,15,0.022909612281307966,0.031006481991554,0.0005,False
raw,16,0.022778204773679745,0.031077038454874056,0.0005,False
raw,17,0.022651596563428314,0.03120988213103286,0.0005,False
raw,18,0.022559353183519034,0.03113087731938629,0.00025,False
raw,19,0.022194153218196917,0.03119278826100543,0.00025,False
raw,20,0.022058663814710697,0.03144004341627892,0.00025,False
raw,21,0.021942753836394498,0.03148597081950331,0.00025,False
raw,22,0.021864260106730364,0.031429873781951,0.00025,False
raw,23,0.021781064242184758,0.031663303839334425,0.00025,False
raw,24,0.021655790092727653,0.03175767765752198,0.000125,False
raw,25,0.021418699903259394,0.031742460240280115,0.000125,False
raw,26,0.02137018402380172,0.0318680123913212,0.000125,False
raw,27,0.021276182722006765,0.03179579150321267,0.000125,False
