group,labeling_mode,label_schema,strategy,lower,upper,split_threshold
blue,by_side,ternary,quantile,-0.5652173913043478,-0.29411764705882354,-0.42966751918158563
red,by_side,ternary,quantile,-0.6,-0.3333333333333333,-0.4666666666666667
