model,trained_target,evaluation_scale,eval_split,n_train,n_eval,notes,mse,rmse,mae,r2,pearson_corr,spearman_corr,pred_std,target_std,compression_ratio,within_005,within_010,within_015,within_020,fixed_bin_acc,fixed_bin_adjacent_acc,train_quantile_bin_acc,train_quantile_adjacent_acc,fixed_bin_spearman,train_quantile_bin_spearman,fixed_bin_kendall_tau,train_quantile_bin_kendall_tau,fixed_bin_qwk,train_quantile_bin_qwk,used_sample_weight,seed,feature_protocol_id,test_dataset,metrics_source
HistGBT,raw,raw,test,268322,57468,,0.030499742206975804,0.17464175390488898,0.14081013789233224,0.159825610250385,0.4006957530701858,0.3873732940116322,0.07380021162971957,0.19052999878163798,0.38734168950633485,0.2171817359226004,0.41959003271385814,0.5980023665344192,0.7428307927890304,0.482947031391383,0.9709229484234705,0.30095009396533723,0.8472889260109975,0.22995609329052186,0.3262805640832079,0.21533297852268382,0.29302835443165043,0.15118719035198835,0.2740398484099156,,456.0,draft_10_champions_side,C:\Users\adria\Desktop\TFG\final\data\training\test.parquet,recomputed_from_predictions
HistGBT,quantile,quantile,test,268322,57468,,0.07322573588299013,0.2706025422700055,0.22972359686152544,0.15640966251597188,0.3961629294129559,0.3872529445103713,0.11425892950661769,0.294622611057171,0.3878145302447473,,,,,,,,,,,,,,,,,,C:\Users\adria\Desktop\TFG\final\data\training\test.parquet,recomputed_from_predictions
HistGBT (quantile->raw),quantile,raw,test,268322,57468,Quantile predictions inverse-transformed to raw scale.,0.030815055469796817,0.17554217575784123,0.14193800562648834,0.15113969656715354,0.4003725288234135,0.3872533498948834,0.05925249714634301,0.19052999878163798,0.3109877579658777,0.2138059441776293,0.4143523352126401,0.5910941741490917,0.7375234913343078,0.47800515069255933,0.9694786663882509,0.29005707524187374,0.8518131829887937,0.17955016562522785,0.31757714912712826,0.16832577083548503,0.2883758258364428,0.08343108038165026,0.25048828335787954,,,,C:\Users\adria\Desktop\TFG\final\data\training\test.parquet,recomputed_from_predictions
MLP OneHot,raw,raw,test,268322,57468,,0.030776388949335605,0.17543200662745553,0.14126656663053158,0.1522048406595784,0.3931700152059465,0.3799004956511164,0.07847438164304946,0.19052999878163798,0.41187415181263465,0.2172687408644811,0.4184763694577852,0.5991508317672444,0.7398552237767105,0.4831384422635206,0.9693916614463701,0.30409967286141854,0.8429734808937147,0.23287673578411242,0.3250711896103648,0.21747654305355146,0.2902675940042019,0.1604556964391315,0.27914245336619603,,123.0,draft_10_champions_side,C:\Users\adria\Desktop\TFG\final\data\training\test.parquet,recomputed_from_predictions
MLP OneHot,quantile,quantile,test,268322,57468,,0.07383839332046548,0.27173220883889615,0.23003364075356697,0.1493515990057902,0.38725332788894906,0.37813745758740586,0.12015847538591223,0.294622611057171,0.4078386073450272,,,,,,,,,,,,,,,,,,C:\Users\adria\Desktop\TFG\final\data\training\test.parquet,recomputed_from_predictions
MLP OneHot (quantile->raw),quantile,raw,test,268322,57468,Quantile predictions inverse-transformed to raw scale.,0.030906988817683268,0.1758038361859128,0.14203779157962979,0.1486072146879962,0.3910344757886318,0.3781374668993926,0.06320825516511938,0.19052999878163798,0.3317496224705323,0.2157374538873808,0.4145785480615299,0.5904677385675506,0.7362358181944735,0.4797800515069256,0.970122502958168,0.29454653024291777,0.8485591981624556,0.19637054819793884,0.3165166102536472,0.18401151031809423,0.28628267656885714,0.10461137387041064,0.25608124820510847,,,,C:\Users\adria\Desktop\TFG\final\data\training\test.parquet,recomputed_from_predictions
MLP OneHot,raw,raw,test,268322,57468,,0.030688118361869222,0.17518024535280577,0.14119909885468698,0.1546364247186871,0.3940860471434217,0.38074578973250844,0.0794992123666356,0.19052999878163798,0.4172529936230557,0.21638129045729798,0.4186851813182989,0.5968887032783462,0.7404642583698754,0.4835734669729241,0.9701399039465441,0.30613558850142686,0.8423644463005499,0.24512828082118468,0.3279525426217923,0.22920445143332316,0.29218041727066857,0.17658837118500847,0.2857362100866375,,42.0,draft_10_champions_side,C:\Users\adria\Desktop\TFG\final\data\training\test.parquet,recomputed_from_predictions
MLP OneHot,quantile,quantile,test,268322,57468,,0.07421274959715321,0.27242017105411487,0.23125964163131846,0.14503886204272443,0.3870669422214972,0.37865653654732184,0.11126997501333406,0.294622611057171,0.37766950273800376,,,,,,,,,,,,,,,,,,C:\Users\adria\Desktop\TFG\final\data\training\test.parquet,recomputed_from_predictions
MLP OneHot (quantile->raw),quantile,raw,test,268322,57468,Quantile predictions inverse-transformed to raw scale.,0.03122239838433913,0.17669860889191835,0.14272870471811602,0.13991864812936905,0.39057297024250814,0.3786568485789326,0.05796664995256648,0.19052999878163798,0.3042389666889187,0.2129706967355746,0.4130820630611819,0.5878401893227535,0.7340780956358322,0.475847428133918,0.9684172060973063,0.2896046495440941,0.8495858564766479,0.1592964210952703,0.31465844347349453,0.14935461967703126,0.2858127747146667,0.06454275136309617,0.24471561247315954,,,,C:\Users\adria\Desktop\TFG\final\data\training\test.parquet,recomputed_from_predictions
MLP OneHot,raw,raw,test,268322,57468,,0.030716597897602577,0.17526151288175787,0.14122944907095808,0.153851900823608,0.39258975930232953,0.37954520173246786,0.07785018096069997,0.19052999878163798,0.40859802371553183,0.21627688452704114,0.4200250574232616,0.5957750400222732,0.7386371545903807,0.4843739124382265,0.9696526762720122,0.3062921973968121,0.8417032087422566,0.2428814055187806,0.3248402006700944,0.2270009128207129,0.2897613830299977,0.17330921529224985,0.2815554454359622,,456.0,draft_10_champions_side,C:\Users\adria\Desktop\TFG\final\data\training\test.parquet,recomputed_from_predictions
