model,trained_target,evaluation_scale,r2,spearman_corr,pearson_corr,rmse,mae,compression_ratio,pred_std,target_std,n_eval,notes
HistGBT + Archetypes,quantile,quantile,0.15682939484194158,0.3872555257739647,0.39629192780943795,0.2705352141125498,0.22992506238994417,0.3830021229757715,0.11284108551156152,0.294622611057171,57468,
HistGBT + Pair TE,quantile,quantile,0.1563062429959451,0.3871974311249465,0.395957438112646,0.270619128950844,0.22962027962479828,0.3909285005647189,0.11517637557304224,0.294622611057171,57468,OOF-smoothed pair target encodings fitted on train only.
