support_champion_name,rows,v5_mean,v8_mean,productive_event_mean,alive_outside_mean,no_productive_share
Corki,1,0.8636781447271323,0.8632800943741723,1.0,0.6,0.0
Hecarim,1,0.48490093238511056,0.7169757104941221,1.0,0.0,0.0
Nunu,50,0.6063450586257734,0.6448605828200588,0.7186666666666666,0.3582857142857143,0.08
AurelionSol,136,0.6695785772799829,0.6426388745634247,0.6796568627450981,0.4509191176470588,0.16176470588235295
Twitch,128,0.618587961838034,0.6402966514054192,0.7015625,0.40172061011904764,0.1171875
Renekton,1,0.4787952587223708,0.627058725245605,0.6666666666666666,0.42857142857142855,0.0
Tristana,9,0.5341471408820434,0.6149863513950571,0.6851851851851851,0.3592592592592593,0.1111111111111111
Akshan,34,0.5420887760542363,0.5742937447926595,0.6470588235294118,0.2647759103641456,0.14705882352941177
Fizz,21,0.5531209828911164,0.5692051711361122,0.5873015873015872,0.3678004535147392,0.19047619047619047
Evelynn,17,0.4792759088964981,0.5653927610136158,0.6372549019607844,0.3018207282913165,0.17647058823529413
Talon,13,0.5741646448568045,0.5550575991619137,0.5666666666666667,0.3311355311355311,0.15384615384615385
Elise,5078,0.5341652830250864,0.5395464868393353,0.5708546671918078,0.2996056752752302,0.2109098070106341
Briar,34,0.5293230713758659,0.5356569364965508,0.5735294117647058,0.2641106442577031,0.17647058823529413
Belveth,16,0.5243232992892464,0.5336618870633718,0.59375,0.26860119047619047,0.25
Shaco,1445,0.5404283634733934,0.5331252563707186,0.5732871972318339,0.2878950403690888,0.23806228373702423
Quinn,48,0.4610595655109892,0.5285852138873607,0.5888888888888889,0.2506200396825397,0.20833333333333334
Kayn,17,0.5414355828048146,0.5263474412775383,0.5490196078431372,0.29327731092436976,0.17647058823529413
Gnar,2,0.500860292793222,0.5181455778386241,0.5,0.3571428571428571,0.0
Camille,574,0.5114559364273342,0.5103995249079317,0.5427990708478513,0.25181267629002824,0.2229965156794425
Leblanc,829,0.5187767974531614,0.5097646555637805,0.5326899879372737,0.27818226204836577,0.22677925211097708
Jax,197,0.5109930579780323,0.49887961021016763,0.515736040609137,0.29764926275078557,0.25888324873096447
Sylas,1353,0.49083352579112466,0.4961415397931805,0.5227642276422764,0.2590724316334072,0.2409460458240946
Pyke,11462,0.4919837306692401,0.4938955802912259,0.5176234514046414,0.2568667896403021,0.24027220380387368
XinZhao,90,0.48129052026785013,0.4902297137045942,0.51,0.2560846560846561,0.23333333333333334
Naafiri,16,0.47009437653638475,0.4881886195442059,0.5104166666666666,0.24464285714285713,0.1875
Rammus,107,0.5029493896972264,0.48780828029473744,0.5149532710280375,0.25853360035603024,0.2616822429906542
Viego,13,0.4897708640085521,0.48432378476278387,0.5256410256410257,0.22032967032967032,0.3076923076923077
Graves,6,0.5717459509988005,0.48030670200388353,0.47222222222222227,0.306547619047619,0.16666666666666666
Vi,58,0.4737669532496772,0.4798210056668345,0.4959770114942529,0.26110426929392444,0.27586206896551724
Warwick,15,0.5115826678333343,0.47369069833723587,0.4888888888888889,0.2823809523809524,0.3333333333333333
Pantheon,3907,0.48255392700672933,0.4719258196882499,0.49313198532548413,0.23938413348446622,0.2684924494497057
Bard,22623,0.5061715449920616,0.4718920286027937,0.49245163476697756,0.23839171260600778,0.2669849268443619
Ryze,11,0.4451049024961065,0.47175530912335883,0.4848484848484848,0.29004329004329005,0.2727272727272727
MasterYi,28,0.46983822593813546,0.4708562476087242,0.5,0.2470238095238095,0.2857142857142857
Singed,116,0.5031367366281267,0.467408964352783,0.47442528735632183,0.2579946633825944,0.28448275862068967
Qiyana,142,0.4628479049347716,0.4653504182814788,0.4730046948356808,0.24496981891348088,0.2746478873239437
Draven,6,0.5060098758829714,0.4578786648809146,0.5277777777777778,0.24305555555555555,0.3333333333333333
Yunara,2,0.5845444594219078,0.4473759623676128,0.5,0.21428571428571427,0.5
Poppy,3414,0.48814069837721186,0.44360761029952955,0.44246240968560824,0.23642703713002483,0.3151728178090217
LeeSin,128,0.4433664781082645,0.4356489357776362,0.4484375,0.22173549107142856,0.2890625
Zeri,3,0.4202869176490303,0.43486803257393714,0.4777777777777777,0.1111111111111111,0.3333333333333333
Taliyah,333,0.4441300308301211,0.4294592563541896,0.45065065065065063,0.19573502073502072,0.3123123123123123
TwistedFate,176,0.4620332783793005,0.4271485493783454,0.4255681818181818,0.23746617965367964,0.3352272727272727
JarvanIV,334,0.4289495562262477,0.4204718040055171,0.4341317365269461,0.20981251782149984,0.3502994011976048
Darius,16,0.5371369823146799,0.4170324454050856,0.375,0.29092261904761907,0.375
Nidalee,977,0.45680756610575013,0.41670491675589577,0.4098259979529171,0.23340400643368914,0.3725690890481064
Katarina,30,0.3925053005132121,0.4165795453625896,0.43444444444444447,0.2114285714285714,0.3333333333333333
Cassiopeia,16,0.4656701130433677,0.4163015567553398,0.41666666666666663,0.22671130952380952,0.3125
Fiora,60,0.4823244430192298,0.4150671889519259,0.4116666666666667,0.22182539682539681,0.35
Jayce,8,0.4004994149669604,0.4091518820419803,0.42916666666666664,0.17038690476190477,0.375
Kennen,81,0.44209844555314565,0.408958855410015,0.41358024691358025,0.20358612580834803,0.3333333333333333
Rell,12474,0.4373914077290479,0.4045124467031894,0.407022607022607,0.19647829389892882,0.36323552990219654
Galio,874,0.4348220880656466,0.4039116497706977,0.4051106025934401,0.1989498202026806,0.36384439359267734
Akali,16,0.45750773603298034,0.40267868071879903,0.4125,0.19084821428571427,0.375
Janna,14180,0.43375721336491035,0.40047392314184144,0.4042266102491773,0.20179595674659145,0.36932299012693937
Chogath,62,0.4278986283374816,0.3985834717876899,0.41989247311827954,0.1703917050691244,0.3548387096774194
Ambessa,7,0.40321796969087076,0.39670532744636405,0.42857142857142855,0.16343537414965986,0.42857142857142855
Zoe,1964,0.4219998615809678,0.3965268991551902,0.393397827562797,0.2019560420909708,0.3711812627291242
Tryndamere,3,0.3527850569489283,0.3962523543979821,0.4444444444444444,0.09722222222222221,0.3333333333333333
Sejuani,67,0.4221457833200987,0.39574728961384914,0.3870646766169154,0.21597370291400142,0.3880597014925373
Gwen,3,0.5587600526398115,0.39522835473055595,0.3333333333333333,0.20634920634920637,0.0
Alistar,13953,0.44976581560309126,0.39356296307012856,0.3805585417711842,0.20620868357376634,0.3895219666021644
Skarner,172,0.4448445849164815,0.39341380506525303,0.3844961240310077,0.20555094130675525,0.37790697674418605
Blitzcrank,8649,0.4348205857701826,0.3908280226868125,0.3834508806413073,0.19569933766083608,0.37703780783905655
Ekko,155,0.45853933616336484,0.3900925830308226,0.3832258064516129,0.20125960061443932,0.3870967741935484
Aatrox,51,0.4176038760773782,0.3897194075521659,0.38562091503267976,0.20529878618113911,0.37254901960784315
Vex,57,0.3740241052170365,0.3896909208179812,0.4070175438596491,0.18437761069340017,0.42105263157894735
Khazix,4,0.5290131848021147,0.3881783459471708,0.3333333333333333,0.21666666666666667,0.25
RekSai,93,0.428826693273797,0.3880432631065741,0.385663082437276,0.19178187403993854,0.3978494623655914
Shen,976,0.3665246756514032,0.3830837619100604,0.39375,0.1654030054644809,0.3401639344262295
Trundle,447,0.4263510085181109,0.38050434188180166,0.3727069351230425,0.20076701821668266,0.39373601789709173
Zed,127,0.38414554821814856,0.3786154197916536,0.3774278215223097,0.17634045744281965,0.33858267716535434
Amumu,735,0.410077522446097,0.377983402550381,0.37782312925170064,0.17855685131195334,0.39591836734693875
Zac,379,0.4161401930410826,0.3776073628946709,0.376429199648197,0.1837793692674959,0.37994722955145116
Viktor,10,0.3310366069824834,0.37594210223356506,0.36666666666666664,0.20714285714285713,0.3
Rakan,15160,0.4187952524345345,0.3734772750655539,0.3630738786279683,0.1885969499937178,0.40573878627968335
Gragas,356,0.42393702078889467,0.370515780087677,0.3593632958801498,0.19596040663456393,0.42696629213483145
Lissandra,201,0.423379399032112,0.3665516899026288,0.357379767827529,0.18580312722103765,0.44776119402985076
Rengar,106,0.42352648104569074,0.36538666476285886,0.3421383647798742,0.20835579514824798,0.4339622641509434
Maokai,2561,0.421003424724084,0.3639504642993555,0.34977222439151373,0.1798162919990331,0.4201483795392425
Neeko,9380,0.41035881376516287,0.36304454139576214,0.3474697938877043,0.19060412224591328,0.41375266524520254
Leona,12027,0.41426731404073,0.36278319653350727,0.3505307502563676,0.18104671235751305,0.427704331919847
Nautilus,28879,0.4161522916633062,0.36101314398710493,0.34566293846739843,0.18010393118083826,0.4296893936770664
FiddleSticks,1395,0.40524715898064223,0.36004736899838813,0.35464755077658305,0.17480628093531317,0.42867383512544804
Karthus,114,0.3500956233501037,0.35831096294100917,0.37748538011695904,0.11744987468671679,0.3333333333333333
Zaahen,37,0.3540857438092385,0.3534652944342566,0.37657657657657656,0.13655083655083655,0.43243243243243246
Lucian,6,0.37139438548868675,0.3505710061784472,0.3333333333333333,0.2595238095238095,0.5
Caitlyn,20,0.38696961522922135,0.3487159030098271,0.3183333333333333,0.21089285714285713,0.4
