side,n,mean,median,std,q25,q75
blue,6163,-0.4107528123957931,-0.5714285714285714,0.2597156901396732,-0.6470588235294118,-0.2
red,7257,-0.43761986158068683,-0.3333333333333333,0.2382688195119547,-0.6470588235294118,-0.25
